Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,Financial reporting,"7,293,495",-,"6,748,820",-,92.5,-,481,0
,"Revenue Collection
and Administration
(Including automa-
tion)","34,560,000",-,"29,484,552",-,85.3,-,481,0
,"Revenue Enhance-
ment and Monitoring","27,989,028",-,"13,566,504",-,48.5,-,481,0
,"Supply Chain Man-
agement","9,434,500",-,"8,237,115",-,87.3,-,481,0
,"Internal Audit and
Risk Management","9,650,000",-,"8,312,933",-,86.1,-,481,0
,"Internal Audit Com-
mittee","3,050,000",-,"2,719,400",-,89.2,-,481,0
"Economic
planning and
development","Economic Devel-
opment Planning
including KDSP","63,252,640",-,"9,342,817",-,14.8,-,481,0
,"County Statistics and
Data Bank","6,457,000",-,"4,509,800",-,69.8,-,481,0
,"Monitoring and
Evaluation","3,500,000",-,"2,718,700",-,77.7,-,481,0
,"Economic Modelling
and Research","3,000,000",-,"2,480,646",-,82.7,-,481,0
,County Budgeting,"17,370,000",-,"11,175,049",-,64.3,-,481,0
,"Resource Mobi-
lization and Debt
Management","3,300,000",,"2,365,500",-,71.7,-,481,0
"ICT and E-govern-
ment Services","ICT and E-govern-
ment Services","8,666,234","6,000,000","2,996,639",-,34.6,-,481,0
,Sub-Total,"585,173,643","21,000,000","436,346,169",-,74.6,-,481,0
Health Services,,,,,,,,481,0
"Preventive
and Promotive
Services","Preventive and Pro-
motive Services","33,030,000",-,"24,386,608",-,73.8,-,481,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",482,0
Curative Services,Curative Services,"279,538,700",-,"106,079,317",-,37.9,-,482,0
,"Universal health care
and grants","102,820,000",-,"84,255,034",-,81.9,-,482,0
"General adminis-
tration, planning
and support
services","Solid Waste and
Cemeteries","9,293,300","1,500,000","3,531,674",-,38.0,-,482,0
,"Infrastructure and
Equipment",-,"350,594,012",0,"89,865,817",-,25.6,482,0
Subtotal,,"424,682,000","352,094,012","218,252,633","89,865,817",51.4,21.2,482,0
"Education, Children, Gender Affairs, Culture & Social Services",,,,,,,,482,0
Primary education,ECDE,"24,630,000","44,899,376","9,644,607",-,39.2,-,482,0
"Youth training and
development","revitalization of youth
polytechnics","47,404,576","10,300,000","41,969,674",-,88.5,-,482,0
"Culture and library
services","development and
promotion of culture","8,610,000","5,000,000","6,581,032",-,76.4,-,482,0
"Children, Gender
and Social Ser-
vices",Social Services,"42,340,000","7,500,000","11,070,906",-,26.1,-,482,0
,"children and Gender
Affairs","13,150,000",-,"9,447,343",-,71.8,-,482,0
"General adminis-
tration, planning
and support
services","Alcohol Drinks
Control and Civic
Education","32,443,675","30,604,256","6,386,155","2,587,683",19.7,8.5,482,0
Sub Total,,"168,578,251","98,303,632","85,099,717","2,587,683",50.5,3.0,482,0
"Tourism, Cooperative development, Trade & Industrialization",,,,,,,,482,0
"Trade devel-
opment and
promotion","Financial and Trade
Services","11,850,000","21,825,840","7,064,483",-,59.6,-,482,0
,"Nyandarua County
Trade Development
and Investment Au-
thority (NCTDIA)","10,000,000",-,"3,556,199",-,35.6,-,482,0
"Industrial
development and
investment","Industrial and Enter-
prise Development","7,850,000","201,400,000","5,800,220","25,000,000",73.9,12.4,482,0
,Weights & Measures,"5,700,000",-,"4,104,410",-,72.0,-,482,0
"Cooperative
development and
management","Cooperative Audit
Extension Services","2,430,000",-,"2,085,330",-,85.8,-,482,0
,"Co-operative Devel-
opment","10,102,800",-,"4,702,580",-,46.5,-,482,0
"Tourism de-
velopment and
promotion","tourism infrastructure
development","20,206,342","41,940,950","14,041,655","6,453,960",69.5,46.0,482,0
Sub Total,,"68,139,142","265,166,790","41,354,877","31,453,960",60.7,76.1,482,0
"Youth, Sports & Arts",,,,,,,,482,0
Sports,Sports Development,"41,220,000","3,498,020","27,234,930",-,66.07,-,482,0
Youth Affairs,Youth Affairs,"25,890,527",-,"5,305,500",-,20.49,-,482,0
Arts & Theatre,Arts & Theatre,"10,150,000",-,"4,043,047",-,39.83,-,482,0
Sub Total,,"77,260,527","3,498,020","36,583,477",-,47.35,-,482,0
"Water, Environment, Climate Change & Natural Resources",,,,,,,,482,0
"Water Resource
Development.","water resource conser-
vation and protection,
infrastructure and
flood control","16,350,000","231,674,708","12,887,544",-,78.8,-,482,0
Environment,"Environmental sup-
port and management","4,900,000","13,854,900","3,568,908",,72.8,-,482,0
,"Climate change
resilience","29,334,875","168,000,000","4,399,766","32,000,000",15.0,19.0,482,0
,natural resource,"6,450,000","111,988,979","4,492,690","18,602,800",69.7,16.6,482,0
,,,,,,,458,482,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",483,0
"Irrigation and
Drainage infra-
structure","promotion of irri-
gation and drainage
development and
management","1,000,000","2,000,000","598,900",-,59.9,-,483,0
Sub Total,,"58,034,875","527,518,587","25,947,808","50,602,800",44.7,9.6,483,0
"Public Works, Transport and Energy",,,,,,,,483,0
Road transport,"Transport (Including
fuel level, General
Administration &
Support Services)","44,600,000","623,634,416","19,407,919","86,980,701",43.5,13.9,483,0
,Public Works,"9,962,265","207,982,000","6,133,942","3,593,855",61.6,1.7,483,0
"Alternative energy
technologies","alternative energy
technologies","29,040,000","41,100,000","22,894,387","833,465",78.8,2.0,483,0
"General adminis-
tration, planning
and support
services","Emergency Response
& Preparedness","14,180,000",,"5,900,860",-,41.6,-,483,0
Housing,Housing,"4,055,800","157,269,359","3,790,550","29,542,638",93.5,18.8,483,0
Sub Total,,"101,838,065","1,029,985,775","58,127,658","120,950,659",57.1,11.7,483,0
"Lands, physical planning & urban development",,,,,,,,483,0
"Land policy and
planning",Physical Planning,"13,800,000",,"3,958,430",-,28.7,-,483,0
,Survey and Mapping,"15,500,000",,"5,125,915",-,33.1,-,483,0
,"Land Administration
and Management","29,046,100","53,000,000","11,120,658","630,000",38.3,1.2,483,0
"Urban develop-
ment",Urban development,"3,367,322","83,401,644","1,075,000","3,998,477",31.9,4.8,483,0
Sub Total,,"61,713,422","136,401,644","21,280,003","4,628,477",34.5,3.4,483,0
MUNICIPALITIES,,,,,,,,483,0
Municipalities,Ol’kalou municipality,"9,887,900","18,997,664","5,262,035",-,53.2,-,483,0
,Engineer Municipality,"7,000,000","3,000,000","3,774,140",-,53.9,-,483,0
,"Mairo-Inya Munic-
ipality","8,000,000","3,500,000","2,650,000",-,33.1,-,483,0
Sub Total,,"24,887,900","25,497,664","11,686,175",-,47.0,-,483,0
"AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,483,0
"Crop development
and management","land and crop devel-
opment","70,379,617","469,424,036","36,225,402","187,739,728",51.5,40.0,483,0
,"Seed Potato Produc-
tion Unit (SPPU Lab)","19,275,325",-,"1,542,438",,8.0,-,483,0
"Livestock resourc-
es management
and development","livestock production
and management","34,855,000","139,210,000","3,753,042",,10.8,-,483,0
,Veterinary Services,"18,950,000","2,000,000","13,163,376",,69.5,-,483,0
"Fisheries De-
velopment and
management","fisheries policy,
strategy and capacity
building","3,500,000","1,000,000","1,112,005",,31.8,-,483,0
"General adminis-
tration, planning
and support
services","Institution Support
(ATCs)","21,900,000",,"3,562,086",,16.3,-,483,0
,"Agriculture Mechani-
zation Services","5,921,800",,"2,516,549",,42.5,-,483,0
,"General Administra-
tion and Extension
Services","9,015,383",,"6,621,367",,73.4,-,483,0
,"Subsidized Artificial
Insemination","49,750,000",,"4,537,670",,9.1,-,483,0
Sub Total,,"233,547,125","611,634,036","73,033,935","187,739,728",31.3,30.7,483,0
