Programme,Sub-Programme,Approved Original Estimates FY 2023/24 (Kshs.),col_3,col_4,"Actual Expenditure Jul - Mar
24 (Kshs.)",col_6,Absorption Rate,col_8,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure",Gross,"Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",191,0
"County Coordination
Services","County Coordination
Services","137,051,145",-,"137,051,145","94,759,480",-,69,-,191,0
,,"137,051,145",-,"137,051,145","94,759,480",-,69,-,191,0
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,,,,191,0
"Administration,
Planning and Support
Services.","Administration Ser-
vices.","231,136,530","83,735,659","314,872,189","160,623,572","98,215,085",69,117,191,0
"Administration,
Planning and Support
Services.","Monitoring Budget
Implementation and
Reporting","28,687,985","6,379,644","35,067,629","7,486,680",-,26,-,191,0
"Public Finance Man-
agement","Budget formulation,
coordination and man-
agement","8,400,000","553,360,903","561,760,903","1,973,600",-,23,-,191,0
Audit Services,County Audit,"4,975,639","3,000,000","7,975,639","1,158,200",-,23,-,191,0
Sub-Total,,"273,200,154","646,476,206","919,676,360","171,242,052","98,215,085",63,15,191,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,,191,0
"Policy, Strategy and
Management of Agri-
culture","Development of Agri-
cultural Policy, Legal &
Regulatory framework.","53,301,163",-,"53,301,163","35,230,890","10,000,000",66,-,191,0
"Crop Development and
Management","Agriculture Extension
Services","58,894,485","496,837,574","555,732,059","47,795,592","2,636,195",81,1,191,0
"Livestock Resource
Management and
Development","Livestock Disease Man-
agement and Control.","2,024,041","21,184,205","23,208,246","554,100",-,27,-,191,0
"Livestock Resource
Management and
Development","Livestock Production
and Extension Services","51,654,981",-,"51,654,981","17,922,948",-,35,-,191,0
Fisheries development,"Management and
Development of Capture
Fisheries","6,905,001","500,000","7,405,001","324,500",-,5,-,191,0
Sub-Total,,"172,779,671","518,521,779","691,301,450","101,828,030","12,636,195",59,2,191,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,,,,191,0
"Environment policy
development and
coordination","Planning Coordination
Policy and Administra-
tive Services","144,072,462","63,145,000","207,217,462","89,823,382","13,899,863",62,22,191,0
Water supply services,Rural Water Supply,"14,365,228","218,860,274","233,225,502","1,337,500","75,407,445",9,34,191,0
Sub-Total,,"158,437,690","282,005,274","440,442,964","91,160,882","89,307,308",58,32,191,0
,,"Recurrent
Expenditure","Development
Expenditure",Gross,"Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",192,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,,,,192,0
"General Adminis-
tration & Planning
Services.","Policy Development and
Administration","549,596,382","10,000,000","559,596,382","354,075,739",-,64,-,192,0
Basic Education,"Early Childhood Devel-
opment Education","216,382,852","89,573,270","305,956,122","146,061,921","28,870,745",68,32,192,0
"Gender and Social
Development","Social Welfare Services/
Social Infrastructure
Development","3,000,000","17,035,537","20,035,537","1,000,001","7,484,249",33,44,192,0
"Youth development
and empowerment
services","Youth Development
(YP) Training",-,"57,000,000","57,000,000",-,-,-,-,192,0
Sub-Total,,"768,979,234","173,608,807","942,588,041","501,137,661","36,354,994",65,21,192,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,,192,0
Curative Health,"Administration and
Planning","1,581,600,049","142,141,193","1,723,741,242","934,841,810",-,59,-,192,0
Curative Health,"Hospital(curative)
Services",-,-,-,-,-,-,-,192,0
"Preventive and Promo-
tive Health","Preventive Medicine
and Promotive Health","1,170,865,728","141,648,789","1,312,514,517","480,437,264","12,934,195",41,9,192,0
Sub-Total,,"2,752,465,777","283,789,982","3,036,255,759","1,415,279,074","12,934,195",51,5,192,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,,,,192,0
"Administration and
support services","General Administration
and Planning","40,701,923","45,000,000","85,701,923","42,249,640","22,500,000",104,50,192,0
"Housing Development
and Human Resource",Housing Development,"9,243,184",-,"9,243,184","5,717,940",-,62,-,192,0
"Land policy and
planning","Development Planning
and Land Reforms","34,395,730","22,022,942","56,418,672","8,382,574","18,247,177",24,-,192,0
"Land policy and
planning",Land Use Planning,"6,152,443",-,"6,152,443","4,822,611",-,78,-,192,0
Sub-Total,,"90,493,280","67,022,942","157,516,222","61,172,766","40,747,177",68,61,192,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,,,,192,0
"Transport Management
and Safety","General Administration
Planning and Support
Services","73,712,784",-,"73,712,784","59,276,368",-,80,-,192,0
"Infrastructure, Roads
and Transport",Rehabilitation of Road,"3,400,000","587,441,016","590,841,016","80,000","167,062,562",2,28,192,0
"Infrastructure, Roads
and Transport","Maintenance of Roads
and Bridges/Periodic
Maintenance","21,206,317","3,000,000","24,206,317",-,-,-,-,192,0
Sub-Total,,"98,319,101","590,441,016","688,760,117","59,356,368","167,062,562",60,28,192,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,,,,192,0
"Trade development
and investment","Fairtrade Practices and
Consumer Protection
(weight & measures)","20,620,890","23,202,942","43,823,832","14,924,938",-,72,-,192,0
"Trade development
and investment","Administrative and
Support Services.","37,619,414","200,000,000","237,619,414","19,773,808",-,53,-,192,0
"Cooperative develop-
ment and management","Cooperative Advisory &
Extension Services.",-,-,-,-,-,-,-,192,0
"Tourism development
and marketing","Local Tourism Devel-
opment.","5,882,961","5,000,000","10,882,961","215,400",-,-,-,192,0
Sub-Total,,"64,123,265","228,202,942","292,326,207","34,914,145",-,54,-,192,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,,,,192,0
"Information & Com-
munication Service","News and Information
Services","53,836,604",-,"53,836,604","29,778,377","8,201,683",55,-,192,0
"Information & Com-
munication Service","ICT and BPO develop-
ment services",-,"40,262,387","40,262,387",-,-,-,-,192,0
