Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Department of Water, Irrigation and Natural Resources",,,,,,,,87,0
"CP 46: General
Administrative and
support services","CSP 46.1: Administrative
support services","161,899,790",-,"108,796,729",-,67.2,-,87,0
"CP 47: Water supply
services","CSP 47.1: Urban water
supply and sewerage",-,"18,998,385",-,-,-,-,87,0
,CSP 47.2: Rural water supply,-,"201,644,823",-,-,-,-,87,0
"CP 48: Environmen-
tal management and
protection","CSP 48.1 Environmental
management",-,"26,400,000",-,"4,881,574",-,18.5,87,0
"CP 49: Small
holder irrigation and
drainage","CSP 49.1: Irrigation infra-
structure development",-,"8,648,809",-,-,-,-.,87,0
"CP 50: Forest
development and
management","CSP 50.1: Rehabilitation
and Restoration degraded
landscape",-,"22,771,169",-,"1,125,701",-,4.9,87,0
"CP 51: Climate
Change Fund","CSP 51.1: Financing
Locally-Led Climate Action
Program (FLLOCA)",-,"171,276,420",-,"36,947,971",-,21.6,87,0
,"CSP 51.2: Establishment of
Climate Change information
service hub Phase 1",-,"10,985,500",-,-,-,-,87,0
CP 52: Other projects,"CSP 52.1: Other Develop-
ment projects",-,"113,688,487",-,-,-,-,87,0
,Sub-Total,"161,899,790","574,413,593","108,796,729","42,955,246",67.2,7.5,87,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",88,0
Department of Health and Sanitation,,,,,,,,88,0
"CP 53: General
Administration and
support services","CSP 53.1: Administrative
support service","2,371,289,114",-,"1,580,693,632",-,66.7,-,88,0
"CP 54: Curative
Health Services","CSP 54.1: Infrastructure
development",-,"195,668,376",-,"3,234,664",-,1.7,88,0
,"CSP 54.2: Hospital equip-
ment",-,"18,000,000",-,-,-,-,88,0
"CP 55: Preventive
and Promotive Health
Services","CSP 55.1: Infrastructure
development",-,"119,877,878",-,-,-,-,88,0
,"CSP 55.2: Lower-level hospi-
tal equipment",-,"19,499,950",-,-,-,-,88,0
,"CSP 55.4: Health promotion
unit",-,"55,466,970",-,-,-,-,88,0
,Sub-Total,"2,371,289,114","408,513,174","1,580,693,632","3,234,664",66.7,1.7,88,0
County Public Service Board,,,,,,,,88,0
"CP 57: General
Administration and
support services","CSP 57.1: Administrative
support service","100,769,619",-,"35,616,283",-,-,-,88,0
,Sub-Total,"100,769,619",-,"35,616,283",-,-,-,88,0
County Law Office,,,,,,,,88,0
"CP 57: General
Administration and
support services","CSP 57.1: Administrative
support service","85,751,725",-,"20,108,053",-,-,-,88,0
,Sub-Total,"85,751,725",-,"20,108,053",-,-,-,88,0
Department of Strategic Partnership and Digital Economy,,,,,,,,88,0
"CP 58: General
Administration and
support services","CSP 58.1: Administrative
support service","52,076,677",,-,-,-,-,88,0
"CP 59: Information
Communication
Technology",CSP 59.1: Infrastructure,,"10,000,000",,,,,88,0
,Sub-Total,"52,076,677","10,000,000",-,-,-,-,88,0
The Governorship,,,,,,,,88,0
"CP 60: General
Administration and
support services","CSP 60.1: Administrative
support service","354,157,435",-,"160,670,709",-,45.4,-,88,0
"CP 61: Disaster Risk
Management","CSP 61.1: Disaster pre-
paredness",-,"43,580,175",-,"15,987,870",-.-,36.7,88,0
,Sub-Total,"354,157,435","43,580,175","160,670,709","15,987,870",45.4,36.7,88,0
,County Assembly,,,,,,,88,0
"CP 65: General
Administration and
support services","CSP 65.1: Administrative
support service","890,557,352",-,"648,646,038",-,72.8,-,88,0
"CP 66: Infrastructure
Development",CSP 65.1: Infrastructure,-,"90,500,000",,"16,989,500",-,18.8,88,0
