Programme,Sub-Programme,"Approved Estimates FY 2023/24
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate %,col_7,page_number,table_index
"ICT Infrastructure Con-
nectivity","ICT Infrastructure Connec-
tivity","6,715,000",-,-,-,-,-,421,0
,Information Security,"43,585,000",-,"20,330,601",-,47,-,421,0
Total - Innovation and Digital Economy,,"228,763,659","200,000,000","91,081,785",-,40,-,421,0
"R5332 Health, Wellness and Nutrition",,,,,,,,421,0
,,Rec,Dev,Rec,Dev,Rec,Dev,422,0
Public Health,"HIV/AIDS Prevention &
Control Unit","1,000,000",-,"98,400",-,10,-,422,0
,TB Control,"900,000",-,"127,500",-,14,-,422,0
,"Malaria Control & Other
Communicable Diseases","900,000",-,-,-,-,-,422,0
,Environmental / Public Health,"10,000,000",-,"657,800",-,7,-,422,0
,Health policy and Regulation,"10,000,000","45,000,000","1,967,000",-,2,-,422,0
,Coroner Services Unit,"15,000,000","69,000,000",-,-,-,-,422,0
,"Nairobi County Public Health
Emergency Response","7,200,000","73,000,000",-,-,-,-,422,0
Health Facilities,County Referral Hospitals,-,-,-,-,-,-,422,0
,Mbagathi District Hospital,"5,000,000","100,000,000",-,-,-,-,422,0
,Pumwani Maternity Hospital,"6,800,000","70,000,000",-,-,-,-,422,0
,Mama Lucy Hospital,"6,000,000","190,000,000",-,-,-,-,422,0
,"Mama Margaret Uhuru
Kenyatta Hospital","5,000,000",--,-,-,-,-,422,0
,Mutuini Hospital,"2,200,000","42,000,000",--,-,-,-,422,0
,Health planning and financing,"31,165,000","77,000,000","206,400",-,1,-,422,0
,"Health Centres & Dispen-
saries","72,228,250","433,000,000","53,493,648",-,74,-,422,0
,Pumwani School of Nursing,"5,655,000","30,000,000",-,-,-,-,422,0
,Health Commodities,"400,000,000",-,-,-,-,-,422,0
Medical Services,Primary Health Care,"22,635,000",-,"1,910,800",-,8,-,422,0
,Nairobi Medical Insurance,"50,000,000",-,-,-,-,-,422,0
,"Reproductive Health & Ma-
ternal Health (RMNCAH)","7,765,000",-,"335,400",-,4,-,422,0
,Clinical Services,,-,,-,-,-,422,0
,Clinical Services,"5,700,000",-,"1,515,400",-,27,-,422,0
,Non-communicable diseases,"4,900,000",-,--,-,-,-,422,0
,"Research, Quality assurance
& standards unit","4,000,000",-,-,-,-,-,422,0
Wellness and Nutrition,Nutrition,"12,250,000",-,"105,700",-,1,-,422,0
,Wellness,"9,000,000",-,"52,850",-,1,-,422,0
"Administration/Human
Resource for Health","Administration/Human
Resource for Health","6,376,005,086",-,"5,030,095,851",-,79,-,422,0
Total - Health Wellness & Nutrition,,"7,071,303,336","1,129,000,000","5,090,566,749",-,72,-,422,0
Built Environment & Urban Planning,,-,-,-,-,-,-,422,0
"General Administrative
Services","Administration, Planning &
Support Services","367,120,278",-,"270,252,751",-,74,-,422,0
"Urban Development &
Planning","Urban Planning Compliance
& Enforcement Services","26,000,000","45,000,000","661,600",-,3,-,422,0
Land management,"Land Survey, GIS and Map-
ping Services","26,000,000",--,"4,501,800",-,17,-,422,0
,,Rec,Dev,Rec,Dev,Rec,Dev,423,0
"Housing Development
and Building Services","Urban Renewal 580,000,000;
0123015310 Sp23.1 Housing
and Urban Renewal Services
20,000,002","20,000,000","580,000,000","1,629,000",-,8,-,423,0
,Building services,"10,000,000",--,-,-,-,-,423,0
Total - Built Environment & Urban Planning,,"449,120,278","625,000,000","277,045,151",-,62,-,423,0
Mobility And Works,,,,,,,,423,0
"General Administration,
Planning & Support
Services","Mobility and Works Head-
quarters","914,660,962",-,"634,570,153",-,69,-,423,0
Works,Roads,"15,200,000","2,269,184,460",-,"407,659,189",-,18,423,0
,Electrical,"6,000,000","400,000,000",-,"83,790,000",-,21,423,0
,Building Works,"3,160,000","8,000,000","400,000",--,13,-,423,0
