Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
County Assembly Service Board,,,,,,,,263,0
"P1: General Administra-
tion, Planning and Support
Services",701013710,"326,055,863.00","229,058,553.00","227,806,602.00",-,69.9,-,263,0
"P2: Legislation, Represen-
tation and Oversight",715013710,"854,758,425.00",-,"502,703,632.00",-,58.8,-,263,0
Sub Total,,"1,180,814,288.00","229,058,553.00","730,510,234.00",-,61.9,-,263,0
Kitui Municipality,,,,,,,,263,0
"P1: General Administration
Planning and Support
Services",201003710,"45,340,082.00","3,000,000.00","28,943,556.00","5,646,858.00",63.8,188.2,263,0
P2: Road Transport,202003710,"8,961,500.00","77,208,731.00","12,092,958.00","52,831,623.00",134.9,68.4,263,0
"P 3: Trade Development
and Promotion",307003710,"3,480,000.00","12,500,000.00","5,552,991.00",-,159.6,-,263,0
"P.4 Control and Manage-
ment of Public Finances",730003710,"5,111,184.00",-,"4,336,502.00",-,84.8,-,263,0
"P .5 Social Protection,
Culture and Recreation",900003710,"16,590,000.00","20,261,711.00","2,322,224.00",-,14.0,-,263,0
"P .6 Kenya Urban Support
Programme",26405033710,-,-,-,-,-,-,263,0
Sub Total,,"79,482,766.00","112,970,442.00","53,248,231.00","58,478,481.00",67.0,51.8,263,0
Mwingi Municipality,,,,,,,,263,0
"P1: General Administration
Planning and Support
Services",201003710,"40,555,896.00","3,500,000.00","2,714,441.00","3,720,517.00",6.7,106.3,263,0
