Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",110,0
OFFICE OF GOVERNOR,,,,,,,,110,0
"General Adminis-
tration Planning
and Support
Services","Management of County
Affairs (Office of Gov-
ernor)","171,885,997.72","9,331,999.38","102,839,769.30","9,331,999.38",59.83,-,110,0
"County
Leadership and
Coordination","Sub-County Administra-
tion and Field Services
(Office of County
Secretary)","26,099,710.82","1,417,000.15","15,615,514.21","1,417,000.15",59.83,-,110,0
"County
Leadership and
Coordination","Management of County
Executive Services (Office
of County Secretary)","26,099,710.82","1,417,000.15","15,615,514.21","1,417,000.15",59.83,-,110,0
"County Govern-
ment Advisory
Services","Public Sector Advisory
Services (Legal, Political,
and Economic Advisors)","52,199,421.64","2,834,000.31","31,231,028.42","2,834,000.31",59.83,-,110,0
Sub Total,,"276,284,841.00","15,000,000.00","165,301,826.13","15,000,000.00",59.83,100,110,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,110,0
"General Adminis-
tration Planning
and Support
Services","Recruitment and Selection,
Career Management, HR
Policy & Audit","12,417,322.00",-,"9,290,362.83",-,74.82,-,110,0
"General Adminis-
tration Planning
and Support
Services","Administration of Board
programmes/ Agenda","10,347,768.00",-,"7,741,968.78",-,74.82,-,110,0
"General Adminis-
tration Planning
and Support
Services","Performance Management
& Discipline","6,799,962.00",-,"5,087,579.61",-,74.82,-,110,0
Sub Total,,"29,565,052.00",-,"22,119,911.22",-,74.82,-,110,0
"ADMINISTRATION, PUBLIC SERVICE, DEVOLUTION, GOVERNANCE, ICT AND GOVERNOR’S DELIVERY UNIT",,,,,,,,110,0
"General Adminis-
tration Planning
and Support
Services","Service delivery and
management of County
Affairs","252,407,050.02","3,583,856.02","187,224,208.19","3,049,821.21",74.18,-,110,0
Public Service,"Human Resource Devel-
opment","199,334,992.48","2,830,300.95","147,857,740.62","2,408,554.31",74.18,-,110,0
Public Service,"Construction of Ward
Offices","125,815,744.50","1,786,422.03","93,324,465.93","1,520,225.07",74.18,-,110,0
Sub Total,,"577,557,787.00","8,200,579.00","428,406,414.75","6,978,600.60",74.18,85.10,110,0
COUNTY ASSEMBLY,,,,,,,,110,0
"General Adminis-
tration, Planning
and Support
Services",Administrative Services,"185,521,304.42","8,918,979.75","91,820,302.47","8,684,932.64",49.49,-,110,0
"General Adminis-
tration, Planning
and Support
Services","Legislation, Represen-
tation and Legislative
Oversight","185,521,304.42","8,918,979.75","91,820,302.47","8,684,932.64",49.49,-,110,0
"General Adminis-
tration, Planning
and Support
Services",Representation Services,"185,521,304.42","8,918,979.75","91,820,302.47","8,684,932.64",49.49,-,110,0
"General Adminis-
tration, Planning
and Support
Services","County Assembly Infra-
structure Improvement","67,458,036.74","3,243,060.76","33,387,094.58","3,157,958.09",49.49,-,110,0
Sub Total,,"624,021,950.00","30,000,000.00","308,848,002.00","29,212,756.00",49.49,97.38,110,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",111,0
FINANCE AND ECONOMIC PLANNING.,,,,,,,,111,0
"General Adminis-
tration Planning
and Support
Services","Administration, Planning
and Support Services","387,788,665.91","667,008.64","320,052,655.90",-,82.53,-,111,0
"Economic Pol-
icy and County
Planning","Economic Development,
Planning and Coordination
Services","103,775,819.95","178,497.66","85,649,039.58",-,82.53,-,111,0
"Financial Man-
agement Services","Control and Management
of Public Finances","89,820,283.13","154,493.70","74,131,151.06",-,82.53,-,111,0
Sub Total,,"581,384,769.00","1,000,000.00","479,832,846.54",-,82.53,-,111,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALIZATION",,,,,,,,111,0
"General Admin-
istration and
Planning","General Administration
and Support Services","1,616,919.63","21,056,920.00","776,634.49","1,109,064.14",48.03,-,111,0
"Trade Develop-
ment",Capacity Development,"4,662,285.99","60,716,303.47","2,239,376.68","3,197,916.65",48.03,-,111,0
"Trade Develop-
ment",Weights and measures,"4,662,285.99","60,716,303.47","2,239,376.68","3,197,916.65",48.03,-,111,0
"Trade Develop-
ment",Alcohol and licensing,"4,662,285.99","60,716,303.47","2,239,376.68","3,197,916.65",48.03,-,111,0
"Industrial
Development and
Investment","Investment promotion
venture","2,860,692.55","37,254,402.17","1,374,040.16","1,962,182.58",48.03,-,111,0
"Industrial
Development and
Investment","Promotion of value
addition","2,860,692.55","37,254,402.17","1,374,040.16","1,962,182.58",48.03,-,111,0
"Tourism de-
velopment and
promotion","Tourism Infrastructure
Development","2,340,566.65","30,480,874.63","1,124,214.68","1,605,422.12",48.03,-,111,0
"Tourism de-
velopment and
promotion","International and domestic
Tourism Promotion &
Marketing","2,340,566.65","30,480,874.63","1,124,214.68","1,605,422.12",48.03,-,111,0
Sub Total,,"26,006,296.00","338,676,384.00","12,491,274.22","17,838,023.50",48.03,5.27,111,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,,,111,0
"Administrative
Support Services","General Administration
and Support Services","36,571,035.08","91,953,087.13","10,405,869.55","8,988,903.92",28.45,-,111,0
"Crop Devel-
opment and
Management","Agriculture Extension
Services","62,970,716.98","158,331,636.28","17,917,596.95","15,477,760.57",28.45,-,111,0
"Crop Devel-
opment and
Management",Irrigation and civil works,"55,386,908.20","139,263,140.46","15,759,710.94","13,613,713.57",28.45,-,111,0
"Livestock
Resources
Management and
Development",Livestock productivity,"53,992,574.91","135,757,271.66","15,362,969.36","13,270,996.22",28.45,-,111,0
"Livestock
Resources
Management and
Development",Value chain development,"51,253,110.27","128,869,245.95","14,583,486.04","12,597,655.03",28.45,-,111,0
"Fisheries Devel-
opment","Promotion of fish pro-
duction","15,228,759.78","38,290,725.76","4,333,169.33","3,743,122.34",28.45,-,111,0
"Cooperative
Development &
Management","Capacity development in
value addition","15,228,759.78","38,290,725.76","4,333,169.33","3,743,122.34",28.45,-,111,0
Sub Total,,"290,631,865.00","730,755,833.00","82,695,971.50","71,435,274.00",28.45,9.78,111,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",112,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,112,0
"General Adminis-
tration, Planning
and Support
Services","General Administration
Services","6,398,065.13","30,232,873.26","692,221.59","2,191,703.89",10.82,-,112,0
"Water Service
Delivery",Domestic water supply,"12,796,130.62","60,465,748.23","1,384,443.22","4,383,407.89",10.82,-,112,0
"Irrigation and
civil works",Irrigation and civil works,"3,199,032.56","15,116,436.63","346,110.80","1,095,851.94",10.82,-,112,0
"Environmental
Management and
Conservation",Physical Planning Services,"3,199,032.56","15,116,436.63","346,110.80","1,095,851.94",10.82,-,112,0
"Forestry and
Landscapes
Conservation","Forestry and Landscapes
Conservation","3,199,032.56","15,116,436.63","346,110.80","1,095,851.94",10.82,-,112,0
"Climate Change
Mitigation and
Adaptation","Climate Change Mitiga-
tion and Adaptation","3,199,032.56","15,116,436.63","346,110.80","1,095,851.94",10.82,-,112,0
Sub Total,,"31,990,326.00","151,164,368.00","3,461,108.00","10,958,519.55",10.82,7.25,112,0
HEALTH,,,,,,,,112,0
"Curative Health
Services",Primary Healthcare,"1,099,682,961.84","106,549,947.09","664,972,784.69","16,877,642.60",60.47,-,112,0
"Preventive and
Promotive Health
Services","Health Promotion and
Disease Control","454,242,522.03","44,012,245.68","274,678,180.24","6,971,593.82",60.47,-,112,0
"General Adminis-
tration Planning
and Support
Services","General Administration
Services","358,615,474.13","34,746,796.23","216,852,982.85","5,503,935.24",60.47,-,112,0
Sub Total,,"1,912,540,958.00","185,308,989.00","1,156,503,947.78","29,353,171.65",60.47,15.84,112,0
EMBU LEVEL 5 HOSPITAL,,,,,,,,112,0
"Curative Health
Services",Primary Healthcare,"152,020,645.77","78,610,430.64","104,947,440.24","9,287,345.30",69.03,-,112,0
"Preventive and
Promotive Health
Services","Health Promotion and
Disease Control","41,761,037.12","21,594,784.68","28,829,728.52","2,551,292.75",69.03,-,112,0
"General Adminis-
tration Planning
and Support
Services","General Administration
Services","30,544,717.12","15,794,784.68","21,086,542.94","1,866,057.95",69.03,-,112,0
Sub Total,,"224,326,400.00","116,000,000.00","154,863,711.70","13,704,696.00",69.03,11.81,112,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,,,112,0
