Program,Sub Program,Description,"Approved Budget
KShs","Actual Expenditure
KShs","Absorption
Rate (%)",page_number,table_index
102003000,,,"773,073,004.00","559,239,906.80",72.34,458,1
,102024610,Crop Productivity Improvement,"773,073,004.00","559,239,906.80",72.34,458,1
103003000,,,"146,651,285.00","1,742,962.00",1.19,458,1
,103014610,"Livestock Pests & Disease Management &
Control","49,334,993.00","330,660.00",0.67,458,1
,103074610,Livestock Information Management,"97,316,292.00","1,412,302.00",1.45,458,1
104003000,,,"56,244,856.00","385,880.00",0.69,458,1
,104014610,Fish Products Production,"56,244,856.00","385,880.00",0.69,458,1
105003000,,,"42,981,099.00","2,438,949.00",5.67,459,0
,105014610,Development Planning and Land Reforms,"42,981,099.00","2,438,949.00",5.67,459,0
106003000,,,"254,827,146.00","15,606,438.00",6.12,459,0
,106014610,Housing Development,"254,827,146.00","15,606,438.00",6.12,459,0
107003000,,,"346,150,877.00","28,892,617.00",8.35,459,0
,107014610,"Metropolitan Planning & Infrastructure
Development","346,150,877.00","28,892,617.00",8.35,459,0
201003000,,,"2,967,981,730.00","1,836,559,716.00",61.88,459,0
,201014610,"General Administration, Planning and Support
Services","195,139,698.00","89,291,240.00",45.76,459,0
,201024610,Construction of Roads and Bridges,"2,670,965,911.00","1,647,076,744.00",61.67,459,0
,201034610,Maintenance of Roads,"101,876,121.00","100,191,732.00",98.35,459,0
202003000,,,"23,444,235.00","1,494,600.00",6.38,459,0
,202014610,ICT Infrastructure Development,"23,444,235.00","1,494,600.00",6.38,459,0
208000000,,Information And Communication Services,"59,150,000.00","1,518,500.00",2.57,459,0
,208049999,E-Government Services,"59,150,000.00","1,518,500.00",2.57,459,0
301003000,,,"571,132,831.00","31,544,471.00",5.52,459,0
,301014610,Administrative Services,"187,195,168.00","30,960,771.00",16.54,459,0
,301024610,Cooperative Development & Management,"12,607,752.00",-,-,459,0
,301034610,Trade Development and Promotion,"371,329,911.00","583,700.00",0.16,459,0
303003000,,,"454,371,796.00","16,274,575.00",3.58,459,0
,303014610,Tourism Promotion and Marketing,"454,371,796.00","16,274,575.00",3.58,459,0
306000000,,Tourism Development and Promotion,"61,876,471.00","60,245,768.00",97.36,459,0
,306039999,Tourism Infrastructure Development,"61,876,471.00","60,245,768.00",97.36,459,0
401003000,,,"488,750,000.00","465,308,630.00",95.20,459,0
,401014610,Health Promotion,"488,750,000.00","465,308,630.00",95.20,459,0
402003000,,,"345,509,864.00","78,431,944.00",22.70,459,0
,402014610,Referral Services,"345,509,864.00","78,431,944.00",22.7,459,0
403003000,,,"2,749,541,415.00","1,540,023,665.70",56.0,459,0
,403014610,"Health Policy, Planning and Financing","2,749,541,415.00","1,540,023,665.70",56.0,459,0
502003000,,,"1,276,953,317.00","1,202,468,979.50",94.2,459,0
,502014610,Early Child Development and Education,"1,276,953,317.00","1,202,468,979.50",94.2,459,0
701003000,,,"1,095,609,385.75","643,521,009.00",58.7,459,0
,701014610,Administrative Services,"264,026,087.00","78,806,428.00",29.9,459,0
,701044610,Coordination and Administrative Services,"175,654,103.00","150,011,343.00",85.4,459,0
,701054610,"Public Service and Field Administrative
Services","364,011,189.75","361,020,390.00",99.2,459,0
,701084610,Board Management Services,"291,918,006.00","53,682,848.00",18.4,459,0
702003000,,,"1,206,176,271.00","842,891,659.00",69.9,459,0
