Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",351,1
County Assembly,,,,,,,,351,1
"1: General
Administra-
tion Support
Services","SP 1.1 salaries and allow-
ances for employees and
M.C.As","252,669,199.00",-,"185,158,724.00",-,73.3,-,351,1
,"SP 1.2 Employer Contribu-
tion to Pension","9,550,000.00",-,"7,529,789.00",-,78.8,-,351,1
,"SP 1.2 Hospitality, Catering
services, donations and
gifts, boards, committees,
conferences and seminars","45,074,469.00",-,"35,294,293.00",-,78.3,-,351,1
,"SP 1.3 Domestic payables
from previous financial
years","19,717,081.00","275,801,070.00","19,717,081.00","10,608,674.00",100.0,3.8,351,1
"Programme
2: Legis-
lature and
Oversight","SP 2.1 Domestic and
foreign accommodation, air
travel and daily subsistence
allowance","146,357,475.00",-,"128,182,522.0",,87.6,-,351,1
,"SP 2.2 ICT, Hansard and
Communication Equipment","7,500,000.00",-,"4,100,989.00",,54.7,-,351,1
,"SP 2.3 Mortgage & Car
Loans and Tax","57,407,675.00",-,"57,407,675.00",,100.0,-,351,1
,"SP 2.4 Staff Training and
Development and Tuitions","32,907,263.00",-,"27,077,720.00",,82.3,-,351,1
"Programme
3: County
Assembly In-
frastructure
Improvement","SP 3.11 Equipping of
library",,-,,,,,351,1
,"SP 3.12 Maintenance of
motor vehicle","7,750,000.00",-,"7,750,000.00",-,100.0,-,351,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",352,0
,"SP 3.13 Purchase of furni-
ture and general equipment","1,500,000.00",-,"1,500,000.00",-,100.0,-,352,0
,"SP 3.14 Construction
of County Assembly
Headquarters and modern
chambers, purchase of land
for speaker’s residence,
construction and equipping
of ward offices",,"249,682,919.00",-,"20,326,850.00",-,8.1,352,0
,"SP 3.15 Improvement of
ICT services","3,015,500",-,"3,015,500.00",-,100.0,-,352,0
,"SP 3.16 Maintenance of
plants, machinery & other
assets","7,016,760.00",-,"3,538,600.00",-,50.4,-,352,0
,"SP 3.17 Electricity, water
and sewerage and other
utility charges","11,928,878.00",-,"9,873,000.00",-,82.8,-,352,0
,"SP 3.18 Printing, adver-
tisement and information
supplies and services","33,321,371.00",-,"32,460,953.00",-,97.4,-,352,0
,"SP 3.19 Rental of approved
assets and hire of motor
vehicles","2,200,000.00",-,"650,000.00",-,29.5,-,352,0
,"SP 3.20 Insurance cost for
group personal, building,
motor vehicle and medical
cover","34,979,999.00",-,"34,979,999.00",-,100.0,-,352,0
,"SP 3.21 Purchase of
computers, printers, general
office supplies, accesso-
ries and sanitary cleaning
materials","37,386,793.00",-,"37,357,918.00",-,99.9,-,352,0
,"SP 3.22 Fuel, oil, lubricants
and tyres","8,000,000.00",-,"8,000,000.00",-,100.0,-,352,0
,"SP 3.23 Bank service
commission and charges,
legal fees, management
fees, contracted professional
charges and other operating
expenses","8,714,883.00",-,"5,451,092.00",-,44.6,-,352,0
,SP 3.24 Ward office,"32,352,000.00",-,"21,882,533.00",-,67.6,-,352,0
,"SP 3.25 Uniform, Special-
ized materials and supplies","8,000,000.00",-,"7,589,090.00",-,94.9,-,352,0
,"-SP 3.26 Membership fees
and dues and subscription
for international organi-
zation","5,500,000.00",-,"978,232",-,17.8,-,352,0
,"SP 3.28 Refurbishment of
buildings","4,000,000.00",-,"3,500,000.00",-,87.5,-,352,0
,SP 3.29 Gratuity/pension,"14,367,735.00",-,"8,792,601.00",-,61.2,-,352,0
,Sub Total,"791,217,081.00","525,483,989.00","651,788,311.00","30,935,524.00",82.4,5.9,352,0
County Executive services,,,,,,,,352,0
"Management
of County
Affairs",County Executive services,"477,791,217.00",-,"344,564,682.48",-,72.1,-,352,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",353,0
"Management
of County
Affairs","Executive Infrastructure
Development",,"535,112,933.00",-,"474,058,303.75",-,88.6,353,0
,Sub-Total,"477,791,217.00","535,112,933.00","344,564,682.48","474,058,303.75",72.1,88.6,353,0
Finance & Economic Planning,,,,,,,,353,0
"General
administra-
tion planning
and Support
Services",Financial Services,"467,000,000.00","440,442,096.00","319,722,934","423,261,367",68.5,96.1,353,0
,Sub-Total,"467,000,000.00","440,442,096.00","319,722,934.15","423,261,366.80",68.5,96.1,353,0
"Agriculture, Livestock & Fisheries",,,,,,,,353,0
"General Ad-
ministration,
Planning
and Support
Services","General Administration,
Planning and Support
Services","102,921,590.00",-,"82,526,666.57",-,80.2,-,353,0
"Livestock
Production
and Manage-
ment","Livestock Production and
Management","116,732,928.00",-,"41,652,850.00",-,35.7,-,353,0
"Crop Devel-
opment and
Management","Lands and Crop Develop-
ment",-,"850,829,926.00",-,"39,246,429",-,4.6,353,0
"Fisheries
Development
and Manage-
ment","Fisheries Policy, Strategy
and Capacity Building","30,938,970.00",-,"5,717,010.00",-,18.5,-,353,0
,Sub-Total,"250,593,488.00","850,829,926.00","129,896,526.57","39,246,429.00",51.8,4.6,353,0
County Public Service Board,,,,,,,,353,0
"General
administra-
tion planning
and Support
Services",Administration services,"96,868,000.00",-,"15,970,101",-,16.5,-,353,0
"Human
Resource
Management
and Develop-
ment",Board Management Service,-,"23,500,000.00",-,"3,249,000",-,13.8,353,0
,Sub-Total,"96,868,000.00","23,500,000.00","15,970,101.00","3,249,000.00",16.5,13.8,353,0
"Education, Skill Development, Youth & Sports",,,,,,,,353,0
"General Ad-
ministration,
Planning
and Support
Services",Administration Services,"533,863,481.00",-,"433,785,798",-,81.3,-,353,0
"Early Child-
hood Devel-
opment and
Education","Early Childhood Develop-
ment and Education",-,"214,294,347.00",-,"10,818,880.00",-,5.0,353,0
,Sub-Total,"533,863,481.00","214,294,347.00","433,785,798.00","10,818,880.00",81.3,5.0,353,0
"Administration, Coordination & ICT",,,,,,,,353,0
"General
administra-
tion planning
and Support
Services",Administration services,"335,200,000.00",-,"223,066,620",-,66.5,-,353,0
