Program,"Sub Pro-
gramme",Description,Approved Budget,"Actual Expenditure
as of 31st March 2024",Absorption (%),page_number,table_index,col_6
3264001000,,Procurement,"1,799,500.00","2,917,600.00",162,532,0,
,706003260,"General Administration, Planning, Internal Audit &
Support Services","1,799,500.00","2,917,600.00",162,532,0,
3264001100,,Accounting Services,"2,720,000.00","12,362,150.00",454,532,0,
,706003260,"General Administration, Planning, Internal Audit &
Support Services","2,720,000.00","12,362,150.00",454,532,0,
,701003260,General Administration support services,-,-,-,532,0,
3264001200,,Kenya Devolution Support Programme,-,-,-,532,0,
,701003260,General Administration support services,-,-,-,532,0,
,706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,532,0,
3264001300,,,"90,539,805.20","14,735,600.00",16,532,0,
,706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,532,0,
,707003260,Treasury Development Programme,"90,539,805.20","14,735,600.00",16,532,0,
3265000100,,Headquarters,"485,310,131.00","907,888.00",-,532,0,
,102003260,Development programme,-,-,-,532,0,
,105003260,Livestock and Fisheries Development,"383,368,021.00",-,-,532,0,
,104003260,Agricultural Development Programme,"98,200,000.00",-,-,532,0,
,101003260,Administration Planning and Support Services,"3,742,110.00","907,888.00",24,532,0,
3265000200,,Livestock,"9,784,990.00","425,009.00",4,532,0,
,104003260,Agricultural Development Programme,"6,300,000.00",-,-,532,0,
,101003260,Administration Planning and Support Services,"3,484,990.00","425,009.00",12,532,0,
,105003260,Livestock and Fisheries Development,-,-,-,532,0,
,102003260,Development programme,-,-,-,532,0,
3265000300,,Fisheries,"902,928.00","262,140.00",29,532,0,
,102003260,Development programme,-,-,-,532,0,
,105003260,Livestock and Fisheries Development,-,-,-,532,0,
,101003260,Administration Planning and Support Services,"902,928.00","262,140.00",29,532,0,
3265000400,,Veterinary,"17,386,604.00","5,044,471.00",29,532,0,
,102003260,Development programme,-,-,-,532,0,
,101003260,Administration Planning and Support Services,"2,386,604.00","503,600.00",21,532,0,
,104003260,Agricultural Development Programme,"15,000,000.00","4,540,871.00",30,532,0,
,105003260,Livestock and Fisheries Development,-,-,-,532,0,
3265000500,,Agribusiness Project (EU Grant),-,-,-,532,0,
,101003260,Administration Planning and Support Services,-,-,-,532,0,
,105003260,Livestock and Fisheries Development,-,-,-,532,0,
,104003260,Agricultural Development Programme,-,-,-,532,0,
,,,,,,532,0,508
,102003260,Development programme,-,-,-,533,0,
3265000600,,Kenya Climate Smart Agric Program,"91,200,000.00","6,200,000.00",7,533,0,
,1001003260,Water and Irrigation Development Programme,-,-,-,533,0,
,104003260,Agricultural Development Programme,-,-,-,533,0,
,105003260,Livestock and Fisheries Development,"91,200,000.00","6,200,000.00",7,533,0,
3265000700,,Water,"3,991,302.00","1,000,000.00",25,533,0,
,105003260,Livestock and Fisheries Development,"3,991,302.00","1,000,000.00",25,533,0,
,104003260,Agricultural Development Programme,-,-,-,533,0,
3266000100,,Headquarters,-,-,-,533,0,
,101003260,Administration Planning and Support Services,-,-,-,533,0,
,105003260,Livestock and Fisheries Development,-,-,-,533,0,
3266000300,,Veterinary,-,-,-,533,0,
,101003260,Administration Planning and Support Services,-,-,-,533,0,
,105003260,Livestock and Fisheries Development,-,-,-,533,0,
3266000400,,Fisheries,-,-,-,533,0,
,101003260,Administration Planning and Support Services,-,-,-,533,0,
,105003260,Livestock and Fisheries Development,-,-,-,533,0,
3267000100,,Headquarters,"111,017,076.00","80,962,486.75",73,533,0,
,1002003260,"General Administration, Support and Support Services","4,117,076.00","1,701,722.00",41,533,0,
,1001003260,Water and Irrigation Development Programme,"106,900,000.00",79260764.75,74,533,0,
3267000200,,Water Services,-,-,-,533,0,
,1001003260,Water and Irrigation Development Programme,-,-,-,533,0,
,1002003260,"General Administration, Support and Support Services",-,-,-,533,0,
3267000300,,Bulk Water Project,"5,000,000.00",-,-,533,0,
,1001003260,Water and Irrigation Development Programme,"5,000,000.00",-,-,533,0,
3267000400,,Ambulance services,"969,176,400.00","823,600.00",-,533,0,
,1001003260,Water and Irrigation Development Programme,"969,176,400.00","823,600.00",-,533,0,
3267000500,,Public Health and Sanitation,"5,000,000.00",-,-,533,0,
,1001003260,Water and Irrigation Development Programme,"5,000,000.00",-,-,533,0,
3267000600,,Promotion of primary healthcare,"19,719,480.00","23,997,530.00",122,533,0,
,1002003260,"General Administration, Support and Support Services",-,-,-,533,0,
