Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Expenditure as of 31st March 2024
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,468,0
Department County Assembly,,,,,,,,468,0
"Programme 1: general
administration & support
services",,"413, 023,708",-,"272, 485, 668",-,66.0,-,468,0
,S.P. 1. General administration.,"281, 888, 438",-,"158, 508, 330",-,56.2,,468,0
,S.P. 2. Policy and Planning,"131,135, 270",-,"113, 977, 338",-,86.9,-,468,0
"Programme 2: Oversight
services",,"23, 206, 500",-,"14, 108, 850",-,60.8,-,468,0
,"S.P. 1. Committee manage-
ment services","23, 206, 500",-,"14, 108, 850",-,60.8,-,468,0
"Programme 3: legislation
& representation",,"310, 348, 285","198, 400, 656","131, 774, 202","55, 932, 141",42.5,28.2,468,0
,S.P. 1. Legislation services,"310, 348, 285",-,"131, 774, 202",-,42.5,-,468,0
,"S.P. 2. Infrastructure devel-
opment",-,"198, 400, 656",-,"55, 932, 141",-,28.2,468,0
,Sub Total,"746, 578, 493","198, 400, 656","418, 368, 720","55, 932, 141",56.0,28.2,468,0
Department of County Executive office.,,,,,,,,468,0
"Programme 1: General
administration & support
services.",,"359, 584, 342",-,"210, 937, 967",-,58.7,-,468,0
,S.P. 1. General administration,"296, 086, 009",-,"162, 820, 377",-,55.0,-,468,0
,"S.P. 2. Policy development &
support services","63, 498, 333",-,"48, 117, 590",-,75.8,-,468,0
"Programme 2: Gover-
nance & coordination
services",,"35, 288, 483",-,"12, 261, 000",-,34.7,-,468,0
,"S.P. 1. County results coor-
dination","9, 621, 880",-,"4, 949, 900",-,51.4,-,468,0
,"S.P. 2. Intergovernmental &
public relations","9, 950, 100",,"2, 423, 600",-,24.4,-,468,0
,"S.P. 3. Executive management
services","15, 716, 503",,"4, 887, 500",-,31.1,-,468,0
,Sub-Total,"394, 872, 825",,"223, 198, 967",-,56.5,-,468,0
Department of Finance and Accounting services.,,,,,,,,468,0
"Programme 1: General
administration & support
services",,"58, 612, 806",-,"45, 657, 223",,77.9,-,468,0
,S.P. 1 General Administration,"48, 098, 800",-,"38, 819, 123",-,80.7,-,468,0
,"S.P. 2. Policy development &
support serv.","2, 100, 000",-,"698, 500",-,33.3,-,468,0
,"S.P. 3. Supply chain manage-
ment","8, 414, 006",-,"6, 139, 600",-,73.0,-,468,0
"Programme 3: Account-
ing service",,-,"114, 799, 393",-,"160, 854, 863",-,140,468,0
,"S.P. 1. Accounting & financial
services",-,"114, 799, 393",-,"160, 854, 863",-,140,468,0
"Programme 4: Financial
management & control",,"106, 120, 388",-,"88, 066, 887",-,83.0,-,468,0
,S.P. 1. Financial services,"95, 319, 688",-,"81, 240, 987",-,85.2,-,468,0
,S.P. 2. Audit services,"10, 800, 700",-,"6, 825, 900",-,63.2,-,468,0
,Sub-Total,"164, 733, 194","114, 799, 393","133, 724, 110","160, 854, 863",81.2,,468,0
,,Rec,Dev,Rec,Dev,Rec,Dev,469,0
Department of Crop and Agribusiness Management,,,,,,,,469,0
"Programme 1: General
administration & support
services",,"48, 681, 488",-,"42, 195, 218",-,86.7,-,469,0
,S.P. 1. General administration,"48, 163, 798",-,"41, 861, 618",-,86.9,-,469,0
,S.P. 2. Policy and Planning,"517, 690",-,"333, 600",-,64.4,-,469,0
"Programme 2: Crop,
agribusiness",,"20, 792, 000","501, 126, 014","7, 886, 550","397, 678, 889",37.9,79.4,469,0
,"S.P. 1. Crop development
services","18, 142, 000","497, 057, 784","7, 164, 350","393, 610, 659",39.5,79.2,469,0
,"S.P. 2. Land use management
services","2, 650, 000","4, 068, 230","722, 200","4, 068, 230",27.3,100,469,0
,Sub-Total,"69, 473, 488","501, 126, 014","50, 081, 768","397, 678, 889",72.1,79.4,469,0
"Department of Environment, energy, natural resources and mining.",,,,,,,,469,0
"Programme 1: General
administration & support
services",,"72, 062, 430",-,"59, 176, 936",-,82.1,-,469,0
,S.P. 1 General Administration,"72, 062, 430",-,"59, 176, 936",-,82.1,-,469,0
"Programme 2: Energy
& mineral resources
services",,"8, 600, 000","9, 000, 000","1, 523, 427",-,17.7,-,469,0
,S.P. 1. Other sources of energy,"7, 200, 000","9, 000, 000","823, 927",-,11.4,-,469,0
,"S.P. 4. Mineral exploitation &
promotion","1, 400, 000",-,"699, 500",-,50.0,-,469,0
"Programme 3: Water
supply & management
services",,"2, 000, 000","53, 100, 000","1, 587, 900","8, 594, 801",79.4,16.2,469,0
,S.P. 1. Rural water services,"2, 000, 000","53, 100, 000","1, 587, 900","8, 594, 801",79.4,16.2,469,0
