Programme,Approved Estimates,col_2,"Actual Expenditure as of 31 March
2024",col_4,Absorption Rate (%),col_6,page_number,table_index
,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",273,0
Finance and Economic Planning,,,,,,,273,0
"Budget formulation, coordination and manage-
ment (0703023060)","160,033,884.00",-,"131,200,456.00",-,81.98,-,273,0
General Administration (0704043060),"559,024,698.00","91,670,601.00","298,023,059.05",-,53.31,-,273,0
Revenue Collection Management (0710013060),"91,643,833.00",-,"42,530,018.20",-,46.41,-,273,0
"Public Finance and Accounting Services
(0711013060)","15,291,841.00",-,"7,804,267.00",-,51.04,-,273,0
Procument Services (0711023060),"9,080,000.00",-,"3,110,800.00",-,34.26,-,273,0
Risk Assurance Services (0711033060),"15,465,000.00",-,"7,876,282.90",-,50.93,-,273,0
Personal Services (0704013060),"244,842,679.00",-,"192,385,671.25",-,78.58,-,273,0
Total,"1,095,381,935.00","91,670,601.00","682,930,554.40",-,62.35,-,273,0
"Agriculture, Livestock and Fisheries",,,,,,,273,0
102053060 General Administration,"157,384,830.00","342,147,092.00","123,266,421.00","55,975,912.00",78.32,16,273,0
107013060 Crop production,"4,430,000.00","819,224,720.00","2,553,723.00","107,729,452.00",57.65,13,273,0
108023060 Dairy and meat production,"2,320,000.00","44,400,000.00","1,253,189.00","5,320,000.00",54.02,12,273,0
109023060 fish production,"2,820,000.00","39,000,000.00","1,046,949.00","2,985,000.00",37.13,8,273,0
108033060 Livestock disease control,"6,430,000.00","68,163,550.00","758,800.00","13,321,086.00",11.80,20,273,0
107033060 Farm utilization and mechanization,"19,613,421.00","25,980,573.00","13,487,104.00","15,978,005.00",68.76,61,273,0
"107023060 Agriculture extension research
training","1,400,000.00","5,000,000.00","310,000.00",-,22.14,-,273,0
Total,"194,398,251.00","1,343,915,935.00","142,676,186.00","201,309,455.00",73.39,15,273,0
Environment and Natural Resources,,,,,,,273,0
"General administration and support services
(0102053060)","25,021,800.00","186,555,815.00","17,273,672.00","35,644,604.15",69.03,19,273,0
Personnel Services (0102063060),"35,933,072.00",-,"35,570,894.90",-,98.99,-,273,0
Physical development plans (0104013060),-,"10,000,000.00",-,-,-,-,273,0
,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",274,0
"Establishment of squatter settlement schemes
(0105013060)","6,600,000.00","73,000,000.00","1,517,000.00","7,186,200.00",22.98,10,274,0
"County Environmental Awareness Initiative
(0106023060)","7,900,000.00","204,500,000.00","2,751,536.00","22,000,000.00",34.83,11,274,0
"Rehabilitation of degraded natural landscapes
(0106033060)","600,000.00",-,-,-,-,-,274,0
TOTAL,"76,054,872.00","474,055,815.00","57,113,102.90","64,830,804.15",75.09,14,274,0
Curative and Rehabilitative Health Services,,,,,-,-,274,0
402023060 Operational Rural Health Facilities,,"37,000,000.00",-,-,-,-,274,0
402043060 Medical Health Drugs,"560,719,766.00",-,"388,785,706.40",-,69.34,-,274,0
403013060 General Administration,"134,959,388.00","386,297,200.00","61,526,211.30","118,007,640.05",45.59,31,274,0
403053060 Personnel Services,"1,883,448,939.00",-,"1,460,110,470.20",-,77.52,-,274,0
405013060 Msambweni Hospital,"69,806,000.00","58,399,950.00","40,261,107.50",-,57.68,-,274,0
406013060 Kinango Hospital,"35,961,700.00","6,000,000.00","21,306,212.00",-,59.25,-,274,0
407013060 Kwale Hospital,"36,015,000.00","8,500,000.00","18,758,869.00","3,200,000.00",52.09,38,274,0
409013060 Samburu Hospital,"22,121,500.00","9,000,000.00","9,379,606.00",-,42.40,-,274,0
410013060 Lunga lunga Hospital,"20,702,000.00","12,000,000.00","12,870,874.00",-,62.17,-,274,0
Total,"2,763,734,293.00","517,197,150.00","2,012,999,056.40","121,207,640.05",72.84,23,274,0
County Assembly,,,,-,-,-,274,0
Audit Services (0704013060),"308,612,771.00",-,"162,710,473.85",-,52.72,-,274,0
"General Administration and Support Services
(0704043060)","307,544,203.00","137,821,986.00","164,488,649.45","62,345,047.00",53.48,45,274,0
Oversight and legislation of county affairs,"177,971,831.00","104,310,567.00","129,661,617.65",-,72.86,-,274,0
Total,"794,128,805.00","242,132,553.00","456,860,740.95","62,345,047.00",57.53,26,274,0
"Trade, Investment and Cooperatives",,,,,,-,274,0
Administration services,"27,289,267.00","104,606,666.00","12,737,973.00","49,721,735.00",46.68,48,274,0
Trade Development and Investment,"5,289,500.00","3,000,000.00","1,886,991.00",-,35.67,-,274,0
Construction of new markets,"3,892,000.00","61,430,000.00","1,509,015.00",-,38.77,-,274,0
Weights & Measures,"2,750,077.00","3,000,000.00","712,763.00","3,000,000.00",25.92,100,274,0
"Availing Affordable credit to entrepreneurs for
wealth creation",-,-,-,-,-,-,274,0
Personnel Services,"38,516,535.00",-,"33,064,249.00",-,85.84,-,274,0
Cooperative Development,"5,162,000.00",-,"1,822,227.00",-,35.30,-,274,0
Industry & Enterprise Development,"1,888,607.00","232,225,196.00","685,910.00",-,36.32,-,274,0
Total,"84,787,986.00","404,261,862.00","52,419,128.00","52,721,735.00",61.82,13,274,0
Social Services & Talent Management,,,,,,,274,0
