"m
Progra",col_1,Revised Estimates,col_3,Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub Program,Recurrent,Development,Recurrent,Development,Recurrent,Development,595,1
Governor’s Office,,,,,,,,595,1
,"Administrative support
services","123,334,200",-,"113,104,426",-,91.7,-,595,1
Finance,,,,,,,,595,1
,Internal audit services,"9,849,431",-,"8,986,378",-,91.2,-,595,1
,Accounts services,"4,850,000",-,"4,581,800",-,94.5,-,595,1
,Finance services,"626,053,449",-,"489,706,275",-,78.2,-,595,1
,"Procurement and supply
services","4,650,000",-,"4,062,875",-,87.4,-,595,1
,"Ward Development
Services",-,"6,500,000",-,-,-,-,595,1
,"Kenya Devolution
Support","2,000,000",-,"1,438,088",-,71.9,-,595,1
Public Service Management,,,,,,,,595,1
,"Administration And
Support Services","946,541,245",-,"674,065,140",-,71.2,-,595,1
571,,,,,,,,595,1
,Sub Program,Recurrent,Development,Recurrent,Development,Recurrent,Development,596,0
ICT and E-Government,,,,,,,,596,0
,"Staff Online Manage-
ment System (Online
Help Desk System)",-,"54,669,444",-,"28,484,772",-,52.1,596,0
,ICT Services,"71,724,500",-,"24,239,083",-,33.8,-,596,0
"Roads, Transport and Infrastructure",,,,,,,,596,0
,"Bridges and Foot
Bridge",-,-,-,"2,794,675",-,-,596,0
,"Capital roads invest-
ments","598,427,925","70,713,733","407,599,627","47,245,167",68.1,66.8,596,0
,Safety and emergency,-,"11,528,975",-,-,-,-,596,0
,Street Lighting,-,"6,000,000",-,-,-,-,596,0
,Energy Services,"650,000",-,-,-,-,-,596,0
,"Ward Development
Services",-,"710,824,495",-,"296,058,653",-,41.7,596,0
Health Services,,,,,,,,596,0
,Health Services,-,"308,722,065",-,"200,078,868",-,64.8,596,0
,"Administration And
Support Services","2,149,825,035",-,"1,520,313,591",-,70.7,-,596,0
,"Ward Development
Services",-,"53,600,000",-,"10,000,000",-,18.7,596,0
"Agriculture, Livestock and Fisheries",,,,,,,,596,0
,"Crop Specialization and
Diversification",-,"26,000,000",-,"5,399,900",-,20.8,596,0
