Programme/ Sub Programme,"2023/24 Supplementary 1 Approved
Estimates",col_2,"Actual Expenditure as of 31st
March 2024",col_4,Absorption Rate (%),col_6,page_number,table_index
"Programme 1: General administration
& planning","Recurrent
Budget","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",328,1
"Land, Physical Planning & Mining",,,,,,,328,1
SP1. General administration & planning,"63,586,600",-,"39,752,034",-,62.5,-,328,1
"Programme 2: Land Survey & Map-
ping",,-,,-,,,328,1
SP2. Land Survey & Mapping,"1,050,000","33,796,781","850,000","3,924,060",81.0,11.6,328,1
Programme 3 : Urban planning,,,,-,,,328,1
SP3. 1 Urban planning,"2,500,000","23,511,471","2,000,000","6,363,000",80.0,27.1,328,1
"Programme 4: Mining mapping &
development",,,,-,,,328,1
SP4. 1 Mining mapping & development,"2,300,000","2,599,857","950,000",-,41.3,-,328,1
"Programme 5: Environment manage-
ment and protection",,,,,,,328,1
"SP 5. 1 Environment management and
protection","11,800,000","94,164,536","6,585,000","16,576,261",55.8,17.6,328,1
Sub Total,"81,236,600","154,072,645","50,137,034","26,863,321",61.7,17.4,328,1
Wote Municipality,,,,,,,329,0
Programme 1: Wote Municipality,,,,,,,329,0
SP 1. 1 Wote Municipality,"44,076,808","15,472,931","31,416,697","6,762,178",71.3,43.7,329,0
Sub Total,"44,076,808","15,472,931","31,416,697","6,762,178",71.3,43.7,329,0
Emali-Sultan Municipality,,,,,,,329,0
"Programme 1: Emali-Sultan Munic-
ipality",,,,,,,329,0
SP 1. 1 Emali-Sultan Municipality,"28,270,314","26,660,000","9,613,126","22,039,999",34.0,82.7,329,0
Sub Total,"28,270,314","26,660,000","9,613,126","22,039,999",34.0,82.7,329,0
Sand Authority,,,,,,,329,0
"Programme 1: General administration
& planning",,,,,,,329,0
"SP 1.1: General administration &
Planning","64,642,065","10,000,000","45,043,014","5,707,765",69.7,57.1,329,0
Sub Total,"64,642,065","10,000,000","45,043,014","5,707,765",69.7,57.1,329,0
Health Services,,,,,,,329,0
"Programme 1: General administration
& planning",,,,,,,329,0
"SP1. 1 General administration &
planning","2,789,775,689","512,595,788","1,415,125,093","95,342,216",50,18.6,329,0
"Programme 2: Curative health care
services",,,,,,,329,0
SP2. 1 :Curative health care services,"295,020,000","32,210,593","160,264,194","8,444,170",54.3,26.2,329,0
"Programme 3; Preventive and promo-
tive health care services",,,,,,,329,0
"SP3. 1 Preventive and promotive health
care services","129,899,000","36,559,292","62,830,805","932,319",48.4,2.6,329,0
Sub Total,"3,214,694,689","581,365,673","1,638,220,092","104,718,706",51.0,18.0,329,0
"Infrastructure, Transport, Public works, Housing & Energy",,,,,,,329,0
"Programme 1: General administration
& planning",,,,,,,329,0
"SP1. 1 General administration &
planning","136,820,288",-,"76,557,867",,56,,329,0
Programme 2: Road Transport,,,,,,,329,0
SP2.1: Road transport,"4,423,500","490,223,823","2,417,380","101,130,179",54.6,20.6,329,0
"Programme 3: Infrastructure devel-
opment",,,,,,,329,0
SP3.3: Infrastructure development,"2,863,000",-,"353,100",-,12.3,-,329,0
"Programme 4 :Energy Infrastructure
& development",,,,,,,329,0
"SP4.1:Energy Infrastructure & devel-
opment","14,863,467","103,050,000","11,040,806","47,626,778",74.3,46.2,329,0
Sub Total,"158,970,255","593,273,823","90,369,153","148,756,957",56.8,25.1,329,0
"ICT, Education and Internship",,,,,,,329,0
"Programme 1: General administration
& planning",,,,,,,329,0
"SP1. 1 General administration &
planning","509,049,776",-,"236,179,992",-,46.4,-,329,0
"Programme 2: Early childhood devel-
opment education",,,,,,,329,0
"SP2.1 : Early childhood development
education","23,300,629","138,507,471","3,837,022","7,987,170",16.5,5.8,329,0
"Programme 3: Technical training &
non-formal education",,,,-,,,329,0
"SP3.3: Technical training & non-formal
education","1,300,000","77,586,702","647,650","13,268,092",49.8,17.1,330,0
"Programme 4: Support to Education
and Library Services",,,,,,,330,0
"SP4.1: Support to Education and Library
Services","133,000,000","1,000,000","132,991,591",-,100.0,-,330,0
"Programme 5: ICT Infrastructure &
Systems Development",,,,,,,330,0
"SP5.1: ICT Infrastructure & Systems
Development","15,705,000","38,416,681","5,506,770","4,135,050",35.1,10.8,330,0
"Programme 6: Internship, Mentorship
and volunteerism",,,,,,,330,0
"SP6.1: Internship, Mentorship and
volunteerism","11,055,000",-,"102,700",-,0.9,-,330,0
Sub Total,"693,410,405","255,510,854","379,265,725","25,390,312",54.7,9.9,330,0
Trade and Industry,,,,,,,330,0
"Programme 1: General administration
& planning",,,,,,,330,0
"SP1. 1 General administration &
planning","97,439,102","3,375,725","61,759,704",-,63.4,-,330,0
"Programme 2: Trade development &
promotion",,,,,,,330,0
SP2.1; Trade development & promotion,"4,300,000","31,384,964","3,447,300","8,189,481",80.2,26.1,330,0
"P3; Industrial development and
promotion",,,,,,,330,0
"SP3. 1 Industrial development and
promotion","650,000",-,"300,000",-,46.2,-,330,0
"Programme 4: Tourism development
& promotion",,,,,,,330,0
"SP4. 1 Tourism development & promo-
tion","730,000","10,000,000","700,000","940,600",95.9,9.4,330,0
"Programme 5: Culture, Art and the
Music promotion",,,,,,,330,0
"SP5. 1 Culture, Art and the Music
promotion","17,400,000",-,"12,677,720","1,000,000",72.9,-,330,0
Sub Total,"120,519,102","44,760,689","78,884,724","10,130,081",65.5,22.6,330,0
"Gender, Children, Youth, Sports, and Social Services",,,,,,,330,0
"Programme 1: General administra-
tion & planning",,,,-,,,330,0
P1: General administration & planning,"46,912,189",-,"24,516,464",-,52.3,-,330,0
"Programme 2: Gender and Social
Development",,,,,,,330,0
P2: Gender and Social Development,"11,451,972","60,145,549","3,871,385","6,946,935",33.8,11.6,330,0
Programme 3; Sports development,,,,,,,330,0
P3; Sports development,"4,200,000","71,870,772","3,193,040","15,656,447",76.0,21.8,330,0
Programme 4; Youth empowerment,,,,,,,330,0
P4; Youth empowerment,"2,200,000","27,620,650","325,000","1,053,000",14.8,3.8,330,0
Sub Total,"64,764,161","159,636,971","31,905,889","23,656,382",49.3,14.8,330,0
County Attorney,,,,,,,330,0
"SP1. 1 General Administration &
Support Services",,,,,,,330,0
P1: General administration & planning,"49,023,507",-,"14,120,396",-,28.8,-,330,0
Sub Total,"49,023,507",-,"14,120,396",-,28.8,-,330,0
Governorship,,,,,,,330,0
"SP1. 1 General Administration &
Support Services",,,,,,,330,0
