Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expen-
diture",519,1
County Assembly,,,,,,,,519,1
Legislation,Legislation,"389,936,744.00",-,"233,139,669.00",-,59.8,-,519,1
Oversight,Oversight,"40,000,000.00",-,"25,385,604.00",-,63.5,-,519,1
"Staff Management
and Development","Staff Management and
Development","378,235,007.00","543,655,931.00","232,294,882.00","96,864,159.00",61.4,17.8,519,1
,Sub -Total,"808,171,751.00","543,655,931.00","490,820,155.00","96,864,159.00",60.7,17.8,519,1
Governance and Administration,,,,,,,,519,1
"General Administra-
tion, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","204,626,124.00",-,"170,715,731.95",-,83.4,-,519,1
"The Office of the
Governor","The Office of the
Governor","135,561,668.00","28,148,023.00","67,985,087.75","5,110,974.15",50.2,18.2,519,1
"County Executive
Administration","County Executive
Administration","3,814,267.00",-,"3,212,278.00",-,84.2,-,519,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expen-
diture",520,0
"County Public
Service Board","County Public Service
Board","61,651,031.00",-,"51,011,688.00",-,82.7,-,520,0
"Firefighting and Di-
saster Management","Firefighting and Disas-
ter Management","5,696,955.00",-,"4,782,139.80",-,83.9,-,520,0
"Sub County Admin-
istration","Sub County Adminis-
tration","121,846,232.00",-,"106,632,122.15",-,87.5,-,520,0
"Human Resource
Management","Human Resource
Management","7,126,500.00",-,"6,122,129.50",-,85.9,-,520,0
,Sub -Total,"540,322,777.00","28,148,023.00","410,461,177.15","5,110,974.15",76.0,18.2,520,0
Finance and Economic Planning,,,,,,,,520,0
Financial Services,Financial Services,"26,678,460.00",-,"11,916,442.20",-,44.7,-,520,0
"Administration,
Planning, Revenue
and Accounting","Administration,
Planning, Revenue and
Accounting","772,358,419.00","40,768,230.00","433,783,451.45","2,004,688.80",56.2,4.9,520,0
Procurement,Procurement,"9,704,630.00",-,"6,697,884.00",-,69.0,-,520,0
Budget Services,Budget Services,"85,811,446.00",-,"43,898,646.80",-,51.2,-,520,0
Internal Audit,Internal Audit,"11,539,329.00",-,"7,188,274.40",-,62.3,-,520,0
