Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",606,0
"Administration, Planning
and Support Service",,"620,875,249","571,300,503","284,407,061","177,106,987",46,31,606,0
,"Administrative
Service","611,261,849","571,300,503","282,517,931","177,106,987",46,31,606,0
,"Research and
Development","9,613,400",-,"1,889,130",-,20,-,606,0
"Livestock Development
and Management",,"5,614,600","46,565,764",-,"8,870,847",-,19,606,0
,"Veterinary Services
and Extension","5,114,600","3,500,000",-,-,-,-,606,0
,Livestock Extension,"500,000","22,323,680",-,"3,880,000",-,17,606,0
,"Value chain
development",-,"20,742,084",-,"4,990,847",-,24,606,0
"Fisheries Development
and Management",,"3,541,000","14,000,000","3,040,000",-,86,-,606,0
,"Promotion of Fish
Farming","3,541,000","14,000,000","3,040,000",-,86,-,606,0
"Crop Development and
Management",,"5,950,000","102,162,444","1,437,400",-,24,-,606,0
,Crop Extension,"1,824,000",-,-,-,-,-,606,0
,Farm input subsidy,-,"97,662,444",-,-,-,-,606,0
,"Food Security
Initiatives","4,126,000","4,500,000","1,437,400",-,35,-,606,0
Agribusiness,,-,"255,000,000",-,-,-,-,606,0
,Value Addition,-,"255,000,000",-,-,-,-,606,0
"Cooperatives Develop-
ment",,"15,987,300",-,"7,541,130",-,47,-,606,0
,"Cooperative Devel-
opment Services","15,987,300",-,"7,541,130",-,47,-,606,0
"Land Survey and Map-
ping Services",,"2,570,600","16,645,609","2,030,800","15,318,663",79,92,606,0
,"Land Survey and
Mapping","2,570,600","16,645,609","2,030,800","15,318,663",79,92,606,0
"1 Urban and Physical
Planning and Housing
Services",,"27,754,011","16,549,346","7,982,343","5,819,593",29,35,606,0
,"Urban and Physical
Planning","719,000","9,549,346","197,400",-,27,-,606,0
,"Housing Develop-
ment","2,962,400",-,-,-,-,-,606,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",607,0
,"Vihiga Municipality
{KUSP}","24,072,611","7,000,000","7,784,943","5,819,593",32,83,607,0
"Administration, Planning
and Support Service",,"95,273,383","266,435,620","71,966,530","40,128,190",76,15,607,0
,"Administrative
Service","95,273,383","266,435,620","71,966,530","40,128,190",76,15,607,0
Transport Management,,"9,823,443","38,535,327","1,368,710","22,813,874",14,59,607,0
,"Transport System
Management","812,600","38,535,327",-,"22,813,874",-,59,607,0
,Mechanical Services,"9,010,843",-,"1,368,710",-,15,-,607,0
"Infrastructure Develop-
ment",,-,"147,879,239",-,"125,235,482",-,85,607,0
,Road maintenance,-,"147,879,239",-,"125,235,482",-,85,607,0
"Administration, Planning
and Support Service",,"54,557,660","141,267,671","14,451,640","43,404,472",26,31,607,0
,"Administrative
Service","54,557,660","141,267,671","14,451,640",-,26,-,607,0
"Public Finance Manage-
ment",,"7,471,012",-,"366,550",-,5,-,607,0
,ICT Printing press,"7,471,012",-,"366,550",-,5,-,607,0
"Trade Development and
Investment",,"42,455,794","26,570,274","37,789,076","17,540,798",89,66,607,0
,"Market Develop-
ment and Manage-
ment","42,455,794","26,570,274","37,789,076","17,540,798",89,66,607,0
Tourism Development,,"4,945,734",-,"1,601,199",-,32,-,607,0
,"Tourism Promotion
and Branding","4,945,734",-,"1,601,199",-,32,-,607,0
"Administration, Planning
and Support Service",,"1,185,988,762","204,422,245","1,042,611,577","6,582,189",88,3,607,0
,"Administrative
Service","46,589,142","204,422,245","34,513,544","6,582,189",74,3,607,0
,"Human Resource
Management and
Development","1,139,399,620",-,"1,008,098,033",-,88,-,607,0
"Promotive and Preven-
tive Healthcare Services",,"71,771,528",-,"55,089,028",-,77,-,607,0
,"Public Health
Services","550,000",-,-,-,-,-,607,0
,"Community Health
Strategy","52,126,000",-,"49,777,998",-,95,-,607,0
,"Reproductive
Healthcare","18,579,528",-,"5,311,030",-,29,-,607,0
,"Disease Surveillance
and Emergency","516,000",-,-,-,-,-,607,0
"Curative and Rehabilita-
tive Health Services",,"136,838,127","83,886,040","107,255,679","78,886,040",78,94,607,0
,Medical services,"42,034,127",-,"37,837,567",-,90,-,607,0
,"County referral
services",-,"83,886,040",-,"78,886,040",-,94,607,0
,"Drugs and Other
Medical Supplies","94,804,000",-,"69,418,112",-,73,-,607,0
"Child and Maternal
Health Care",,"5,038,581",-,"2,256,000",-,45,-,607,0
,Nutrition Services,"5,038,581",-,"2,256,000",-,45,-,607,0
"Administration, Planning
and Support Service",,"117,464,028","176,929,672","28,881,790","14,197,317",25,8,607,0
,"Administrative
Service","117,464,028","176,929,672","28,881,790","14,197,317",25,8,607,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",608,0
"Vocational Education
and Training",,"245,838,400",-,"201,864,904",-,82,-,608,0
,"Youth Polytechnic
Development","245,838,400",-,"201,864,904",-,82,-,608,0
"Early Childhood Devel-
opment",,"187,994,500","22,500,000","140,702,720",-,75,-,608,0
,ECD Development,"187,994,500","22,500,000","140,702,720",-,75,-,608,0
"Administration, Planning
and Support Service",,"1,243,550,422","152,758,827","621,223,095","148,572,050",50,97,608,0
,"Administrative
Service","1,203,205,522","139,758,827","609,775,180","148,572,050",51,106,608,0
,"County Adminis-
tration","22,815,700","13,000,000","8,992,051",-,39,-,608,0
,"County Radio Infor-
mation Services","17,529,200",-,"2,455,864",-,14,-,608,0
