Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st March
2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
Youth,"090901 Youth Develop-
ment and Empowerment
Services","670,000",-,"25,000",-,3.7,-,227,0
Sub Total,,"43,668,210","51,150,000","21,314,196","10,384,350",48.8,20,227,0
Sports Culture and Social Services,,,,,,,,227,0
Sports,"090701 General Admin-
istration","12,721,217",-,"6,781,261",-,53.3,-,227,0
,"090801 Development
of Sports and Sports
Facilities",-,"21,520,000",-,-,-,-,227,0
,"091401 Management &
Development of Sports
and Sports Facilities","18,905,000",-,"18,420,900",-,97.4,-,227,0
,"091601Control & Cam-
paign Against Drug &
Substance Abuse","1,549,000",-,"774,500",-,50.0,-,227,0
,"091701 Preservation &
Promotion of Heritage and
Culture","248,800",-,"10,000",-,4.0,-,227,0
Children Services,"091101 Child Community
Support Services","4,784,000",-,"2,117,670",-,44.3,-,227,0
Sub Total,,"38,208,017","21,520,000","28,104,331",-,73.6,,227,0
Cooperative Development Trade and Tourism,,,,,,,,227,0
"Trade Development and
Investment","030401 General Adminis-
tration and Planning",-,"285,700,000",-,"111,866,440.00",,39.2,227,0
,"030103 Capacity Building
for Traders and SME’s","977,000",-,"452,530",-,46.3,-,227,0
,"030104 promotion,
Development & Growth
of Trade","354,000",-,-,-,-,-,227,0
,"030105 Fair Trade
Practises and Consumer
Protection","205,000",-,-,-,-,-,227,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",228,0
"Tourism Development and
Marketing","030302 Tourism Promo-
tion and Marketing","195,500",-,"45,000",-,23.0,-,228,0
,"030304 International
Tourism Promotion and
Marketing","310,000",-,"50,000",-,16.1,-,228,0
,"030305 Promotion of
Industrial Development","6,268,500",-,"1,529,150",-,24.4,-,228,0
,"030306 Provision of
Industrial Training","140,000",-,"20,000",-,14.3,-,228,0
"Cooperative Development
and Marketing","030101 General Adminis-
tration & Planning","38,449,441",-,"21,609,916",-,56.2,-,228,0
,"030405 Cooperative
Advisory and Extension
Services","295,000",-,"103,400",-,35.1,-,228,0
,"030406 Cooperative Edu-
cation and Training","416,000",-,"108,400",-,26.1,-,228,0
,"030407 Cooperative
Governance and Account-
ability","159,000",-,"145,000",-,91.2,-,228,0
"Cooperative Audit
Services","030603 Inspections and
Investigations for Coop-
eratives","70,000",-,"17,600",-,25.1,-,228,0
Sub Total,,"47,839,441","285,700,000","11,702,792","111,866,440",25,39,228,0
Environment and Natural Resources,,,,,,,,228,0
Water Supply Services,"090101 Water and
Irrigation",-,"161,843,333",-,-,,-,228,0
Energy Programme,090301 Energy Services,"405,000",-,"70,000",-,17.3,-,228,0
"Cleaning and Waste
Management","090502 Environment Man-
agement and Protection","675,800",-,-,-,-,-,228,0
"Environment Management
and Protection","100401 Environment Man-
agement and Protection","11,000,000","131,648,938","11,000,000","1,999,996.00",100.0,1.5,228,0
Neema,"090401 Waste Manage-
ment Services","107,408,439",-,"62,671,584",-,58.3,-,228,0
Sub Total,,"119,489,239","293,492,271","48,510,260","1,999,996",41,0.6,228,0
"Lands, Housing and Urban Development",,,,,,,,228,0
"Land and Physical
Planning","010601 General Adminis-
tration and Planning","29,853,028",-,"9,295,475",-,31.1,-,228,0
,"010604 County Spatial
Planning","3,190,000",-,"100,000",,3.1,-,228,0
,"010605 Town Zoning and
Mapping",-,"56,433,333",,"11,455,307.20",,20.3,228,0
,"010607 Survey and
Mapping","505,000",-,"236,200",-,46.8,-,228,0
Housing Development,"010701 Improvement and
Development of Human
Settlements","420,000",-,"161,700",-,38.5,-,228,0
Sub Total,,"33,968,028","56,433,333","3,739,225","11,455,307",11,20,228,0
Transport and Infrastructure,,,,,,,,228,0
Transport Management,"020301 General Adminis-
tration and Planning","61,511,285",-,"37,713,819",-,61.3,-,228,0
Disaster Management,"020401 Fire Fighting and
Emergency Services","2,222,083",-,"1,727,083",-,77.7,-,228,0
"Roads Development
Maintenance and Man-
agement","020601 Construction and
Maintenance of Roads and
Bridges","1,300,000","348,422,832","228,750","167,577,167",17.6,48.1,228,0
"Infrastructure Develop-
ment, Maintenance and
Management","020801 Infrastructure
Development Services","9,700,000",-,"8,141,599",-,83.9,-,228,0
Sub Total,,"74,733,368","348,422,832","22,053,844","167,577,167",31,48,228,0
Grand Total,,"4,791,443,225","2,449,104,181","1,721,407,531","605,805,038",36,25,228,0
