Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"County Office Accommo-
dation and Enforcement
Services","County Office
Accommodation and
Enforcement Services","46,671,068",-,"12,083,704",-,25.9,-,367,0
Human Resource,Human Resource,"4,910,623,730","105,000,000","3,390,582,256","20,000,000",69.0,19.0,367,0
"Legal Representation,
Advisory Services and
Legislative Process","Legal Representation,
Advisory Services and
Legislative Process","77,200,001",-,"70,763,242",-,91.7,-,367,0
"Town Management &
Administration","Town Management &
Administration","1,100,000",-,-,-,0.0,-,367,0
Sub-Total,,"5,080,068,454","105,000,000","3,496,071,626","20,000,000",68.8,19.0,367,0
"ROADS, TRANSPORT & ENERGY",,,,,,,,367,0
"General Administra-
tion-Roads","General Administra-
tion-Roads","27,770,000","671,469,433","16,223,230","109,030,066",58.4,16.2,367,0
Energy,Energy,"10,465,558","25,000,000","4,195,150","24,299,445",40.1,97.2,367,0
Sub-Total,,"38,235,558","696,469,433","20,418,380","133,329,511",53.4,19.1,367,0
"TRADE, TOURISM & COOPERATIVE DEVELOPMENT",,,,,,,,367,0
"Co-operatives Develop-
ment","Co-operatives Devel-
opment","12,723,540","18,100,000","6,954,080",-,54.7,-,367,0
Tourism,Tourism,"17,600,000",-,"6,624,100",-,37.6,-,367,0
Trade,Trade,"14,575,000","383,026,150","8,056,228","98,772,442",55.3,25.8,367,0
Sub-Total,,"44,898,540","401,126,150","21,634,408","98,772,442",48.2,24.6,367,0
YOUTH AFFAIRS & SPORTS,,,,,,,,367,0
