Programme,Sub-Programme,"Approved Estimates
FY 2023/24 (Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index,col_6
,Public Participation in Budgeting,"8,300,000","3,080,448","5,219,552",37.1,582,0,
,"County Budget and Economic
Forum","7,600,000","4,944,497","2,655,503",65.1,582,0,
,"Accountability in Resource
Allocation","7,000,000","2,404,100","4,595,900",34.3,582,0,
Resource Mobilisation,Resource Mobilisation,"8,500,000","5,077,005","3,422,995",59.7,582,0,
,Subtotal,"2,480,388,400","1,260,543,497","1,219,844,903",50.8,582,0,
"Water Services, Environment and Mineral Resources",,,,,,582,0,
Petroleum,Oil and Gas,"2,591,279",-,"2,591,279",-,582,0,
"Water Supply and
Storage",Water Infrastructure,"468,814,415","41,813,215","427,001,200",8.9,582,0,
,Water Resource Management,"23,157,696","23,157,696",-,100.0,582,0,
,"Emergency Response and Drought
Mitigation","10,000,000","4,889,541","5,110,459",48.9,582,0,
,"Water Governance, Planning and
Coordination","2,950,000","968,160","1,981,840",32.8,582,0,
"General Administra-
tion and Support","General Administration and
Support","27,501,337","10,833,099","16,668,238",39.4,582,0,
,Subtotal,"535,014,727","81,661,711","453,353,016",15.3,582,0,
Health and Sanitation Services,,,,,,582,0,
"General Administra-
tion, Planning and
support services","General Administration, Planning
and support services","414,404,275","22,845,104","391,559,171",5.5,582,0,
,Health Facilities,"83,013,324",-,"83,013,324",-,582,0,
"Support to Health
Programs","HIV and AIDS including commu-
nity-based HIV interventions","500,000",-,"500,000",-,582,0,
,TB and Leprosy,"500,000","494,200","5,800",98.8,582,0,
,Malaria,"300,000",-,"300,000",-,582,0,
,NTDs (neglected tropical diseases),"600,000","596,400","3,600",99.4,582,0,
,Nutrition,"600,000","44,100","555,900",7.4,582,0,
,Reproductive health,"1,000,000",-,"1,000,000",-,582,0,
,Disease surveillance,"400,000",-,"400,000",-,582,0,
,EPI/outreaches,"200,000",-,"200,000",-,582,0,
,Community Health Services,"81,000,000","68,745,000","12,255,000",84.9,582,0,
,Environmental health services,"1,000,000","490,400","509,600",49.0,582,0,
,"Emergency preparedness and
disaster response","800,000","400,000","400,000",50.0,582,0,
,,,,,,582,0,558
,,A,B,C=A-B,D=B/A*100,583,0,
,Mainstreaming,"900,000",-,"900,000",-,583,0,
,Rural Health Facility Support,"45,634,941",-,"45,634,941",-,583,0,
Laboratory Services,Laboratory Services,"500,000","250,000","250,000",50.0,583,0,
,Blood Transfusion Services,"1,400,000","1,000,000","400,000",71.4,583,0,
,Rehabilitative Services,"900,000","450,000","450,000",50.0,583,0,
,Referrals and Emergency Services,"400,000","317,350","82,650",79.3,583,0,
,Radiology Services,"300,000","150,000","150,000",50.0,583,0,
,Dental Services,"300,000","150,000","150,000",50.0,583,0,
,Clinical Services,"2,000,000","881,400","1,118,600",44.1,583,0,
,Nursing Services,"2,000,000","491,200","1,508,800",24.6,583,0,
,"Sub county Health Facilities
Support","30,000,000","14,150,470","15,849,530",47.2,583,0,
,LCRH,"231,000,000","231,000,000",-,100.0,583,0,
,Turkana Level 6 Hospital,"119,700,000","464,500",-,100.0,583,0,
,Medical Supplies,"246,000,000","187,756,244","58,243,756",76.3,583,0,
,UHC Turkana,"9,000,000",-,"9,000,000",-,583,0,
"Health Information
and Management","Health Information and Manage-
ment","900,000",-,"900,000",-,583,0,
,Quality Assurance,"500,000","74,500","425,500",14.9,583,0,
,Electronic Medical Records,"3,800,000","300,000","3,500,000",7.9,583,0,
,Monitoring & Evaluation Health,"800,000","98,000","702,000",12.3,583,0,
,Liquor Licensing,"7,700,000","2,309,300","5,390,700",30.0,583,0,
,Training & Capacity Building,"600,000",-,"600,000",-,583,0,
,Subtotal,"1,288,652,540","533,458,168","635,958,872",41.4,583,0,
"Trade, Gender and Youth Affairs",,,,,,583,0,
"Youth Affairs Devel-
opment","Youth Coordination and Repre-
sentation","2,250,000","922,160","1,327,840",41.0,583,0,
,Youth Capacity Building,"2,695,000","396,000","2,299,000",14.7,583,0,
,Youth Empowerment Centre,"10,000,000",-,"10,000,000",-,583,0,
,Youth Talent Development,"1,655,000","430,000","1,225,000",26.0,583,0,
,Youth and Women Fund,"50,000,000","50,000,000",-,100.0,583,0,
"Modern Physical
Markets Infrastructure","Cooperative Ethics and Gover-
nance","2,920,000","888,888","2,031,112",30.4,583,0,
,"Co-operative Marketing, Value
Addition, Surveys & Research","2,140,000","480,000","1,660,000",22.4,583,0,
,"Co-operative Education, Training,
Exchange and Ushirika Day Celeb","2,840,000","582,000","2,258,000",20.5,583,0,
,"Strengthening of Key Dormant
Co-operative Societies","1,560,000","863,440","696,560",55.3,583,0,
,"Formulation of Cooperative Policy
and Legal Framework","1,600,000","200,000","1,400,000",12.5,583,0,
,Cooperative Development Fund,"11,000,000",-,"11,000,000",-,583,0,
"Cooperative Societies
Development &
Performance Improve-
ment","Market Infrastructure Develop-
ment","120,000,000","802,500","119,197,500",0.7,583,0,
,Completion of Biashara Centre,"2,879,640","150,000","2,729,640",5.2,583,0,
,"Industrial Development and In-
vestments","203,000,000","843,000","202,157,000",0.4,583,0,
,"Trade Promotion and Consumer
Protection","10,620,000","5,377,959","5,242,041",50.6,583,0,
,Biashara Fund,"50,000,000","50,000,000","151,592,500",100.0,583,0,
,,A,B,C=A-B,D=B/A*100,584,0,
"General Adminis-
tration",General Administration,"50,723,385","17,678,341","33,045,044",34.9,584,0,
,Subtotal,"525,883,025","129,614,288","547,861,237",24.6,584,0,
"Education, Sports and Social Protection",,,,,,584,0,
"Social Protection
Programs/ Affirmative
Action","Construction of PWDs Multi-Pur-
pose Resource Centre","22,300,000","14,792,375","7,507,625",66.3,584,0,
,"Marginalized and Minority groups
support","4,460,000","2,451,500","2,008,500",55.0,584,0,
,Child Rescue Centres,"10,000,000","5,979,360","4,020,640",59.8,584,0,
,Child Care & Protection,"27,226,348","17,490,257","9,736,091",64.2,584,0,
"Sports and arts pro-
gramme",Construction of Sports Stadia,"31,450,000","10,708,900","20,741,100",34.1,584,0,
"General adminis-
tration",General Administration,"16,959,000","11,530,205","5,428,795",68.0,584,0,
,"Turkana Education and Skill
Development Fund","534,219,180","534,219,180",-,100.0,584,0,
Vocational Training,Youth Polytechnic Infrastructure,"20,000,000","8,946,313","11,053,687",44.7,584,0,
,Training and Development,"2,002,400","780,000","1,222,400",39.0,584,0,
,Co-Curricular Activities,"2,600,000","1,066,883","1,533,117",41.0,584,0,
,Youth Polytechnics- Conditional,"12,714,291","12,709,894","4,397",100.0,584,0,
"Early Childhood
Education",School Feeding,"105,000,000","50,066,034","54,933,966",47.7,584,0,
,ECDE Governance,"6,010,805","4,375,000","1,635,805",72.8,584,0,
,Infrastructure Development,"283,022,678",-,"283,022,678",-,584,0,
,"Library Infrastructure and Gov-
ernance","41,970,070","581,100","41,388,970",1.4,584,0,
,Subtotal,"1,119,934,772","675,697,001","444,237,771",60.3,584,0,
"Public Services, Decentralized Administration and Disaster Management",,,,,,584,0,
"Operationalization of
Decentralized Units","Operationalization of Decentral-
ized Units","10,761,200",-,"10,761,200",-,584,0,
,Decentralized County Policy,"35,621,258",-,"35,621,258",-,584,0,
,Coordinated development,"11,600,000",-,"11,600,000",-,584,0,
,"Policy sensitization and dissem-
ination","16,933,500","1,500,000","15,433,500",8.9,584,0,
"Governance and Pub-
lic Participation",Civic education Programme,"7,369,900","4,362,425","3,007,475",59.2,584,0,
,"Public Participation and access to
information","10,035,050","1,930,600","8,104,450",19.2,584,0,
"Disaster risk manage-
ment","Disaster Preparedness and
Mitigation","560,342,100","523,692,964","36,649,136",93.5,584,0,
,"Stakeholders Coordination and
Support Programme","1,850,000","250,000","1,600,000",13.5,584,0,
,Disaster Risk Management,"1,700,000","900,000","800,000",52.9,584,0,
Inspectorate services,Enforcement Services,"4,486,100","1,383,700","3,102,400",30.8,584,0,
,Dispute Resolution,"2,055,390",-,"2,055,390",-,584,0,
,"County Inspectorate Training
Institute","12,500,000",-,"12,500,000",-,584,0,
"Human resource
management",Payroll Administration,"1,600,000","526,870","1,073,130",32.9,584,0,
,"Human Resource Management and
Development","5,504,000","733,000","4,771,000",13.3,584,0,
,"GHRIS Leave & Performance
Module Implementation","4,287,840","1,339,600","2,948,240",31.2,584,0,
,County performance management,"5,732,560","250,000","5,482,560",4.4,584,0,
"General Adminis-
tration, Planning and
Support Services-Pub-
lic Service",General Administration,"5,438,149,036","3,989,172,524","1,448,976,512",73.4,584,0,
,,A,B,C=A-B,D=B/A*100,585,0,
"Infrastructure, Transport and Public Works",,,,,,585,0,
"Develop and Maintain
Roads","Designing and Construction of
Roads","267,144,655","5,968,850","261,175,805",2.2,585,0,
,Purchase Graders and Rollers,"3,650,000","1,587,000","2,063,000",43.5,585,0,
"Develop and maintain
staff housing and
public offices",Staff Housing,"33,300,000","3,442,450","29,857,550",10.3,585,0,
"General Adminis-
tration",General Administration,"45,509,318","19,415,360","26,093,958",42.7,585,0,
,"General Administration- Public
works","27,530,000","7,072,770","20,457,230",25.7,585,0,
,Sub Total,"377,133,973","37,486,430","339,647,543",9.9,585,0,
"Agriculture, Pastoral Economy and Fisheries",,,,,,585,0,
