Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",505,1
County Executive,,-,-,-,-,-,-,505,1
,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,505,1
"Administration, Planning and
Support Services","Administration, Planning and
Support Services",-,-,-,-,-,-,505,1
,Management of County Affairs,-,-,-,-,-,-,505,1
County Executive Services,County Executive Services,"433,780,438.00","8,000,000.00","215,798,923.85",-,55.5,-,505,1
,"Administration and Coordina-
tion of County Affairs",-,-,-,-,-,-,505,1
,Sub County Administration,"221,897,644.00",-,"81,960,487.20",-,48.2,-,505,1
,"Coordination, Supervision and
Human Resource Services","171,097,176.00","8,000,000.00","103,635,568.45",-,60.6,-,505,1
,Management of County Affairs,"40,785,618.00",-,"30,202,868.20",-,74.1,-,505,1
"Organisation of County
Business","Organisation of County
Business",-,-,-,-,,,505,1
,"Public Sector Advisory
Services",-,-,-,-,,,505,1
"Economic, Social & Political
Advisory Service","Economic, Social & Political
Advisory Service","15,102,686.00",-,"10,492,374.10",-,69.5,-,505,1
,County Policing,-,-,-,-,,,505,1
,"General Administration Plan-
ning and Support Services","15,102,686.00",-,"10,492,374.10",-,69.5,-,505,1
"Administration of Human
Resources in County Public
Service","Administration of Human
Resources in County Public
Service","56,314,926.00",-,"45,507,625.90",-,80.8,-,505,1
,"General Administration Plan-
ning and Support Services","56,314,926.00",-,"45,507,625.90",-,80.8,-,505,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",506,0
Administration Services,Administration Services,-,-,-,-,,,506,0
,Special Programs,-,-,-,-,,,506,0
Special Programs,Special Programs,-,-,-,-,,,506,0
,Grand Total,-,-,-,-,,,506,0
,Grand Total,"505,198,050.00","8,000,000.00","271,798,923.85",-,58.7,-,506,0
"Finance, Economic Planning
& ICT",,-,-,-,-,,,506,0
,"General Administration Plan-
ning and Support Services",-,-,0,-,,,506,0
Administration Services,Administration Services,"495,378,580.00","42,194,000.00","124,273,514.65","14,993,000.00",25.1,35.5,506,0
,System Security,"458,581,438.00",-,"114,956,823.20",-,25.1,-,506,0
,Public Finance Management,"36,797,142.00","42,194,000.00","9,316,691.45","14,993,000.00",25.3,35.5,506,0
Fiscal Planning,Fiscal Planning,"306,503,839.00","8,000,000.00","170,696,330.60",-,55.7,-,506,0
,Resource Mobilization,"50,273,670.00","8,000,000.00","13,418,006.95",-,26.7,-,506,0
,"Budget Formulation Coordina-
tion and management","91,801,113.00",-,"67,359,268.20",-,73.4,-,506,0
,Public finance and Accounting,"14,311,920.00",-,"9,428,701.60",-,65.9,-,506,0
,Internal Audit,"42,478,495.00",-,"28,172,530.40",-,66.3,-,506,0
,Data Management,"20,411,858.00",-,"7,796,791.80",-,38.2,-,506,0
,Procurement,"19,000,000.00",-,"16,199,242.60",-,85.3,-,506,0
,"Monitoring & Evaluation /
Statistical","26,551,602.00",-,"10,353,356.30",-,39.0,-,506,0
,Special Programs,"41,675,181.00",-,"17,968,432.75",-,43.1,-,506,0
Special Programs,Special Programs,"35,354,323.00",-,"7,744,538.00",-,21.9,-,506,0
,"General Administration (Eco-
nomic Planning and ICT)","35,354,323.00",-,"7,744,538.00",-,21.9,-,506,0
"General Administration
(Economic Planning and
ICT)","General Administration (Eco-
nomic Planning and ICT)","12,682,895.00",-,"5,821,275.95",-,45.9,-,506,0
,Grand Total,"12,682,895.00",-,"5,821,275.95",-,45.9,-,506,0
,Grand Total,"849,919,637.00","50,194,000.00","308,535,659.20","14,993,000.00",36.3,29.9,506,0
"Agriculture, Livestock
Development, Veterinary
Services & Fisheries",,-,-,-,-,,,506,0
,,-,-,-,-,,,506,0
"Administration, Planning
and Support Services",,"79,394,821.00",-,"27,701,844.20",-,34.9,-,506,0
,"Administration, Planning and
Support Services","79,394,821.00",-,"27,701,844.20",-,34.9,-,506,0
"Promotion of Value Addition
of Livestock and Livestock
Products",,"72,276,278.00","912,767,981.00","28,305,660.25","129,425,023.95",39.2,14.2,506,0
,"Promotion of Value Addition
of Livestock and Livestock
Products","18,303,764.00","853,527,981.00","11,010,746.25","105,873,035.95",60.2,12.4,506,0
,"Promotion of Dairy Produc-
tion, Breeding and Disease
Control","27,141,854.00","1,000,000.00","8,219,204.95",-,30.3,-,506,0
,"Livestock marketing and
rangeland management","11,741,904.00",-,"3,169,278.70",-,27.0,-,506,0
,"Livestock Diseases Manage-
ment and Control","15,088,756.00","60,240,000.00","5,906,430.35","23,551,988.00",39.1,39.1,506,0
"Development of capture fish-
eries resources",,"8,332,664.00","15,827,086.00","3,246,117.25","11,836,286.00",39.0,74.8,506,0
,"Development of capture fisher-
ies resources","8,332,664.00","15,827,086.00","3,246,117.25","11,836,286.00",39.0,74.8,506,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",507,0
"Crop Production and Food
Security",,"60,958,708.00","52,051,664.00","20,256,863.70","24,800,000.00",33.2,47.6,507,0
,"Crop Production and Food
Security","20,392,822.00","-240,000.00","3,384,402.05",-,16.6,-,507,0
,"Agricultural Extension Re-
search and Training","40,565,886.00","52,291,664.00","16,872,461.65","24,800,000.00",41.6,47.4,507,0
,Grand Total,"220,962,471.00","980,646,731.00","79,510,485.40","166,061,309.95",36.0,16.9,507,0
"Water, Environment, Natu-
ral Resources & Energy",,-,-,-,-,,,507,0
"General Administration
Planning and Support
Services","General Administration Plan-
ning and Support Services",-,-,-,-,,,507,0
,"Administration, Planning and
Support Services",-,-,-,-,,,507,0
"Pollution control& moni-
toring",Pollution control& monitoring,"57,862,262.00","267,635,500.00","19,036,564.65","109,211,427.65",32.9,40.8,507,0
,Administration,"57,862,262.00","267,635,500.00","19,036,564.65","109,211,427.65",32.9,40.8,507,0
"Forests Conservation and
Management","Forests Conservation and
Management","32,333,851.00","71,080,550.00","2,264,437.10",-,7.0,-,507,0
,"Forests Conservation and
Management","24,442,020.00","2,200,000.00","1,319,267.10",-,5.4,-,507,0
,Pollution control& monitoring,"7,891,831.00","68,880,550.00","945,170.00",-,12.0,-,507,0
"Forests Conservation and
Management","Forests Conservation and
Management","11,474,810.00",-,"2,289,585.60",-,20.0,-,507,0
,Control of soil erosion,"5,661,970.00",-,"937,275.60",-,16.6,-,507,0
,Mining Services,"2,460,790.00",-,"349,200.00",-,14.2,-,507,0
,"Water Catchment and Protec-
tion Services","3,352,050.00",-,"1,003,110.00",-,29.9,-,507,0
"Environmental Management
and Protection","Environmental Management
and Protection","89,902,594.00",-,"49,549,962.00",-,55.1,-,507,0
,Water and sanitation services,"81,670,389.00",-,"47,239,762.00",-,57.8,-,507,0
