Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",544,1
Office of the Governor,,,,,,,,544,1
Executive Services,"County leadership &
coordination of CDAs","41,500,000.00",-,"29,364,500.00",-,70.8,-,544,1
,"County Government
Advisory Service","51,000,000.00",-,"33,560,400.00",-,65.8,-,544,1
,"Coordination of
peace and cohesion","17,373,561.67",-,"16,300,700.00",-,93.8,-,544,1
,Sub Total,"109,873,561.67",-,"79,225,600.00",-,-,-,544,1
"General Adminis-
tration, Planning and
support services","General Adminis-
tration","326,768,101.33",-,"247,245,394.75",-,75.7,-,544,1
,Sub Total,"326,768,101.33",-,"247,245,394.75",-,-,-,544,1
,Grand Total,"436,641,663.00",-,"326,470,994.75",-,74.8,-,544,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",545,0
Finance and Economic planning,,,,,,,,545,0
"Public Finance Man-
agement",PFM Enhancement,"5,789,349.00",-,"4,230,400.00",-,73.07,-,545,0
,"Economic planning
and Budgeting","33,625,694.00",-,"31,062,678.00",-,92.38,-,545,0
,"Monitoring and
Evaluation","17,980,523.00",-,"16,953,300.00",-,94.29,-,545,0
,"Supply chain manage-
ment services","20,700,000.00",-,"19,765,300.00",-,95.48,-,545,0
,"Own Source revenue
collection","21,620,000.00",-,"16,655,214.80",-,77.04,-,545,0
,"Accounting &
Finance","25,200,000.00",-,"20,324,105.60",-,80.65,-,545,0
,Internal Audit,"12,782,110.00",-,"10,893,200.00",-,85.22,-,545,0
,"General Adminis-
tration","325,022,527.00",-,"281,056,340.00",,86.47,-,545,0
,Development,-,"645,954,219.00",-,"507,951,325.70",-,78.64,545,0
,Sub Total,"462,720,203.00",-,"400,940,538.40",-,86.65,-,545,0
,Grand Total,"462,720,203.00","645,954,219.00","400,940,538.40","507,951,325.70",86.65,78.64,545,0
"County Public
Service Board",,,,,,,,545,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","66,007,004.00",-,"29,391,273.90",-,44.53,-,545,0
,"Ethics, Governance
and compliance","1,806,960.00",-,"1,790,670.00",-,-,-,545,0
,"Skills and competen-
cy development","1,578,824.00",-,"1,330,600.00",-,84.28,-,545,0
,"Human Resource
management and
development","3,962,316.00",-,"3,530,700.00",-,89.11,-,545,0
,Grand Total,"73,355,104.00",-,"36,043,243.90",-,49.14,-,545,0
"Trade, Tourism and co-operative develop-
ment",,,,,,,,545,0
,"Trade, weights and
measures","66,699,849.00","132,000,000.00","12,140,892.85",-,18.20,-,545,0
,Tourism promotion,"8,899,849.00",-,"6,013,577.00",-,67.57,-,545,0
,"Cooperative Devel-
opment","8,000,000.00",-,"4,699,778.30",-,58.75,-,545,0
,Grand Total,"83,599,698.00","132,000,000.00","22,854,248.15",-,27.34,0.00,545,0
Agriculture and Rural Development,,,,,,,,545,0
"Agricultural Devel-
opment",Crop Husbandry,"6,969,666.00",-,"4,510,663.00",-,64.72,-,545,0
,"Plant Disease
Control","1,600,000.00",-,"879,011.00",-,54.94,-,545,0
,"Agricultural Mech-
anization Services
(AMS)","24,614,500.00",-,"12,162,470.00",-,49.41,-,545,0
,UCSAP,"20,000,000.00",-,"5,000,000.00",-,25.00,-,545,0
,ASDSP,"5,000,000.00",-,"5,000,000.00",-,100.00,-,545,0
,FAO,"1,245,700.00",-,"1,000,000.00",-,80.28,-,545,0
,Development,-,"600,000,000.00","429,900.00","996,540.00",-,0.17,545,0
,Sub-Total,"59,429,866.00","600,000,000.00","28,982,044.00","996,540.00",48.77,0.17,545,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",546,0
"Fisheries Develop-
ment","General Adminis-
tration,","1,887,000.00",-,-,-,-,-,546,0
,"Empowerment of
women and youth on
fish safety and quality
assurance","1,520,000.00",-,-,-,-,-,546,0
,"Construction of ice
plant and cold storage","16,202,370.00",-,"12,487,895.20",-,77.07,-,546,0
,Development,-,"134,727,370.00",-,-,-,-,546,0
,Sub-Total,"19,609,370.00","134,727,370.00","12,487,895.20",-,63.68,-,546,0
Veterinary Services,"General Adminis-
tration","2,612,372.00",-,"197,555.00",-,7.56,-,546,0
,Extension services,"38,072,388.00",-,"35,266,533.00",-,92.63,-,546,0
,"Breed improvement
and artificial insem-
ination","2,468,872.00",-,"1,423,081.80",-,57.64,-,546,0
,"Veterinary Public
Health/Abattoirs","1,118,500.00",-,"395,700.00",-,35.38,-,546,0
,"Leather Development
Services","26,182,846.00",-,"25,170,300.00",-,96.13,-,546,0
,"Control Tsetse fly and
Laboratory Services","2,685,000.00",-,-,-,-,-,546,0
,"Conduct disease
surveillance and carry
out timely vaccination","15,382,000.00","43,875,087.00","10,000,000.00","4,075,970.75",65.01,9.29,546,0
,Sub-Total,"88,521,978.00","43,875,087.00","72,453,169.80","4,075,970.75",81.85,9.29,546,0
Livestock,"General Adminis-
tration","7,766,440.00",-,-,-,-,-,546,0
,"Livestock Extension
Services","1,805,000.00","12,000,000.00","382,250.00",-,21.18,-,546,0
,Animal Husbandry,"1,292,500.00","145,100,000.00","558,900.00",-,43.24,-,546,0
,Sub-Total,"10,863,940.00","157,100,000.00","941,150.00",-,8.66,-,546,0
,Grand Total,"178,425,154.00","935,702,457.00","114,864,259.00","5,072,510.75",64.38,0.54,546,0
"Gender, Social Service and Youth Develop-
ment",,,,,,,,546,0
Child Protection.,"Baseline Survey for
OVC","3,700,000.00",-,"593,000.00",-,16.03,-,546,0
,"Community Aware-
ness of Child Rights
and Child Protection","2,000,000.00",-,-,-,-,-,546,0
,"Enhanced Child
Participation","700,000.00",-,"300,000.00",-,42.86,-,546,0
"Social Development
and Protection.","Women empower-
ment","1,050,000.00",-,"181,800.00",-,17.31,-,546,0
,"Gender and Lead-
ership","11,450,000.00",-,"7,539,808.30",-,65.85,-,546,0
,Youth Empowerment,-,"50,000,000.00",-,"4,267,165.40",-,8.53,546,0
"Sports Training and
Competitions",county Sports leagues,"7,193,447.00",-,"2,248,130.00",-,31.25,-,546,0
,"Sports equipment and
support","2,000,000.00",-,-,-,-,-,546,0
,Sub-Total,"28,093,447.00","50,000,000.00","10,862,738.30","4,267,165.40",38.67,-,546,0
"Culture and art devel-
opment","Culture Promotion
and Development","11,750,000.00",-,"1,976,520.00",-,16.82,-,546,0
,"Capacity building of
cultural practitioners","5,500,000.00",-,"1,031,600.00",-,18.76,-,546,0
,Sub-Total,"17,250,000.00",-,"3,008,120.00",-,17.44,-,546,0
"General adminis-
tration, support and
planning","General adminis-
tration","7,340,000.00",-,"2,689,200.00",-,36.64,-,546,0
,Sub-Total,"7,340,000.00",-,"2,689,200.00",-,36.64,-,546,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",547,0
,Grand Total,"52,683,447.00","50,000,000.00","16,560,058.30","4,267,165.40",31.43,-,547,0
"Education, Vocational training and ECDE",,,,,,,,547,0
"Early Child care
services","ECDE quality
education standards
service","500,000.00",-,"484,000.00",-,96.80,-,547,0
,"ECDE Access and
Retention Services","20,300,000.00","27,000,000.00","2,993,000.00","10,606,584.00",14.74,0.39,547,0
,Sub Total,"20,800,000.00","27,000,000.00","3,477,000.00","10,606,584.00",16.72,0.39,547,0
"Vocational Training
Services","VTC quality
standards training
services","3,010,342.00",-,"2,292,000.00",-,76.14,-,547,0
,"Free VTC education
and training","56,156,327.00",,"12,156,327.00",-,21.65,-,547,0
,Sub Total,"59,166,669.00",-,"14,448,327.00",-,24.42,-,547,0
"General Administra-
tion, Planning and
support services","General Administra-
tion, Planning and
support services","160,800,000.00",-,"152,972,273.00","17,907,000.00",95.13,-,547,0
,Sub-Total,"160,800,000.00",-,"152,972,273.00","17,907,000.00",95.13,-,547,0
"VTC access and
retention of training",Development,-,"171,535,447.00",-,"3,933,902.15",-,0.02,547,0
,Sub Total,-,"171,535,447.00",-,"3,933,902.15",-,0.02,547,0
,Grand Total,"240,766,669.00","198,535,447.00","170,897,600.00","32,447,486.15",70.98,0.16,547,0
Health and Sanitation,,,,,,,,547,0
"Curative and Reha-
bilitative",Medical Supplies,"160,650,000.00",-,"77,515,258.95",-,48.25,-,547,0
,Medical Services,"33,200,000.00","242,200,000.00","24,110,495.00","9,447,732.35",72.62,0.04,547,0
,Ambulance services,"10,700,000.00",-,"7,022,890.00",-,65.63,-,547,0
"Preventive and
Promotive","Preventive and
Promotive","17,050,041.00",-,"13,789,656.80",-,80.88,-,547,0
,Mobile clinics,"5,800,000.00",-,"4,870,664.40",-,-,-,547,0
,"Licensing and control
of undertaking","9,045,859.00",-,"8,409,902.00",-,92.97,-,547,0
,Sub Total,"236,445,900.00","242,200,000.00","135,718,867.15","9,447,732.35",57.40,0.04,547,0
"General Administra-
tion, Planning and
support services","General Administra-
tion, Planning and
support services","961,115,376.69",-,"556,996,647.05",-,57.95,-,547,0
,Development,-,-,-,-,-,-,547,0
,Sub Total,"961,115,376.69",-,"556,996,647.05",-,57.95,-,547,0
,Grand Total,"1,197,561,276.69","242,200,000.00","692,715,514.20","9,447,732.35",0.58,0.02,547,0
Special Programme,,,,,,,,547,0
"Drought management
(Preparedness, Re-
sponse and Recovery",Drought contingency,"2,000,000.00",-,-,-,0.00,-,547,0
,"Disaster Risk Man-
agement Fund","139,202,242.80",-,"137,602,243.00",-,98.85,-,547,0
"Social protection and
response to other
disasters","Food distribution and
rations","3,032,392.00",-,"838,020.00",-,27.64,-,547,0
,Sub-Total,"144,234,634.80",-,"138,440,263.00",-,95.98,-,547,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","6,000,000.00",-,"1,844,480.00",-,30.74,-,547,0
,Sub-Total,"6,000,000.00",-,"1,844,480.00",-,30.74,-,547,0
,Grand Total,"150,234,634.80",-,"140,284,743.00",-,93.38,-,547,0
Roads and public works,,,,,,,,547,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",548,0
"County Roads Devel-
opment",Routine maintenance,"3,628,330.00","124,000,000.00","3,573,263.00","19,150,753.00",98.48,0.15,548,0
,Opening of new roads,"1,877,733.33",-,"1,504,500.00",-,80.12,-,548,0
,"Grading, Murmuring
and tarmacking","1,645,000.00",-,"593,710.00",-,36.09,-,548,0
,"Monitoring and
Evaluation","1,849,133.00",-,"580,000.00",-,31.37,-,548,0
,Sub-Total,"9,000,196.33","124,000,000.00","6,251,473.00","19,150,753.20",69.46,0.15,548,0
"Public works and
services","Public works and
services","24,536,780.00","501,782,356.00","6,858,734.00","41,797,966.00",27.95,0.08,548,0
,Sub Total,"24,536,780.00","501,782,356.00","6,858,734.00","41,797,966.00",27.95,0.08,548,0
"General Adminis-
tration and Support
Services","General Adminis-
tration and Support
Services","34,451,763.00",-,"6,343,800.00",-,18.41,-,548,0
,Sub-Total,"34,451,763.00",-,"6,343,800.00",-,18.41,-,548,0
,Grand Total,"67,988,739.33","625,782,356.00","19,454,007.00","60,948,719.20",0.29,0.24,548,0
"Water, Environment and Natural Resources",,,,,,,,548,0
"Environment Man-
agement","Environmental
Protection","35,552,415.00",-,"11,370,505.00",-,31.98,-,548,0
,"Environmental
Protection","9,863,077.00","50,000,000.00","386,303.00","46,000,000.00",3.92,-,548,0
,"Control of Air
Pollution","2,795,484.00",-,-,-,-,-,548,0
,"Solid Waste Man-
agement","11,098,615.00",-,"6,958,700.00",-,62.70,-,548,0
,Sub-Total,"59,309,591.00","50,000,000.00","18,715,508.00","46,000,000.00",31.56,-,548,0
"General administra-
tion, planning support","General administra-
tion, planning support","34,780,511.00",-,"10,295,911.00",-,29.60,-,548,0
,Sub-Total,"34,780,511.00",-,"10,295,911.00",-,29.60,-,548,0
Water Services,"Water Management
services","12,208,476.00",-,"2,848,370.00","2,149,956.00",23.33,-,548,0
,"Water Sanitation &
Hygiene","3,767,316.00","249,500,000.00","3,049,030.00",-,80.93,-,548,0
,"Storm Water Man-
agement","3,010,744.00",-,"599,525.00",-,19.91,-,548,0
Energy Development,Energy,"1,970,640.00",-,-,"1,830,549.75",-,-,548,0
,Sub-Total,"20,957,176.00","249,500,000.00","6,496,925.00","3,980,505.75",31.00,0.02,548,0
,Grand Total,"115,047,278.00","299,500,000.00","35,508,344.00","49,980,505.75",30.86,0.17,548,0
Public service and administration,,,,,,,,548,0
"General Adminis-
tration, support and
planning","General Adminis-
tration","1,178,788,666.00",-,"561,131,066.70",-,47.60,-,548,0
,"Performance manage-
ment system","4,200,000.00",-,"2,143,200.00",-,51.03,-,548,0
,"Human resource
development","138,629,351.00",-,"31,281,330.00",-,22.56,-,548,0
,Administration,"62,100,000.00","50,000,000.00","31,549,599.80","522,000.00",50.80,-,548,0
,Enforcement,"12,500,000.00",-,"2,493,350.00",-,19.95,-,548,0
,Citizen Participation,"6,100,000.00",-,"2,317,430.00",-,37.99,-,548,0
,Sub Total,"1,402,318,017.00","50,000,000.00","630,915,976.50","522,000.00",44.99,0.01,548,0
,Grand Total,"1,402,318,017.00","50,000,000.00","630,915,976.50","522,000.00",44.99,0.01,548,0
Lands and physical planning,,,,,,,,548,0
