Programme S,ub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index,Programme,Sub-Programme
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",97,1,,
County Assembly,,,,,,,,97,1,,
"Legislation and
L
Representation",egislation and Representation,"318,040,242",-,"235,354,026",-,74,-,97,1,,
"Legislative Over-
L
sight",egislative Oversight,"65,179,450",-,"65,154,300",-,100,-,97,1,,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",98,0,,
,,"323,629,153",-,"277,390,765",-,85.7,-,98,0,"General Administra-
tion, Planning and
Support Services","General Administration, Plan-
ning and Support Services"
,,,,,,,,98,0,Office of Governor,
,,"143,511,550",-,"96,477,014",-,67.2,-,98,0,"General adminis-
tration and support
services","General administration and
support services"
,,"12,150,000",-,"2,702,630",-,22.2,-,98,0,,"Peace building, and conflict
resolution"
,,"6,850,000",-,"3,246,900",-,47.4,-,98,0,,Internal Audit
,,,,,,,,98,0,Finance and Economic Planning,
,,"169,757,117",-,"110,958,463",-,65.4,-,98,0,"General adminis-
tration and support
services","Finance and Planning Head-
quarters"
,,"19,322,103",-,"8,076,310",-,41.8,-,98,0,,"Economic Planning &
Budgeting"
,,"6,906,987",-,"5,532,495",-,80.1,-,98,0,,Accounting services
,,"3,473,262",-,"1,391,862",-,40.1,-,98,0,,Supply Chain Management
,,"17,272,235",-,"4,625,675",-,26.8,-,98,0,,"Revenue Management
Services"
,,"2,414,180",-,-,-,-,-,98,0,,Monitoring and Evaluation
,,,,,,,,98,0,Agriculture Livestock Fisheries and Irrigation,
,,"156,927,049",-,"76,743,332",-,48.9,-,98,0,"General adminis-
tration and support
services","General administration and
support services"
,,-,"345,589,423",-,"12,966,755",-,4,98,0,Crop Development,"Agricultural Extension and
Training Services"
,,-,"39,583,947.0",-,"2,844,616",-,7,98,0,,Crop Commercialization
,,-,"55,680,996",-,"12,431,203",-,22,98,0,"Irrigation Develop-
ment",Irrigation Development
,,-,"72,409,200",-,-,-,-,98,0,"Livestock Devel-
opment","Livestock Extension and
Training Services"
,,-,"32,484,555",-,"13,197,480",-,41,98,0,,Livestock Commercialization
,,-,"211,100",-,-,-,-,98,0,"Cooperatives Devel-
opment",Cooperatives Development
,,-,"41,886,394",-,"2,989,497",-,7,98,0,Veterinary Services,Livestock Disease Control
,,-,"5,564,404",-,-,-,-,98,0,,Breeding
