Program,Sub-Programme,"Approved Estimated FY 2023/2023
(Kshs.)",col_3,"Actual Expenditure for the
period ended 31st March 2024
(Kshs.)",col_5,"Absorption Rate
(10)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",301,1
COUNTY ASSEMBLY,,,,,,,,301,1
701003210,,"470,000,000","119,500,000","276,707,526","3,499,999",58.9,2.9,301,1
,"Administration, planning
and support services.","233,018,305",-,"131,602,305",-,-,-,301,1
,Legislation and Oversight,"236,981,695","119,500,000","145,105,221","3,499,999",-,-,301,1
SUB-TOTAL,,"470,000,000","119,500,000","276,707,526","3,499,999",58.9,2.9,301,1
COUNTY EXECUTIVE,,,,,,,,301,1
703003212,,"352,726,491","90,310,930","250,330,217","13,499,920",71.0,14.9,301,1
,Administration Services,"352,726,491","90,310,930","250,330,217","13,499,920",71.0,14.9,301,1
SUBTOTAL,,"352,726,491","90,310,930","250,330,217","13,499,920",71.0,14.9,301,1
FINANCE,,,,,,,,301,1
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",302,0
711003213,,"123,485,783",-,"89,912,748",-,72.8,-,302,0
,Administration Services,"123,485,783",-,"89,912,748",-,72.8,-,302,0
712003213,,"16,336,124",-,"4,296,453",-,26.3,-,302,0
,Resource mobilization,"2,543,455",-,"621,840",-,24.4,-,302,0
,Internal Audit,"1,780,202",-,"611,911",-,34.4,-,302,0
,Procurement,"2,193,705",-,"1,335,940",-,60.9,-,302,0
,"Public Finance & Account-
ing","4,686,256",-,"1,726,762",-,36.8,-,302,0
,"Management of Public
finance","5,132,506",-,-,,,,302,0
,,"139,821,907",-,"94,209,201",,67.4,-,302,0
712003213,,,"6,500,000",-,"1,498,000",-,23.0,302,0
,Resource mobilization,-,"6,500,000",-,"1,498,000",-,23.0,302,0
SUBTOTAL,,"139,821,907","6,500,000","94,209,201","1,498,000",67.4,23.0,302,0
AGRICULTURE,,,,,,,,302,0
201003214,,"66,365,839",-,"44,784,454",-,67.5,-,302,0
,"Administration, Personnel
& Policy Formulation","66,365,839",-,"44,784,454",-,67.5,-,302,0
,,"66,365,839",-,"44,784,454",-,67.5,-,302,0
116003214,,-,"155,442,700",-,"12,925,595",-,8.3,302,0
,"Agricultural Extension
Research & Training",-,"8,720,000",-,-,-,-,302,0
,"Promotion of Mechanized
Agriculture",-,"10,000,000",-,"9,970,000",-,99.7,302,0
,"Promotion of Agro-Pro-
cessing & Value Addition
Technologies",-,"93,322,700",-,"189,000",-,0.2,302,0
,Demonstration Farm Fund,-,"2,000,000",-,"1,996,595",-,99.8,302,0
,"Promotion of the Ca-
shewnuts Programme",-,"1,800,000",-,"770,000",-,42.8,302,0
,"Provision of Relief seeds
to vulnerable farmers",-,"39,600,000",-,-,-,-,302,0
117003214,,,"15,000,000",-,"14,967,865",-,99.8,302,0
,Irrigated Farming,,"15,000,000",,"14,967,865",-,99.8,302,0
SUBTOTAL,,"66,365,839","170,442,700","44,784,454","27,893,460",67.5,16.4,302,0
"LANDS AND PHYSICAL
PLANNING",,,,,,,,302,0
101003215,,"33,192,509",-,"16,873,010",-,50.8,-,302,0
,Administration Services,"33,192,509",-,"16,873,010",-,50.8,-,302,0
102003215,,"5,000,000","88,507,549",-,"45,823,206",-,51.8,302,0
,Physical planning,"5,000,000","78,507,549",-,"41,851,366",-,53.3,302,0
,"Land Adjudication &
Regularization",-,"10,000,000",-,"3,971,840",-,39.7,302,0
104003215,,"5,000,000","200,000,000",-,-,-,-,302,0
,"Infrastructure Develop-
ment","5,000,000","200,000,000",-,-,-,-,302,0
SUBTOTAL,,"43,192,509","288,507,549","16,873,010","45,823,206",39.1,15.9,302,0
"EDUCATION, GENDER, SOCIAL SERVICE",,,,,,,,302,0
501003216,,"193,711,372",-,"132,020,424",-,68.2,-,302,0
,Administration Services,"193,711,372",-,"132,020,424",-,68.2,-,302,0
502003216,,"100,000,000","49,750,114","99,977,782","5,180,912",100.0,10.4,302,0
,"Promotion of Early Child-
hood Education","100,000,000","49,750,114","99,977,782","5,180,912",100.0,10.4,302,0
503003216,,"8,000,000","34,498,099","5,250,000","16,445,000",65.6,36.3,302,0
,Village Polytechnics,-,"23,500,000",-,"14,500,000",-,61.7,302,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",303,0
,"Development of Sports
facilities",-,"8,998,099",-,-,-,-,303,0
