Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expenditure
as of 31st March, 2024
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,Sub total,"166,447,292","101,949,361","64,497,931",61.3,141,0
"Trade, Cooperative and
Entrepreneurship Development
Services","Enterprise development and promotion
services","25,340,500","3,412,250","21,928,250",13.5,141,0
,Cooperative development services,"47,382,200","1,875,500","45,506,700",4.0,141,0
,"Trade infrastructure and development
services","102,600,000","23,654,942","78,945,058",23.1,141,0
,Sub total,"175,322,700","28,942,692","146,380,008",16.5,141,0
"Tourism, Industrial and Invest-
ment Promotion Services",Value Chain Development Services,"21,017,800",-,"21,017,800",-,141,0
,Tourism promotion and marketing,"19,975,070","3,607,999","16,367,071",18.1,141,0
,"Tourism infrastructure development
services","10,000,000","5,496,268","4,503,732",55.0,141,0
,Industrial Park Development,"150,000,000",-,"150,000,000",-,141,0
,Investment promotion and facilitation,"12,500,000",-,"12,500,000",-,141,0
,Sub total,"213,492,870","9,104,267","204,388,603",4.3,141,0
,Grand total,"555,262,862","139,996,320","415,266,542",25.2,141,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,141,0
General Administrative services,Administrative Support Services,"268,482,343","119,622,706","148,859,637",44.6,141,0
,Policy and Planning Services,"6,000,000","2,550,400","3,449,600",42.5,141,0
,Sub total,"274,482,343","122,173,106","152,309,237",44.5,141,0
"Water Supply and Management
Services",Urban Water Supply Services,"14,000,000",-,"14,000,000",-,141,0
,Rural Water Supply Services,"140,707,351","73,610,762","67,096,589",52.3,141,0
,Industrial Water Supply Services,-,-,-,-,141,0
,Maintenance of Water Supply Services,-,-,-,-,141,0
,Sub total,"154,707,351","21,357,335","133,350,017",13.8,141,0
Energy Services,Electrical Power Services,"40,000,000",-,"40,000,000",-,141,0
,Solar Power Services,"950,565",-,"950,565",-,141,0
,Renewable Energy Services,-,-,-,-,141,0
,Sub total,"40,950,565",-,"40,950,565",-,141,0
"Irrigation Development and
Management Services","Irrigation Infrastructure Development and
Rehabilitation Services","4,087,470",-,"4,087,470",-,142,0
,"Small Holder Community Irrigation
Support Services",-,-,-,-,142,0
,Sub total,"4,087,470",-,"4,087,470",-,142,0
"Environmental Protection and
Management Services",Pollution and Waste Management services,"6,523,340",-,"6,523,340",-,142,0
,Forestry Development Services,"10,500,000",-,"10,500,000",-,142,0
,Climate Change Governance,"6,713,617",,"6,713,617",,142,0
,"Climate Change Mitigation, Adaptation
and Resilience Building","254,000,000","11,000,000","243,000,000",4.3,142,0
,Sub total,"277,736,957","11,000,000","266,736,957",4.0,142,0
,Grand Total,"751,964,686","206,783,868","545,180,818",27.5,142,0
"Governance and Administration, Communication and Devolution",,,,,,142,0
"Governance, Administration and
Devolution Services",Governance and Administration,"294,368,112","161,467,705","132,900,407",54.9,142,0
,"Field Coordination and Administration
Services","32,450,400","21,246,031","11,204,369",-,142,0
,Compliance and Enforcement Services,"24,710,000",-,"24,710,000",-,142,0
,Sub total,"351,528,512","182,713,736","168,814,776",52.0,142,0
"Stakeholder Management and
Communication","Communication and Public
Engagement Services","23,602,565","4,249,615","19,352,950",18.0,142,0
,Sub total,"23,602,565","4,249,615","19,352,950",18.0,142,0
"Special Projects and Disaster
Management",Special Projects Services,"11,200,519",-,"11,200,519",-,142,0
,"Disaster Prevention and Management
Services","27,701,214",-,"27,701,214",-,142,0
,Sub total,"38,901,733",-,"38,901,733",-,142,0
,Grand total,"414,032,810","190,241,751","223,791,059",45.9,142,0
Executive Office of the Governor,,,,,,142,0
"Public service administration
support services","Human resource management and devel-
opment services","392,425,341","173,933,089","218,492,252",44.3,142,0
,Performance Management Services,"6,310,000",-,"6,310,000",-,142,0
,Legal Services,"20,000,000",-,"20,000,000",-,142,0
,Sub total,"418,735,341","173,933,089","244,802,252",41.5,142,0
"Governance and coordination
services","Executive management and liaison
services","202,233,970","91,498,276","110,735,694",45.2,142,0
,"Field coordination and administration
services","11,585,135",-,"11,585,135",-,142,0
,Sub total,"213,819,105","91,498,276","122,320,829",42.8,142,0
"Strategy and service delivery
improvement services",Strategy and advisory services,"9,734,000",-,"9,734,000",-,142,0
,Information and Communications,"10,266,000",-,"10,266,000",-,142,0
,Sub total,"20,000,000",-,"20,000,000",-,142,0
,Grand total,"652,554,446","265,431,364","387,123,082",40.7,142,0
Kendu Bay Municipal Board,,,,,,142,0
"Policy, Planning, General
Administration and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,142,0
,"Personnel remuneration and development
services","3,803,640",-,"3,803,640",-,142,0
,Administration and Support Services,"3,081,110",-,"3,081,110",-,142,0
,Sub total,"10,060,000",-,"10,060,000",-,142,0
"Public Works and Infrastructure
Improvements Services",Transport Infrastructure Improvements,"5,000,000",-,"5,000,000",-,142,0
,Public facilities improvement services,-,-,-,-,142,0
"Housing and Urban Develop-
ment Services",Environmental Management Services,"5,000,000",-,"5,000,000",-,142,0
,Land Use Management,-,-,-,-,142,0
,Sub total,"10,000,000",-,"10,000,000.0",-,142,0
,Grand total,"20,060,000",-,"20,060,000",-,143,0
Mbita Municipal Board,,,,,,143,0
"Policy, Planning, General
Administration and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,143,0
,"Personnel remuneration and development
services","3,803,640",-,"3,803,640",-,143,0
,Administration and Support Services,"3,081,110",-,"3,081,110",-,143,0
"Public Works and Infrastructure
Improvements Services",Sub total,"10,060,000",-,"10,060,000",-,143,0
,Transport Infrastructure Improvements,"5,000,000",-,"5,000,000",-,143,0
,Public facilities improvement services,-,-,-,-,143,0
"Housing and Urban Develop-
ment Services",Environmental Management Services,"5,000,000",-,"5,000,000",-,143,0
