Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st March
2024 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"Roads, Public
Works and
Transport","Policy planning and administra-
tive services","43,142,772.00","1,500,000.00","14,010,402.00",-,32.5,-,59,0
,"Roads Construction & Main-
tenance",-,"408,000,000.00",-,"301,238,740.00",-,73.8,59,0
,"Development and Maintenance
of other public works",-,"58,274,836.00",-,"19,244,957.00",-,33.0,59,0
,County Transport Infrastructure,-,"136,000,000.00",-,"122,428,410.00",-,90.0,59,0
,Sub-Total,"43,142,772.00","603,774,836.00","14,010,402.00","442,912,107.00",32.5,73.4,59,0
"Trade, Energy, Tourism and Industry",,,,,,,,59,0
"Trade, Energy,
Tourism and
Industry",Administration,"11,226,738.00",-,"6,291,499.00",-,56.0,-,59,0
,Trade Development,-,"27,500,000.00",-,"6,421,719.00",-,23.4,59,0
,Energy Development,-,"26,000,000.00",-,"10,036,302.00",-,38.6,59,0
,Tourism Development,-,"5,000,000.00",-,-,-,-,59,0
,Industry,-,"50,000,000.00",-,-,-,-,59,0
,Investment,-,"2,000,000.00",-,-,-,-,59,0
,Sub-Total,"11,226,738.00","110,500,000.00","6,291,499.00","16,458,021.00",56.0,14.9,59,0
The County Assembly,,,,,,,,59,0
"County
Assembly","General Administration, Human
Resources and Administrative
Services","524,171,121.00","168,000,000.00","309,749,249.00","67,005,256.00",59.1,39.9,59,0
,Legislative Services,"302,622,156.00",-,"191,712,637.00",-,63.4,-,59,0
,Oversight and Representation,"75,109,979.00",-,"42,113,373.00",-,56.1,-,59,0
,Sub-Total,"901,903,256.00","168,000,000.00","543,575,259.00","67,005,256.00",60.3,39.9,59,0
Grand Total,,"6,134,313,178.00","2,386,787,130.00","3,825,773,390.00","1,163,734,023.00",62.4,48.8,59,0
