Program,Sub Program,Approved Estimates,col_3,Actual Expenditure as of 31 March 2024,col_5,Absorption Rate (%),col_7,page_number,table_index
Administrative services,,"1,008,436,139.00","1,050,000,000.00","693,597,874.60","749,671,204.65",68.8,71.4,248,0
ICT Services,,"65,000,000.00",-,"31,945,814.10",-,49.1,-,248,0
Internal Auditing Services,,"15,000,000.00",-,"10,045,100.00",-,67.0,-,248,0
"Budget Formulation & Coor-
dination Services",,"54,600,000.00","12,142,939.00","36,372,670.95","12,086,230.00",66.6,99.5,248,0
"management of public finan-
cial resources",,"16,000,000.00",-,"10,391,808.00",-,64.9,-,248,0
Revenue Mobilization,,"80,000,000.00","60,000,000.00","47,480,229.00","19,822,670.00",59.4,33.0,248,0
Monitoring & Evaluation,,"33,000,000.00",-,"19,393,200.00",-,58.8,-,248,0
"Policy Formulation &
Planning",,"52,249,719.00",-,"33,326,865.00",-,63.8,-,248,0
"Trade, Tourism, Industry & Marketing-5084",,,,,,,,248,0
Trade Support Services,,"3,200,000.00","57,647,203.00","688,010.00",-,21.5,-,248,0
"Verification and Calibration
of Weighing Equipment",,"4,750,000.00","17,500,000.00","1,295,000.10",-,27.3,-,248,0
Tourism Event Management,,"18,349,998.00",-,"4,285,075.00",-,23.4,-,248,0
Tourism Development,,"3,900,002.00",-,"955,870.00",-,24.5,-,248,0
Co-operative Governance,,"3,900,000.00",-,"1,859,300.00",-,47.7,-,248,0
"Business Development
Services",,"1,700,000.00","200,000,000.00","521,800.00",-,30.7,-,248,0
Betting Control Services,,"200,000.00",-,-,-,-,-,248,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,249,0
Alcoholic Drinks,,"100,000.00",-,-,-,-,-,249,0
"General Administration and
Support services",,"81,314,464.00",-,"39,000,956.00",-,48.0,-,249,0
"Medical Services, Public Health & Sanitation-5085",,,,,,,,249,0
Disease surveillance,,"600,000.00",-,"440,700.00",-,73.5,-,249,0
"Elimination of communica-
ble and non-communicable
disease",,"360,000.00",-,"235,200.00",-,65.3,-,249,0
Reproductive Health,,"1,760,000.00",-,"119,400.00",-,6.8,-,249,0
Essential Service,,"360,000.00",-,"158,000.00",-,43.9,-,249,0
Governance and leadership,,"423,646,001.00",-,"280,018,556.90",-,66.1,-,249,0
Human Resources for Health,,"2,728,154,740.00",-,"2,032,595,048.95",-,74.5,-,249,0
Primary Healthcare Services,,"39,050,398.00",-,"38,950,466.00",-,99.7,-,249,0
Health Promotive Services,,"11,132,698.00",-,"4,594,683.00",-,41.3,-,249,0
"Jaramogi Oginga Odinga
Teaching and Referral
Hospital",,"90,000,000.00","25,000,000.00","150,000,000.00","25,000,000.00",166.7,100.0,249,0
"Kisumu County Referral
Hospital",,"42,000,000.00",-,"42,000,000.00",-,100.0,-,249,0
"County and Sub-County
Hospital Services",,"42,000,000.00","211,174,534.00","41,922,110.00","770,489.00",99.8,0.4,249,0
Routine Nutritional Survey,,"2,000,000.00",-,"417,000.00",-,20.9,-,249,0
"Sports, Culture, Gender & Youth Affairs-5086",,,,,,,,249,0
"Planning and Coordination
Services",,"91,056,101.00","22,561,013.00","51,421,646.70","998,000.00",56.5,4.4,249,0
Physical planning services,,"1,078,875.00",-,"278,575.00",-,25.8,-,249,0
Infrastructure Development,,"14,053,355.00",-,"3,882,055.00",-,27.6,-,249,0
Administration planning,,"32,267,690.00",-,"23,306,550.00",-,72.2,-,249,0
Youth Training Facilities,,"1,020,000.00","100,000,000.00","430,848.00",-,42.2,-,249,0
"Gender & Disability Main-
streaming",,"577,500.00",-,"25,000.00",-,4.3,-,249,0
Social Dev. Facilities,,"1,795,500.00",-,"541,960.00",-,30.2,-,249,0
Sports Management,,"4,274,375.00","5,000,000.00","1,463,258.00",-,34.2,-,249,0
Talent Development,,"22,280,010.00",-,"18,479,010.50",-,82.9,-,249,0
Sports Academy,,"7,943,400.00",-,"4,143,758.00",-,52.2,-,249,0
Artistic Talent Development,,"2,798,625.00",-,"1,248,050.00",-,44.6,-,249,0
"Culture and Heritage Devel-
opment",,"11,928,200.00",-,"6,306,107.50",-,52.9,-,249,0
"Water, Environment, Natural Resources & Climate Change-5087",,,,,,,,249,0
Planning and Administration,,"44,650,927.00",-,"22,336,323.65",-,50.0,-,249,0
225,,,,,,,,249,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,250,0
Management of Stations,,"28,950,658.00",-,"13,893,514.00",-,48.0,-,250,0
Climate Change,,"6,200,000.00",-,"2,768,800.00",-,44.7,-,250,0
Mining Efficiency,,"1,208,000.00",-,"185,800.00",-,15.4,-,250,0
Infrastructure Development,,"6,963,826.00",-,"1,020,800.00",-,14.7,-,250,0
