Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expen-
diture",123,1
"Department of Agriculture, Livestock &
Pastoral",,,,,,,,123,1
"Programme 1: CP1:
Agriculture","CSP 1.1 Agriculture Ad-
ministration & Support
Services","61,442,158.5","153,000,000","49,349,48",7,80.3,,123,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expen-
diture",124,0
,"CSP 1.2 Crop produc-
tion and value chains","11,412,438",,,,,,124,0
,"CSP 1.3 Agricultural
Mechanization Services",,,,,,,124,0
"Programme 2: CP2:
Livestock Pastoral
Economy","CSP 2.1 Livestock Ad-
ministration and Support
Service","47,259,147.5","169,365,353","43,747,854",,92.6,,124,0
,"CSP 2.2 Livestock
Production","3,050,000.00","128,454,980",,,,,124,0
,"CSP 2.3 Livestock Value
Chains Development","1,000,000.00","27,000,000",,,,,124,0
,"CSP 2.4 Veterinary
Service","3,350,000.00","30,000,000",,,,,124,0
"CP1: Fish Produc-
tion","CSP 1.4 Fisheries
services","200,000.00",,,,,,124,0
CP 4: Cooperatives,"CSP 4.1 Cooperatives
Development","600,000.00",,"250,000",,41.7,,124,0
,Sub Total,"128,313,744","507,820,333","93,347,341",-,72.7,,124,0
"Department Gender, Social Service and Sport",,,,,,,,124,0
"Programme 1: CP1.
Gender, Social
Services, Culture,
Youth and Sports","CSP 1.1 Administration
and Support Services","35,422,346",,"22,580,215",,63.7,,124,0
,"CSP 1.2 Social Protec-
tion,","3,025,000","8,000,000",,,,,124,0
,"Gender and Women
Empowerment","1,500,000","4,000,000",,,,,124,0
,"Promotion and preser-
vation of culture and
Heritage","1,500,000","5,000,000",,,,,124,0
,Youth development,"1,500,000","3,000,000",,,,,124,0
,"Sports & talent devel-
opment","3,263,600","100,000,000",,,,,124,0
,Sub-Total,"46,210,946","120,000,000","22,580,215",-,48.9,,124,0
"Department Roads, Transport & Public Works",,,,,,,,124,0
"Programme 1: CP1:
Administration and
support services","CSP 1.1 Administration
and Services","31,406,400",,"22,000,000",,70.0,,124,0
"Programme 2:
CP2.0 Road and
transport",CSP2.1 Roads,"2,417,200","165,000,000","500,000",,20.7,,124,0
,CSP 2.2 Transport,"2,000,000",,,,,,124,0
"Programme 3:
CP3 Public works
&housing","CSP3.1 PUBLIC
WORKS","10,250,000","85,000,000",,,,,124,0
,Sub-Total,"46,073,600","250,000,000","22,500,000",-,48.8,,124,0
"Department of Education, Information & ICT",,,,,,,,124,0
"Programme 1: CP1:
General Adminis-
tration and support
services","CSP1.1 Administration
and Support Services","444,889,663","15,000,000","378,135,660",,85.0,,124,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expen-
diture",125,0
"Programme 2: CP2.
Education Devel-
opment",CSP 2.1 E.C.D,"34,234,909","90,000,000",,,,,125,0
,"CSP 2.2 Vocational
Training","3,001,200","5,000,000",,,,,125,0
"Programme 3: CP3.
ICT, Information
and Libraries","CSP3.1 ICT, Informa-
tion and Libraries","23,082,733","24,694,322","17,000,000",,73.6,,125,0
,Sub-Total,"505,208,505","134,694,322","395,135,660",-,78.2,,125,0
"Department Lands, Physical Planning and Urban Development",,,,,,,,125,0
"Programme 1: CP
1: Administration","CSP 1.1 Urban Ad-
ministration & Support
Services","326,155,273",,"281,004,912",,86.2,,125,0
"Programme 2: CP
2: Lands & physical
planning",CSP 2.1 Lands Services,"8,000,000","80,000,000","500,000",,6.3,,125,0
,"CP 2.2: Lands & physi-
cal planning","12,374,997","5,000,000",,,,,125,0
,"CSP 2.3 Physical
Planning",,"150,000,000",,"45,500,000",,30.3,125,0
"Programme 3: CP
3: Urban Develop-
ment","CSP 3.1 Urban Develop-
ment and Infrastructure","2,500,000","25,000,000",,,,,125,0
,"CSP 3.2 Urban Disaster
and Risk Management","28,114,626",,"4,000,000",,14.2,,125,0
,"CSP 3.3 Urban Sanita-
tion Services","20,900,000",,,,,,125,0
,Sub-Total,"398,044,896","260,000,000","285,504,912","45,500,000",71.7,17.5,125,0
Department of Finance and Economic Planning,,,,,,,,125,0
"Programme 1: CP1:
Administration and
Support Services","CSP1.1 Administration
and Support Services","529,925,320","731,176,980","302,830,620","525,100,000",57.1,71.8,125,0
,"CSP 1.2 Special Pro-
gramme","340,940,000",,"85,800,000",,25.2,,125,0
"Programme 2: CP1:
Administration and
Support Services","CSP 2.1 Accounting
Services","3,713,739",,"396,320",,10.7,,125,0
,"CSP 2.2 Budget Formu-
lation","9,180,000",,"605,360",,6.6,,125,0
,CSP 2.3 Audit Services,"6,462,600",,"2,170,300",,33.6,,125,0
,"CSP 2.5 Revenue Man-
agement","142,127,781",,"114,718,000",,80.7,,125,0
,"CSP 2.6 Supply Chain
Mgt","5,630,000",,"778,320",,13.8,,125,0
"Programme 3: Eco-
nomic planning","CSP 3.1 Planning and
M&E","31,086,000",,"16,963,558",,54.6,,125,0
,"CSP3.2 Statistics and
Research","7,000,000",,,,,,125,0
