Programme,Sub-Programme,Sub-Program,Approved Estimates FY 2023/24,col_4,"Actual Expenditure Jul 2023 -
March 2024",col_6,Absorption Rate (%),col_8,page_number,table_index
,"Human resource
development-",402024510,"25,000,000",-,"19,452,939",-,78,-,288,0
,"Standards and quali-
ty assurance",402034510,"10,000,000",-,"7,212,500",-,72,-,288,0
,"Health leadership
and governance",402044510,"5,832,080",-,"2,818,571",-,48,-,288,0
,"Health policy, gov-
ernance, planning
and financing -",402054510,"2,000,000",-,"1,774,350",-,89,-,288,0
,"Health information
standards and quali-
ty assurance-",402064510,"2,000,000",-,"985,350",-,49,-,288,0
Sub-Total,,,"54,832,080",-,"43,136,270",-,,-,288,0
,,Code,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",289,0
"Preventive health
services","Community health
strategy, advocacy
and surveillance-",405044510,"12,000,000",-,"5,953,532",-,50,-,289,0
,"Family planning,
maternal, and child
health services",405014510,"2,000,000",-,"961,300",-,48,-,289,0
,"Non -communicable
diseases control and
prevention-",405024510,"2,000,000",-,"434,700",-,22,-,289,0
,"Public health pro-
motion and nutrition
services-",405034510,"9,350,000",-,"7,232,791",-,77,-,289,0
,"Social health insur-
ance scheme",405064510,"6,000,000",-,-,-,-,-,289,0
,"TB/HIV/AIDS
prevention and
control",405054510,"4,000,000",-,"6,240,475",-,156,-,289,0
Sub-Total,-,-,"35,350,000",-,"20,822,798",-,-,-,289,0
Total Health,-,-,"369,605,080","712,435,500","259,555,054","273,793,660",-,-,289,0
Department: Agriculture Livestock and Fisheries,,,,,,,,,289,0
Headquarters,"SP1 Headquarter
Administration
Services",103014510,"10,800,000","10,500,000","9,048,357","500,000",1,-,289,0
,"SP3 Agriculture
Sector Extension
Management",103034510,"1,933,282","94,870,868","1,933,282","8,870,868",1,-,289,0
Livestock Production,"SP2 Livestock Re-
source Development
and Management",104024510,"121,389,340","11,000,000","1,022,900","999,000",-,-,289,0
Veterinary Services,"SP5 Animal Health
and Disease Man-
agement",107054510,"1,800,000","10,500,000","944,850","3,485,375",1,-,289,0
Fisheries Production,"SP1 Fisheries
Development and
Management",110014510,"1,500,000","5,000,000","606,400","1,000,000",-,-,289,0
"Crop Production &
Horticulture","SP2 Land and
Crop Productivity
Enhancement and
Management",117024510,"3,800,000","2,400,000","2,395,750","1,464,910",1,1,289,0
,"SP4 Strategic Food
Security Service",117044510,"66,899,161",-,"10,119,997","465,000",-,-,289,0
,"SP4 Climate
Change Adaptation
& Mitigation",1006044510,"1,800,000","20,990,000","1,262,245","15,324,138",1,1,289,0
Grand Total,,,"209,921,783","155,260,868","27,333,781","32,109,291",-,-,289,0
"Department: Lands, Infrastructure, Housing and Urban Development",,,,,,,,,289,0
"P3-0103004510-Gen-
eral Administration
and Planning
Services","SP1 Adminis-
tration Ser-
vices-0105014510",-,"6,619,610",-,"2,738,075",-,41,-,289,0
,,Code,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",290,0
"P12-0112004510 -
Physical Planning
and Survey","SP1-0112014510
- Survey and Plan-
ning services",-,"5,000,000","9,000,000","1,654,990","8,187,430",33,91,290,0
,"SP2-0112024510 -
Land management
services",-,-,"6,055,360",-,"6,055,360",-,100,290,0
,"SP3-0112034510-
Strategic project
monitoring and
intervention",-,-,"944,640",-,"944,640",-,100,290,0
,"SP4-0112044510
-policy man-
agement, public
mobilisation and
participation",-,-,"6,500,000",-,"717,900",-,11,290,0
"P13-0113004510-
Land and Housing
Management","SP2 Housing
Policy Develop-
ment-0113024510",-,"1,000,000","20,000,000","250,000","607,600",25,3,290,0
"P14-0114004510-
Public Works Service
Delivery Improve-
ment","SP4 County
Building Con-
struction Stan-
dard-0114044510",-,"1,000,000","2,500,000","774,520",-,77,-,290,0
"P15-0115004510-
Roads Network
Improvement
Housing and Urban
Development","SP1 Road Net-
work improve-
ment-0115014510",-,"2,000,000","260,000,000","1,910,500","33,222,640",96,13,290,0
,"SP3- Road
network mainte-
nance-0115034154",-,-,"15,300,000",-,-,-,-,290,0
,"SP4 Heavy equip-
ment Mainte-
nance-0115044510",-,-,"10,000,000",-,"2,994,210",-,30,290,0
,"SP5-0115054510
- Mechanisation
Services",-,-,"30,000,000",-,-,-,-,290,0
,"SP Urban Develop-
ment-0115094510",-,-,"15,000,000",-,-,-,-,290,0
"P18-0118004510-Re-
newable /Green
Energy Services","SP1 County
renewable/green
energy ser-
vices-0118014510",-,"32,000,000","10,000,000","20,802,113","1,100,000",65,11,290,0
Total Infrastructure,,-,"47,619,610","385,300,000","28,130,198","53,829,780",-,-,290,0
Department: Education and Library Services,,,,,,,,,290,0
"General Adminis-
tration & Personnel
Services","Administration
Services",502014510,,"4,110,000",-,-,,-,290,0
,"Headquarter
Services",502024510,"3,500,000",-,"2,831,000",-,81,-,290,0
,Personnel services,502044510,"1,500,000",-,"1,354,500",-,90,-,290,0
Sub-Total,-,-,"5,000,000","4,110,000","4,185,500",-,-,-,290,0
"Early childhood
development (ECD)
and childcare
facilities","Education Empow-
erment",501034510,"75,000,000",-,"75,000,000",-,100,-,290,0
,"ECDE Infrastruc-
ture Improvement",506014510,,"39,800,000",,-,-,-,290,0
,"ECDE Teacher
Services",506034510,"2,000,000",,"1,000,000",-,50,-,290,0
Sub-Total,-,-,"77,000,000","39,800,000","76,000,000",-,-,-,290,0
"Youth, Polytechnics,
Vocational Training",-,-,-,-,-,-,-,-,290,0
,"Vocational Educa-
tion and Training",511014510,"19,500,000","20,000,000","8,755,500",-,45,-,290,0
,-,511044510,"500,000",,"115,713",,23,-,290,0
Sub-Total,-,-,"20,000,000","20,000,000","8,871,213",-,-,-,290,0
Education Total,-,-,"102,000,000","63,910,000","89,056,713",-,-,-,290,0
,,Code,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",291,0
"Department: Trade, Tourism and Co-Operative Development",,,,,,,,,291,0
"P1 Administration,
planning and support
services",-,-,-,-,-,-,-,-,291,0
,"SP1 Administration
Service",301014510,"4,350,000",-,"3,451,650",-,1,-,291,0
,"SP2 Personnel
Services",301044510,"1,800,000",-,"1,789,100",-,1,-,291,0
,SP3 Policy Services,304024510,"3,450,000",-,"2,501,000",-,1,-,291,0
Sub Total,-,-,"9,600,000",-,"7,741,750",-,-,-,291,0
