Programme,Sub-Programme,"Approved
Estimates",col_3,"Actual Expen-
diture as of
31th March
2024",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"Eldama ravine
Town- Urban
Development","Infrastructure
development","5,154,129","18,853,000.00","2,458,214",,48,,46,0
"Kabarnet Munici-
pality Services","Infrastructure
development","6,759,157","23,500,000.00","3,529,197",,52,-,46,0
"Housing De-
velopment and
management","Housing develop-
ment",,"1,200,000.00",,,,-,46,0
"Land use planning
and Information
management","Land Adjudication
Services",,"17,500,000.00",-,-,-,-,46,0
"Land use planning
and Information
management","Land adjudication
and demarcation",,"1,500,000.00",-,-,-,-,46,0
"Land use planning
and Information
management","Land Policy and
Planning Services",,"25,237,350.00",-,-,-,-,46,0
"General Adminis-
tration, Planning
and Support
Services","Infrastructure
Development",,"6,000,000.00",-,-,-,-,46,0
"Kabarnet Munici-
pality Services","Sanitation & waste
management",,"8,500,000.00",,"7,600,500.00",,89,46,0
,"Urban Safety and
Disaster control
Services",,"2,000,000.00",-,-,-,-,46,0
,"Infrastructure
development",,"15,100,000.00",,"13,959,386.00",,92,46,0
,"Urban Infrastructure
development and
management",-,-,-,-,-,-,46,0
"Agricultural
Services","General administra-
tion and Planning","30,779,781",,"11,356,783",,37,,46,0
"Livestock resources
management and
development","Livestock upgrad-
ing",,"149,789,340.00",,-,-,,46,0
"Milk Processing
Plant-Eldama
Ravine","Completion of Milk
Processing Plant",-,"46,000,000.00",-,-,-,-,46,0
"Kabartonjo Milk
Cooling Plant","Construction of
Ossen Milk Cooling
Plant",-,"3,500,000.00",,,37,,46,0
"-Livestock Sale-
yards","Maintenace of Live-
stock Sale Yards-
Emining, Loruk and
Loitip",-,"1,500,000.00",-,-,-,-,46,0
"Slaughter houses
Maintenances","maintenance of
slaughter houses
and slabs",-,"1,000,000.00",-,-,-,-,46,0
"Maoi Slaughter
House","Slaughter houses
and slabs:",-,"10,000,000.00",-,-,-,-,46,0
"Loruk Slaughter
House","Completion of
Loruk Slaughter
House",-,"3,000,000.00",-,-,-,-,46,0
"Barwessa Slaughter
House","Completion of
Barwessa Slaughter
House",-,"3,000,000.00",-,-,-,-,46,0
"Ngentalel Slaughter
House","Completion of
Ngentalel Slaughter
House",-,"4,000,000.00",-,-,-,-,47,0
"Cattle dips and Ani-
mal Vaccinations",Dips and Vaccines,-,"18,000,000.00",-,-,-,-,47,0
Bee Keeping,Beehives,-,"9,000,000.00",-,-,-,-,47,0
"Hay stores,
purchase of pasture
seeds and Climate
change","Hay stores,
purchase of pasture
seeds and Climate
change",-,"10,000,000.00",-,-,-,-,47,0
"Support to ATC
Services","Support to ATC
Services",-,"7,000,000.00",-,-,-,-,47,0
"Agricultural Ma-
chinery",Purchase of Tractor,-,"4,500,000.00",-,-,-,-,47,0
"Conditional Grants
for provision of
Fertilizer subsidy
programme","Conditional Grants
for provision of
Fertilizer subsidy
programme",-,"75,977,677.00",-,-,-,-,47,0
"IDA World Bank
(KCSAP)","IDA World Bank
(KCSAP)",-,"90,000,000.00",-,-,-,-,47,0
"Matching fund to
IDA World Bank
(KCSAP)","Matching fund to
IDA World Bank
(KCSAP)",-,"1,200,000.00",-,-,-,-,47,0
"SWEDEN:
Agricultural Sector
Development
Support Programme
(ASDSP) II","SWEDEN:
Agricultural
Sector Development
Support Programme
(ASDSP) II",-,"1,733,647.00",-,-,-,-,47,0
"World Bank
Emergency Locusts
Project","World Bank
Emergency Locusts
Project",-,"126,616,043.61",-,-,-,-,47,0
