Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",166,0
Office of the Governor and Deputy Governor,,,,,,,,166,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","161,558,629.00",-,"95,494,374.00",-,59.1,-,166,0
"Coordination Devolu-
tion Service",County Executive,"23,880,000.00",-,"8,405,185.00",-,35.2,-,166,0
,"Intergovernmental
Relation","18,788,000.00",-,"8,785,408.00",-,46.7,-,166,0
,County Advisory,"10,210,000.00",-,"2,450,994.00",-,24,-,166,0
,Special Programs,"11,776,000.00",-,"4,130,400.00",-,35.1,-,166,0
,Sub Total,"226,212,629.00",-,"119,266,361.00",-,52.7,-,166,0
County Public Service Board,,,,,,,,166,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","116,966,917.00",-,"70,839,688.00",-,60.6,-,166,0
,Sub-Total,"116,966,917.00",-,"70,839,688.00",-,60.6,-,166,0
Department of Medical Service and Public Health,,,,,,,,166,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","2,008,820,505.00","10,000,000.00","1,249,277,622.00",-,62.2,-,166,0
"Curative and Rehabil-
itative",Hospital Service,"7,264,200.00","315,702,516.00","3,361,011.00","15,000,000.00",46.3,4.8,166,0
,"Health Products and
Technologies","270,872,533.00",-,"170,313,370.00",-,62.9,-,166,0
,Emergency Responses,"6,529,000.00",-,"4,394,500.00",-,67.3,-,166,0
"Public Health and
Sanitation",Reproductive Maternal,"32,617,507.00",-,"22,729,300.00",-,69.7,-,166,0
,"Communicable and
non-communicable
disease","4,990,642.00",-,"3,030,501.00",-,60.7,-,166,0
,Primary Health Care,"22,386,689.00","107,220,082.00","19,017,745.00",-,85,-,166,0
,"Disease Surveillance
and Response","3,869,815.00",-,"1,970,810.00",-,50.9,-,166,0
,Environmental Health,"14,251,840.00","4,500,000.00","5,610,298.00",-,39.4,-,166,0
,Sub Total,"2,371,602,731.00","437,422,598.00","1,479,705,157.00","15,000,000.00",62.4,3.4,166,0
"Department of Water, Irrigation, Environment and Natural Resource",,,,,,,,166,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","106,014,390.00",-,"70,485,302.00",-,66.5,-,166,0
Water Service,Water Service,"34,820,000.00","150,700,000.00","15,767,838.00",-,45.3,-,166,0
,"Storm Water Manage-
ment","7,236,148.00",-,"574,568.00",-,7.9,-,166,0
,Sanitation Service,"4,820,000.00",-,"832,464.00",-,17.3,-,166,0
"Environment and Natu-
ral Resources",Environmental,"30,685,867.00",-,"14,734,577.00",-,48,-,166,0
,Natural Resources,"2,121,984.00",-,"769,000.00",-,36.2,-,166,0
,Climate Change,"5,600,000.00","169,558,300.00","224,000.00",-,4,-,166,0
,Sub Total,"191,298,389.00","320,258,300.00","103,387,749.00",-,54,-,166,0
"Department of Roads, Transport, Public Works and Energy",,,,,,,,166,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","123,805,838.00",-,"92,544,547.00",-,74.7,-,166,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",167,0
"Public Works and
Infrastructure",Roads,"10,500,000.00","168,500,000.00","3,540,865.00",-,33.7,-,167,0
,Energy,"9,982,500.00","12,000,000.00","7,461,324.00",-,74.7,-,167,0
,Fire Fighter,"5,900,000.00",-,"2,114,172.00",,35.8,-,167,0
,Transport,"14,348,000.00",-,"8,998,185.00",-,62.7,-,167,0
,Public Works,"7,814,183.00",-,"2,802,700.00",-,35.9,-,167,0
,Sub Total,"172,350,521.00","180,500,000.00","117,461,793.00",-,68.2,-,167,0
"Department of Public Service, Administration and Citizen Participation",,,,,,,,167,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","504,618,020.00",-,"350,949,470.00",-,69.5,-,167,0
"Public Service and
Administration",County Administration,"12,434,557.00",-,"1,829,150.00",-,14.7,-,167,0
,County Inspectorate,"6,515,500.00",-,"2,012,300.00",-,30.9,-,167,0
"Human Resource
Management and
Development",Human Resource,"253,149,400.00",-,"99,656,267.00",-,39.4,-,167,0
Citizen Participation,Citizen Participation,"13,172,624.00",-,"2,633,400.00",-,20,-,167,0
,Social Protection,"13,000,000.00",-,"2,497,600.00",-,19.2,-,167,0
,"Disability Mainstream-
ing","3,500,500.00",-,"3,150,000.00",-,90,-,167,0
,"Control of Alcohol and
Substance Abuse","12,506,000.00",-,"52,000.00",-,0.4,-,167,0
,County Organization,"3,000,000.00",-,"981,100.00",-,32.7,-,167,0
,Sub Total,"821,896,601.00",-,"463,761,287.00",-,56.4,-,167,0
Department of County Treasury,,,,,,,,167,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","548,170,019.00","1,395,961,075.00","276,535,912.00","806,258,953.00",50.4,57.8,167,0
,"Information, Communi-
cation and Technologies","22,010,000.00","5,000,000.00","16,929,402.00",-,76.9,-,167,0
"Public Finance Man-
agement","Budget Coordination
and Management","11,500,000.00",-,"6,159,532.00",-,53.6,-,167,0
,Accounting Service,"10,210,000.00",-,"5,632,784.00",-,55.2,-,167,0
,"Supply Chain Manage-
ment","28,490,000.00",-,"7,217,271.00",-,25.3,-,167,0
,Internal Audit,"7,600,000.00",-,"5,265,150.00",-,69.3,-,167,0
,"Revenue Collection/
Resource Mobilization","13,433,094.00","30,000,000.00","9,626,397.00",-,71.7,-,167,0
"Economy Policy Coor-
dination",Economic Planning,"8,300,000.00",-,"4,726,250.00",-,56.9,-,167,0
,"Monitoring and Eval-
uation","8,321,000.00",-,"5,858,400.00",-,70.4,-,167,0
,Sub Total,"658,034,113","1,430,961,075","337,951,098.00","806,258,953",51.4,56.3,167,0
"Department of Lands, Physical Planning and Urban Development",,,,,,,,167,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","96,317,286.00",-,"65,259,729.00",-,67.8,-,167,0
"Land Policy and
Planning",Physical Planning,"9,484,700.00",-,"6,089,600.00",-,64.2,-,167,0
,"Lands Survey and
Mapping","5,570,000.00",-,"2,792,063.00",-,50.1,-,167,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",168,0
,Lands Administration,"6,170,000.00",-,"3,044,480.00",-,49.3,-,168,0
"Urban Development and
Management",Urban Development,"17,776,900.00",-,"4,930,769.00",-,27.7,-,168,0
,Housing,"6,150,000.00",-,"2,285,451.00",-,37.2,-,168,0
,Sub Total,"141,468,886",-,"84,402,092",-,59.7,-,168,0
County Assembly,,,,,,,,168,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","505,518,310.00","233,000,000.00","273,575,114.00",-,54.1,-,168,0
"Legislation, Representa-
tion and Oversight","Legislation, Representa-
tion and Oversight","361,347,408.00",-,"267,116,817.00","21,379,202.00",73.9,-,168,0
,Sub Total,"866,865,718","233,000,000","540,691,931","21,379,202",62.4,9.2,168,0
"Department of Education, Youth and Sport",,,,,,,,168,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","506,365,886.00",-,"440,212,245.00",-,86.9,-,168,0
"Early Childhood Devel-
opment",Early Childhood,"214,150,000.00","131,000,000.00","5,397,512.00",-,2.5,-,168,0
"Technical and Voca-
tional","Technical and Vocation-
al Training","4,520,880.00","10,000,000.00","1,060,500.00",-,23.5,-,168,0
Youth and Sports,"Sport Training and
Competition","12,764,150.00",-,"4,155,375.00",-,32.6,-,168,0
,Sub Total,"737,800,916","141,000,000","450,825,632",-,61.1,-,168,0
"Department of Gender, Cooperative, Culture, Tourism and Wildlife",,,,,,,,168,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","108,370,915.00",-,"58,138,701.00",-,53.6,-,168,0
Gender Mainstreaming,Gender Mainstreaming,"22,345,284.00",-,"7,832,400.00",-,35.1,-,168,0
Arts and Culture,Cultural Heritage,"10,421,373.00",-,"5,649,165.00",-,54.2,-,168,0
,Cultural Activities,"15,049,365.00",-,"5,759,900.00",,38.3,,168,0
"Local Tourism and
Wildlife","Local Tourism Pro-
motion and Wildlife
Management","4,259,150.00",-,"1,008,000.00",-,23.7,-,168,0
"Cooperative Devel-
opment","Cooperative Develop-
ment","21,115,436.00",-,"8,399,689.00",-,39.8,-,168,0
,Sub Total,"181,561,523",-,"86,787,855",-,47.8,-,168,0
"Department of Agriculture, Livestock, Veterinary Service and Fisheries",,,,,,,,168,0
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support
Service","185,460,479.00",-,"116,193,809.00",-,62.7,-,168,0
Crop Production,Crop Development,"6,968,118.00","386,941,296.00","622,300.00",,8.9,,168,0
,"Agricultural Mechaniza-
tion Services","7,354,234.00",-,"2,051,570.00",-,28,-,168,0
,"Agricultural Training
Centre","2,173,607.00",-,"83,800.00",-,3.9,-,168,0
