Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Physical planning
services","Administration and
personnel services","85,463,643","208,563,046","53,492,501","45,078,988",62.6,21.6,494,0
"Housing Development
and Human Settlement","Government
Building","5,197,057",-,"1,831,862",-,35.2,-,494,0
Land Policy and Planning,"Land Policy Formu-
lation","4,817,943",-,"1,753,447",-,36.4,-,494,0
,,"95,478,643","208,563,046","57,077,810","45,078,988",59.8,21.6,494,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",495,0
Health Services,,,,,,,,495,0
"Administration, Planning
and General Support
Services","Administration,
Planning and Gener-
al Support Services","2,398,715,893","475,230,196","1,892,305,529","120,062,505",78.9,25.3,495,0
Health Services,Health Services,"30,354,638",-,-,-,-,-,495,0
,Community Health,"3,489,200",-,"2,718,143",-,77.9,-,495,0
,,"2,432,559,731","475,230,196","1,895,023,672","120,062,505",77.9,25.3,495,0
"Gender, Youth, Social Services and Sports",,,,,,,,495,0
"General Administration
and Planning services","Administration and
personnel services","75,842,305",-,"51,118,628",-,67.4,-,495,0
"Library Services and
Disaster Management","Administration and
planning services","17,895,000","90,608,960","6,546,872","10,856,571",36.6,12.0,495,0
"Social Development and
Protection","County Children’s
Home Management","3,072,000",-,"1,850,092",-,60.2,-,495,0
"Sports and Talents Devel-
opment","Recreation and
Sporting Services",-,"27,752,011",-,"5,629,069",-,20.3,495,0
,"Search and nurture
talents","7,387,588",-,"2,753,772",,37.3,-,495,0
,,"104,196,893","118,360,971","62,269,364","16,485,640",59.8,13.9,495,0
County Public Service and Solid Waste Management,,,,,,,,495,0
"Human resources Man-
agement","Administration
Planning and Sup-
port Services","395,995,102","17,194,150","278,480,202","1,085,331",70.3,6.3,495,0
Sanitation management,"Administrative
Support Services",-,"35,500,000",-,"14,756,790",0.0,41.6,495,0
,"Environment Con-
servation, Protection
and Management","8,448,828",-,"4,054,362",-,48.0,-,495,0
,,"404,443,930","52,694,150","282,534,564","15,842,121",69.9,30.1,495,0
"Agriculture, Livestock and Aquaculture Development",,,,,,,,495,0
Agricultural Management,"Administration and
planning services","232,258,315","69,193,231","159,312,594","20,098,445",68.6,29.0,495,0
"County Extension
Services and Aquaculture
Development","Administrative
Support Services","3,748,860","47,375,111","2,233,842","6,119,600",59.6,12.9,495,0
"Coffee Improvement
Program","Coffee Improvement
Program",-,"255,000,000",-,350,-,-,495,0
Crop Management,"County Agriculture
Extension Program","1,903,003","28,999,500","787,999","1,800,000",41.4,6.2,495,0
AMS Naromoru,"Development Of
Agricultural Land
for Crop Production","1,226,000","2,000,000","1,226,000","999,845",100.0,50.0,495,0
Wambugu ATC,Farm Development,"5,300,000",-,"5,300,000",-,100.0,-,495,0
"Livestock Production
Management","Provision of Ex-
tension Services to
Livestock farmers","1,645,500","100,582,920","696,680","3,208,000",42.3,3.2,495,0
,,"246,081,678","503,150,762","169,557,115","32,226,240",68.9,6.4,495,0
"Trade, Culture, Tourism and Cooperative Development Agriculture, Livestock and Aquaculture Development",,,,,,,,495,0
Co-operatives,"Cooperative
Development and
Management","5,769,585","26,000,000","4,440,879","2,448,100",77.0,9.4,495,0
Tourism Development,"Promotion of
Tourism","7,032,000","14,095,113","1,781,500","4,981,622",25.3,35.3,495,0
Trade Development,Trade Promotion,"66,689,930","269,372,757","48,617,540","5,779,532",72.9,2.1,495,0
,,"79,491,515","309,467,870","54,839,919","13,209,254",69.0,4.3,495,0
Education and Training,,,,,,,,495,0
"General administration
and policy Development
and implementation","Administrative
Support Services","499,993,691","78,747,036","404,838,328","3,806,912",81.0,4.8,495,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",496,0
ECDE Management,ECDE Management,"3,692,496",-,"1,638,893",-,44.4,-,496,0
"Youth Training and
Development","Youth Training and
Development",-,"29,913,878",-,"3,367,099",-,11.3,496,0
,,"503,686,187","108,660,914","406,477,221","7,174,011",80.7,6.6,496,0
"Water, Environment and Climate Change",,,,,,,,496,0
Water Management,"Administrative
Support Services","78,744,685",-,"42,406,659",-,53.9,0.0,496,0
"Environment and Climate
Change","Environment Con-
servation, Protection
and Management","6,914,910","233,092,760","3,342,613","27,377,841",48.3,11.7,496,0
Water Management,Water Services,-,"115,298,008",-,"36,589,511",-,31.7,496,0
,,"85,659,595","348,390,768","45,749,272","63,967,352",53.4,18.4,496,0
County Assembly,,,,,,,,496,0
"General administration,
Policy Development and
implementation","Administration and
planning services","805,714,253","50,000,000","628,509,870",-,78.0,-,496,0
,,"805,714,253","50,000,000","628,509,870",-,78.0,-,496,0
County Public Service Board,,,,,,,,496,0
"General administration,
Policy Development and
implementation","Administration and
personnel services","46,477,641","6,000,000","31,867,741",-,68.6,-,496,0
,,"46,477,641","6,000,000","31,867,741",-,68.6,-,496,0
"Transport, Public Works, Infrastructure and Energy",,,,,,,,496,0
"General Administration
and Planning services","Administration,
planning and sup-
port services","76,606,907",-,"43,567,514",-,56.9,-,496,0
"Roads development,
maintenance and man-
agement","County access
and feeder road
improvement",-,"283,826,271",-,"34,618,784",-,12.2,496,0
"Energy Sector Devel-
opment",Street Lighting,-,"280,448,245",-,"66,975,436",-,23.9,496,0
"Energy Sector Devel-
opment","Street lighting
programme","11,669,200",-,"5,960,319",-,51.1,-,496,0
,,"88,276,107","564,274,516","49,527,833","101,594,220",56.1,18.0,496,0
Office of the County Attorney,,,,,,,,496,0
"General Administration
and Planning services","Management of
county affairs","66,694,884",-,"56,143,512",-,84.2,-,496,0
,,"66,694,884",-,"56,143,512",-,84.2,-,496,0
Grand Total,,"6,185,377,087","2,878,705,968","4,401,824,597","418,560,604",71.2,14.5,496,0
