Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",406,0
"Governorship, County Co-ordination and Administration",,,,,,,,406,0
"Monitoring
and Evalu-
ation","101024010 Project
Co-ordination and
Monitoring","3,450,000",-,"1,122,800",-,32.5,-,406,0
"County Co-or-
dination","705024010 Office
Administration and
Support Services","137,325,677",-,"43,654,166",-,31.8,-,406,0
"Public and
Citizen Partic-
ipation","705034010 Public
Participation","6,246,000",-,"1,885,794",-,30.2,-,406,0
"Adminis-
tration and
Support","706014010 County
Executive and Co-or-
dination","175,044,209",-,"132,090,465",-,75.5,-,406,0
"Audit and
Monitoring","718014010 Audit and
Other Monitoring","5,370,000",-,"1,634,216",-,30.4,-,406,0
"Disaster
Program","902044010 Disaster
Response and Miti-
gation","10,421,000",-,"5,086,446",-,48.8,-,406,0
"Communi-
cation and
Information
Services","203014010 Commu-
nication","20,500,000",-,"8,666,155",-,42.3,-,406,0
Sub Total,,"358,356,886",-,"194,140,041",-,54.2,-,406,0
"Finance, Information Technology and Economic Planning",,,,,,,,406,0
"Revenue
Program","108014010 Local Rev-
enue Mobilisation","17,430,000",-,"8,133,900",-,46.7,-,406,0
ICT Program,"703014010 Automation
and Revenue System","500,000",-,-,-,-,-,406,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",407,0
"Financial
Management
Program","703024010 Budget For-
mulation Co-ordination
and Management",-,-,-,-,-,-,407,0
,"703034010 Economic
Planning and CIDP
Review","27,571,184",-,"4,494,937",-,16.3,-,407,0
,"718024010 Corporate
Governance","2,890,000",-,"1,055,972",-,36.5,-,407,0
,"705014010 Budget
Implementation and
Monitoring","6,060,000",-,"1,461,090",-,24.1,-,407,0
,"705034010 Public
Participation","34,180,000",-,"13,686,430",-,40.0,-,407,0
,"730014010 Budget
Implementation and
Monitoring","2,320,000",-,"1,401,250",-,60.4,-,407,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","257,717,923","23,000,000","161,365,420",-,62.6,-,407,0
Sub Total,,"348,669,107","23,000,000","191,598,999",-,55.0,-,407,0
"Agriculture, Livestock and Fisheries",,,,,,,,407,0
Food Security,"101014010 Land and
Crops Development","2,970,000",-,"1,365,255",-,46.0,-,407,0
,"101024010 Promotion
Food Security","3,850,000","849,537,917","729,000","100,000,000",18.9,11.8,407,0
,"101124010 Capacity
Development, Mecha-
nization and Innovation","3,850,000",-,"973,000",-,25.3,-,407,0
"Livestock
Development
Program","103084010 Veterinary
Services","5,220,000",-,"1,412,800",-,27.1,-,407,0
,"107024010 Livestock
and Fisheries Devel-
opment","1,705,000",-,"239,400",-,14.0,-,407,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","231,320,350","86,618,400","175,911,608",-,76.0,-,407,0
Sub Total,,"248,915,350","936,156,317","180,631,064","100,000,000",72.6,10.7,407,0
Energy Transport and Roads,,,,,,,,407,0
"Urban
Development
Program","102074010 Urban
Development and
Support","3,650,900","190,000,000","1,077,400","64,517,748",29.5,34.0,407,0
"Energy
Development
Program","103094010 Promotion
of Energy & Renew-
able Energy Sources","1,100,000","15,000,000","297,000",-,27.0,-,407,0
"Infrastructure
Development
Program","201014010 Construc-
tion of Roads and
Bridges","24,209,487",-,"11,094,594",-,45.8,-,407,0
,"202064010 Infrastruc-
ture Development",-,"488,000,000",-,"34,034,082",-,7.0,407,0
Sub Total,,"28,960,387","693,000,000","12,468,994","98,551,830",43.1,14.2,407,0
"Commerce, Trade, Industry and Tourism",,,,,,,,407,0
"Agro Mar-
keting","102054010 Cooper-
atives","5,610,000","22,500,000","2,667,296","20,000,000",47.5,88.9,407,0
"Tourism
Program","110014010 Tourism
Development","2,560,000",-,"209,500",-,8.2,-,407,0
,"301014010 Tourism
Promotion and Mar-
keting",-,-,,-,0.0,-,407,0
"Trade
Development
Program","111014010 Trade &
Enterprise Develop-
ment","13,150,000","243,800,000","3,301,379","34,448,879",25.1,14.1,407,0
,"302014010 Domestic
Trade Development","45,712,894",-,"19,010,321",-,41.6,-,407,0
,"302024010 Fair
Trade and Consumer
Protection","1,520,000",-,"323,700",-,21.3,-,407,0
,"502034010 Industry
Development Program","1,500,000",-,"24,621",-,1.6,-,407,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",408,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","18,980,706",-,"3,293,883",-,17.4,-,408,0
Sub Total,,"89,033,600","266,300,000","28,830,699","54,448,879",32.4,20.4,408,0
Education & Technical Training,,,,,,,,408,0
"Ecde Pro-
gramme","501034010 Early
Childhood Develop-
ment Education",-,"15,000,000",-,"5,681,274",-,37.9,408,0
,"509014010 Early Child
Development and
Education","159,562,000",-,"102,010,280",-,63.9,-,408,0
"Polytechnics
Program","507014010 Revit-
alisation of Youth
Polytechnics","7,500,000","8,000,000","1,199,680",-,16.0,-,408,0
"Education
Intervention
Program","501054010 Motivation
of Primary and Second-
ary School",-,-,-,-,-,-,408,0
,"509024010 Motivation
of Primary and Second-
ary Schools","266,100,000",-,"212,931,235",-,80.0,-,408,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","352,586,214",-,"277,308,208",-,78.6,-,408,0
