Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",Rec Exp,Dev Exp,394,0
THE EXECUTIVE,,,,,,,,394,0
Programme 1,"Governor’s and Deputy
Governor’s Affairs","78,000,000","11,000,000","23,493,240",-,30.1,-,394,0
,"Protocol, Hospitality and
Communication","26,000,000","14,000,000","2,803,300",-,10.8,-,394,0
,"County Secretary & Cabinet
Affairs","26,000,000",-,"1,884,850",-,7.2,-,394,0
,"Governor’s Advisory
Council, Special Programs,
Intergovernmental and
External Relations","24,500,000",-,-,-,-,-,394,0
,"Governor’s Delivery Unit,
Policy, Planning & Research","19,500,000",-,"2,390,880",-,12.3,-,394,0
,Sub Total,"174,000,000","25,000,000","30,572,270",-,17.6,-,394,0
COUNTY ASSEMBLY,,,,,,,,394,0
Programme 2,"General Administration and
Planning","674,720,738",-,"624,511,404",-,92.6,-,394,0
,"Legislation, Oversight and
Representation","239,379,262","50,000,000",-,-,-,-,394,0
,Sub-Total,"914,100,000","50,000,000","624,511,404",-,68.3,-,394,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,394,0
Programme 3,Administration Unit,"131,400,000","20,000,000","45,490,328",-,34.6,-,394,0
,Sub-Total,"131,400,000","20,000,000","45,490,328",-,34.6,-,394,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,394,0
Programme 4,Administration Unit,"1,068,186,927","703,000,000","615,687,913","105,493,245",57.6,15.0,394,0
,"Financial Management
Services-Accounting Unit","23,601,372","11,000,000","15,967,576",-,67.7,-,394,0
,"Planning and Monitoring
Unit","29,711,701","2,000,000","22,633,741",-,76.2,-,394,0
,Sub-Total,"1,121,500,000","716,000,000","654,289,229","105,493,245",58.3,14.7,394,0
ENVIRONMENT & SOLID WASTE MANAGEMENT,,,,,,,,394,0
Programme 5,"Administration, Planning
and Support Services","462,632,991","43,333,334","226,072,117","14,970,395",48.9,34.5,394,0
,"Environment Compliance
and Enforcement","79,855,670","46,333,333","26,377,514","20,341,489",33.0,43.9,394,0
,Solid Waste Management,"80,511,339","74,333,333","33,893,890","9,414,868",42.1,12.7,394,0
,Sub-Total,"623,000,000","164,000,000","286,343,521","44,726,753",46.0,27.3,394,0
Education & Digital Transformation,,,,,,,,394,0
Programme 6,"General Administration,
Planning and Support
Services","309,766,000","23,000,000","168,771,014","6,438,254",54.5,28.0,394,0
,Early Childhood Education,"18,500,000","101,000,000","70,500","24,491,550",0.4,24.2,394,0
,"Vocational Training &
Education","17,500,000","5,000,000","118,850","2,235,177",0.7,44.7,394,0
,Child Care,"2,500,000",-,"722,328",-,28.9,-,394,0
,Elimu Fund,"583,000,000",-,"350,548,534","48,375,000",60.1,-,394,0
,Digital Transformation,"52,734,000","37,000,000","1,895,478",-,3.6,-,394,0
,Sub-Total,"984,000,000","166,000,000","522,126,704","81,539,981",53.1,49.1,394,0
HEALTH SERVICES,,,,,,,,394,0
Programme 7,Administration Unit,"1,719,690,329","212,285,497","1,916,969,917","38,315,628",111.5,18.0,394,0
,"Preventive and Promotive
Health services","69,402,768","5,790,000","3,726,171","801,552",5.4,13.8,394,0
,"Curative/Clinical Health
Services","118,729,822","1,364,729,648","29,288,713","893,894",24.7,0.1,394,0
,,,,,,,370,394,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",Rec Exp,Dev Exp,395,0
,Special Programs,"36,150,937","1,221,000",-,-,-,-,395,0
,Sub-Total,"1,943,973,855","1,584,026,145","1,949,984,801","40,011,074",100.3,2.5,395,0
"WATER, NATURAL RESOURCES & CLIMATE CHANGE RESILIENCE",,,,,,,,395,0
Programme 8,Administration unit,"70,906,170","1,000,000,000","19,225,378","10,000,000",27.1,1.0,395,0
,"Natural Resources Man-
agement","8,543,830","22,500,000",-,-,-,-,395,0
,"Sanitation Services and
Management","3,050,000","10,000,000",-,-,-,-,395,0
,"Water Supply and Man-
agement","7,100,000","15,000,000",-,-,-,-,395,0
,Renewable Energy,"6,500,000","2,000,000",-,-,-,-,395,0
,Climate Resilience,"17,900,000","33,500,000",-,-,-,-,395,0
,Sub-Total,"114,000,000","1,083,000,000","19,225,378","10,000,000",16.9,0.9,395,0
"PUBLIC SERVICE ADMINISTRATION, YOUTH, GENDER, SOCIAL SERVICES & SPORTS",,,,,,,,395,0
Programme 9,"Administration planning and
support services","940,872,839","11,000,000","1,437,588,710",-,152.8,-,395,0
,"Human Resource Manage-
ment & Development","219,434,994",-,"155,072,834",-,70.7,-,395,0
,"County Administration &
Decentralized Services","19,853,424","105,000,000","574,781",-,2.9,-,395,0
,"Enforcement, Compliance
& Disaster Management","21,588,743","19,000,000","4,081,162",-,18.9,-,395,0
,"Youth Affairs & Sports
Development","121,000,000","70,000,000","2,377,917",-,2.0,-,395,0
,"Gender, PWD Integration &
Social Services","34,250,000","20,000,000","7,909,172",-,23.1,-,395,0
