Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Office of the Governor,,,,,,,,215,0
"Administration, Planning
s
and Support Service",Administrative services,"295,076,269.00",-,"179,105,768.00",-,60.70,-,215,0
Governance and national values,,"107,657,070.00",-,"94,561,194.00",-,87.84,-,215,0
Sub-Total,,"402,733,339.00",-,"273,666,962.00",-,-,-,215,0
Department of Water Sanitation and Natural Resources,,,,,,,,215,0
"Administration, planning
and support services","Administration, planning and
support services","91,873,938.00",-,"37,072,316.00",-,0.40,-,215,0
Sub Total,,"91,873,938.00",-,"37,072,316.00",-,-,-,215,0
"Natural resources conser-
vation and management","Natural resources conserva-
tion and management",-,"6,000,000.00",-,-,-,-,215,0
"Environment Management
and Protection","Environment Management
and Protection",-,"500,000.00",-,-,-,-,215,0
Solid waste Management,Solid waste Management,-,"12,500,000.00",-,-,-,-,215,0
Sub-Total,,-,"19,000,000.00",-,-,-,-,215,0
Department: County Division of Early Childhood Education & Vocational Training.,,,,,,,,215,0
"Administration, Planning
and Support Services","Administration, Planning and
Support Services","43,848,880.00","17,000,000.00","25,917,800.50",-,0.59,-,215,0
Sub Total,,"43,848,880.00","17,000,000.00","25,917,800.50",-,0.59,-,215,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","De-
velop-
ment
Ex-
pen-
diture",216,0
"Free Pre-Primary Edu-
cation",Early Childhood Education,"7,908,194.00","362,538,520.00","4,454,053.60","170,288,361.25",0.56,0.47,216,0
Ward Scholarship Administration,,"500,000,000.00",-,"235,000,000.00",-,0.47,-,216,0
Vocational Education and Training,,"3,900,000.00","52,271,812.00","2,367,500.00","4,219,610.25",0.61,0.08,216,0
Sub-Total,,"511,808,194.00","414,810,332.00","241,821,553.60","174,507,971.50",0.47,0.42,216,0
Grand Total,,"555,657,074.00","431,810,332.00","267,739,354.10","174,507,971.50",0.48,0.40,216,0
County Division for Economic Planning,,,,,,,,216,0
"P.1: Administration, Plan-
ning and Support Services",25623615,-,"17,715,153.60",-,0.69,-,-,216,0
"2.0 Economic Planning
and Statistical Services",50582999,-,"35,782,917.36",-,0.71,-,-,216,0
"SP 3: Public Investment
Management",2992400,-,"4,137,717.24",-,1.38,-,-,216,0
Grand Total,79199014,-,"57,635,788.20",-,0.73,-,-,216,0
Department: County Public Service Board,,,,,,,,216,0
"Programme 1: General
Administration, Planning
and Support Services","Administration, Planning and
Support Services","36,291,577.00",-,"13,507,336.35",-,37.21,-,216,0
Recruitment and Selection,,"8,910,400.00",-,"2,267,000.00",-,25.44,-,216,0
Grand Total,,"45,201,977.00",-,"15,774,336.35",-,62.66,-,216,0
County Attorney,,,,,,,,216,0
"Administration planning
and support services","Administration Planning and
Support Services","120,742,164.00",-,"25,490,613.65",-,0.211,-,216,0
"legal advisory and legisla-
tive drafting","Legal Advisory and Legisla-
tive Drafting","15,796,702.00","24,000,000.00",-,-,-,-,216,0
Sub-Total,,"136,538,866.00","24,000,000.00","25,490,613.65",-,-,-,216,0
Grand Total,,"273,077,732.00","24,000,000.00","25,490,613.65",-,-,-,216,0
Blue Economy,,,,,,,,216,0
Programme 1,Sub-programme,"11,947,500.00",-,-,-,-,-,216,0
Sub Total,,"11,947,500.00",-,-,-,-,-,216,0
Programme 2,Sub-programme,"15,286,377.00","183,293,248.00",-,-,-,-,216,0
Sub-Total,,"15,286,377.00","183,293,248.00",-,-,-,-,216,0
Grand Total,,"27,233,877.00","183,293,248.00",-,-,-,-,216,0
Agriculture Division,,,,,,,,216,0
Programme 1,Sub-programme,"21,347,891.00","661,997,741.00","22,815,726.00","130,079,570.00",0.68,0.21,216,0
Sub Total,,"21,347,891.00","661,997,741.00","22,815,726.00","130,079,570.00",-,-,216,0
Programme 2,Sub-programme,"44,860,000.00","120,938,572.00","32,698,683.00","103,085,845.00",0.67,0.83,216,0
Sub-Total,,"44,860,000.00","120,938,572.00","32,698,683.00","103,085,845.00",-,-,216,0
Programme 3,Sub-programme,"3,269,264.00","1,500,000.00","1,885,433.00",-,0.13,-,216,0
Sub-Total,,"3,269,264.00","1,500,000.00","1,885,433.00",-,-,-,216,0
Grand Total,,"69,477,155.00","784,436,313.00","57,399,842.00","233,165,415.00",-,-,216,0
Finance,,,,,,,,216,0
"S.P 1 Administration, Plan-
ning and Support Service",416528205,"30,117,647.00","269,788,897.51",-,0.65,-,-,216,0
"S.P 2.1. Budget Formu-
lation, Coordination and
Management",23815250,"23,000,000.00","28,571,159.15",-,1.20,-,-,216,0
S.P 2.2: Audit Services,14256533,"15,500,000.00","21,482,819.10",-,1.51,-,-,216,0
"S.P 2.3: Accounting
Services",13650000,"600,000.00","6,789,174.30",-,0.50,-,-,216,0
"S.P 2.4: Public Pro-
curement and Disposal
Services",14800000,"21,228,205.00","23,970,810.94",-,1.62,-,-,216,0
Grand Total,483049988,"90,445,852.00","350,602,861.00",-,0.73,-,-,216,0
