Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub- Total,-,"145,000,000",-,"44,752,112",-,30.9,181,0
Physical Planning,Valuation roll,-,"25,000,000",-,"20,010,000",-,80,181,0
,"Development of
county and urban
centres spatial plan",-,"50,000,000",,"42,090,639",,84.2,181,0
,"GIS Data and
images (km2)",-,"20,000,000",-,-,-,-,181,0
,"GIS Software
licence",-,"5,000,000",-,-,-,-,181,0
Survey,"Purchase and cal-
ibration of survey
equipment",-,"5,000,000",-,-,-,-,181,0
Housing,"Renovation and
fencing of public
rental houses",-,"15,000,000",-,"10,286,830",-,68.6,181,0
Kakamega Township,"Affordable housing
project",-,"8,000,000",-,,-,-,181,0
Kakamega Township,"Kakamega munic-
ipality",-,"50,000,000",-,"20,841,944",-,41.7,181,0
Project,"Kenya Informal
Settlement Im-
provement Project
(KISIP 2)",-,"141,964,627",-,-,-,-,181,0
Mumias Township,"Mumias munici-
pality",-,"50,000,000",-,"39,203,972",-,78.4,181,0
Grand Total,,-,"659,964,627",-,"221,937,609",-,33.6,181,0
