Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,68,0
"Agriculture, Livestock and Co-operative",,,,,,,,68,0
"Programme 1: General Administration, Planning and Support Services",,,,,,,,68,0
,"S.P 1.1 Administrative and Support
Services","28,278,650",,"26,212,855",,92.7,-,68,0
,"S.P 1.2 Human Resource Manage-
ment and Development.","333,213,299",,"162,153,461",,48.4,-,68,0
,"S.P 1.3: Policy, Legal and Regula-
tory Framework","847,440",,-,,-,-,68,0
,"S.P 1.4: Planning and Financial
Management","2,615,043",,-,,-,-,68,0
,S.P 1.5 Sector Coordination,"1,100,000",,,,-,-,68,0
,"S.P 1.7 Sub-County Administrative
Costs","1,400,000",,,,-,-,68,0
Programme 2: Land and Crop Development and Management,,,,,,,,68,0
,"S.P 2.1: Agricultural Extension and
Training Services",-,"5,000,000",,,-,-,68,0
,"S.P 2.2: Crop Production and
Productivity",-,"154,850,000",,"21,555,633",-,13.9,68,0
,"SP 2.8 Irrigation Infrastructure
Development and Agricultural
Water Storage",,"10,000,000",,"3,637,579",-,36.4,68,0
Programme 3: Livestock Development and Management,,,,,,,,68,0
,SP 3.4 Disease and Vector Control,-,"2,000,000",,,-,-,68,0
,"SP 3.5 Food Safety and Quality
Control","2,345,500","2,654,500",,"1,045,000",-,39.4,68,0
,SP 3.6 Leather Development,,,,,,,68,0
,"SP 3.7 Veterinary Extension
Services",,"3,600,000",,,-,-,68,0
,"SP 3.8 Breeding and AI Subsidy
Programme",,"2,000,000",,,-,-,68,0
Programme 4: Fisheries Development and Management,,,,,,,,68,0
,"SP 4.2 Fisheries Product Val-
ue-Chain Development",,"4,000,000",,,-,-,68,0
Programme 5: Cooperatives Development and Management,,,,,,,,68,0
,"SP 5.1 Cooperatives Extension
Service and Training (Co-operative
Governance (Training))","2,700,000",,,,-,-,68,0
,SP 5.2 Cooperatives Audit Services,"1,300,000",,,,-,-,68,0
,"SP 5.3 Production, Agro Process-
ing, Value Addition & Marketing
(Input and Infrastructural Support
to Cooperatives)",-,"4,982,125",,,-,-,68,0
,,,,,,,,68,0
Programme 6: Institutional Development and Management,,,,,,,,68,0
,"SP 6.2 Agricultural Enterprise
Development (ATC)",-,"3,560,000",,,-,-,68,0
,"SP 6.3 Infrastructural Development
(ATC)",,"10,000,000",,,-,-,68,0
,SP 6.5 Tractor Hire Services,"3,000,000",,,,-,-,68,0
,"SP 6.8 Operational Development
(CFF)",-,"10,300,000",,,-,-,68,0
,,Rec,Dev,Rec,Dev,Rec,Dev,69,0
,NARIGP,,"704,113,827",,,-,-,69,0
,ASDSP II,,"39,644,293",,,-,-,69,0
,Ward Based Projects,,"10,500,000",,,-,-,69,0
Sub Total,,"376,799,932","967,204,745","188,366,317","26,238,212",50.0,-,69,0
Health and Sanitation,,,,,,,,69,0
Programme 1: General Administration Planning and Support Services,,,,,,,,69,0
,"SP 1. 1 Health Administrative and
Support Services","126,916,175","40,673,929","25,373,340","20,148,908",20.0,49.5,69,0
,"SP 1. 2. Leadership and Gover-
nance.","34,500,000",,,,-,-,69,0
,SP 1. 3 Health Policy,"4,000,000",,,,-,-,69,0
,"SP 1. 6 Human Resource Man-
agement","2,778,861,658",,"1,543,737,985",,55.6,-,69,0
,"SP 1. 7 Infrastructural Develop-
ment",,"430,358,722",,"25,827,858",6.0,0.1,69,0
Programme 2: Preventive and Promotive,,,,,,,,69,0
,"SP 2.1 Communicable and
Non-Communicable Disease
Control","20,000,000",,,,-,-,69,0
,SP 2.2 Community Health Strategy,"5,600,000",,,,-,-,69,0
,SP 2.3 Health Promotion,"3,000,000",,,,-,-,69,0
,"SP 2.6 Reproductive, Maternal,
Newborn, Child, and Adolescent
Health.","15,000,000",,,,-,-,69,0
,SP 2.7 Public Health and Sanitation,"8,000,916","15,358,366",,,-,-,69,0
,Specialized Materials and Supplies,"501,885,740",,,,-,-,69,0
Programme 3: Curative Health Services,,,,,,,,69,0
,SP3. 1 Routine Medical Services.,"95,171,405",,,,-,-,69,0
,Grants; DANIDA/UNICEF,"41,777,772",,"28,015,305",,67.1,-,69,0
Sub Total,,"3,634,713,666","486,391,017","1,597,126,630","45,976,765",43.9,9.5,69,0
Roads & Public Works,,,,,,,,69,0
"Programme 1: General Administration, Planning, and Support Services",,,,,,,,69,0
,"SP1.1: Capacity Development and
Motivation","85,121,330","16,000,000","53,120,184","16,064,576",62.4,100.4,69,0
,SP1.3: Administration Services,"23,615,544",,"11,296,162",,47.8,-,69,0
,"SP1.4: Financial Services, Planning
and Stewardship","4,726,720",,,,-,-,69,0
Programme 2: Transport Infrastructure Development and Management,,,,,,,,69,0
,"SP2.1: Construction of Roads
Bridges and Drainage Works",-,"962,503,320",,"198,014,188",-,20.6,69,0
,SP2.2: Maintenance of Roads,-,"145,500,000",,"24,047,394",-,16.5,69,0
Programme 3 Building Standards and Quality Assurance,,,,,,,,69,0
,"SP3.1: Building Standards and
Research",-,"4,275,000",,,-,-,69,0
Sub Total,,"113,463,594","1,128,278,320","64,416,346","238,126,158",0.6,0.2,69,0
Education and Vocational Training,,,,,,,,69,0
Programme 1: General Administration Planning and Support Services,,,,,,,,69,0
,SP 1: Salaries and Allowances,"1,208,144,825",,"805,699,863",,66.7,-,69,0
,"SP3: Administration and Support
Services","18,551,478","18,000,000","8,429,451","8,393,843",45.4,46.6,69,0
Programme 2: Early Childhood Development Education,,,,,,,,69,0
,SP6: Infrastructure Development,,"5,000,000",,,-,-,69,0
,,Rec,Dev,Rec,Dev,Rec,Dev,70,0
Programme 3: Education Support Programme,,,,,,,,70,0
,"Sp1: Education Support and Bursa-
ry Scheme",,"205,000,000",,"39,112,875",-,19.1,70,0
,VTC Capitation,"462,080","64,482,000",,,-,-,70,0
