Programme,Sub Programme,Approved Estimates,col_3,Expenditure,col_5,"Absorption
Rate",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,434,0
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,434,0
"Programme 1;
Administration,
planning and support
services","SP 1.1: Administration planning and support
services","60,027,815","181,097,680","12,192,549",-,0.20,-,434,0
,SP 1.2: Human Resource,"369,379,098",-,"164,460,712",-,0.45,-,434,0
"Programme 2:
Livestock resource
management and
development","SP 2.1: Livestock production and manage-
ment",-,"2,000,000",-,-,-,-,434,0
,"SP 2.2: Promotion of value addition of live-
stock and livestock products",-,"177,615,800",-,"146,671,419",-,82.6,434,0
,SP 2.3: Livestock extension service delivery,"8,300,000",-,"894,240",-,0.11,-,434,0
,"SP 2.4: Food safety and livestock products
development","15,846,049",-,-,-,--,-,434,0
,"SP 2.5: livestock diseases management and
control","17,235,366",-,-,-,-,-,434,0
"Programme 3; Fish-
eries development",SP 3.1: Aquaculture development,-,-,-,-,-,-,434,0
,"SP 3.2: development of capture fisheries
resources","2,000,000",-,126.730,-,-,-,434,0
,"SP 3.3 Fish quality assurance value addition
and marketing",-,-,-,-,-,-,434,0
"Programme 4; Crop
development and
management","SP 4.1 Agriculture extension research and
training",-,"3,000,000",-,-,-,-,434,0
,SP 4.2 crop production and food security,"4,250,000","876,638,259",-,-,-,-,434,0
,"SP 4.3 farmland utilization, conservation and
mechanization",-,-,-,-,-,-,434,0
,"SP 4.4 Agribusiness development and
marketing","2,026,226","1,000,000","618,020","1,000,000",0.31,100,434,0
,SP 4.5 Agri-Nutrition,-,-,-,-,-,-,434,0
,Sub Total,"479,064,564","1,241,351,739","178,292,251","156,671,419",0.37,12.6,434,0
NAIVASHA MUNICIPALITY,,,,,,,,434,0
"Programme 1;
Administration and
planning and support
services",SP 1.1 Administration and Planning,"19,924,400",-,"3,827,396.15",-,19,-,434,0
,SP 1.2; personnel services,"11,042,628",-,"6,071,133.33",-,55,-,434,0
,SP 1.3 financial services,-,-,-,-,-,-,434,0
"Programme 2;
Naivasha municipal
services",SP 2.1 planning and infrastructure,-,"142,670,841",-,"108,096,786.63",-,75.8,434,0
,"SP 2.2 environmental management and
sanitation",-,-,-,-,-,-,434,0
,SP 2.3 Naivasha Social Services,"1,000,000",-,-,-,-,-,434,0
,SP 2.4 tourism investment and trade,"1,000,000",-,-,-,-,-,434,0
,Sub-Total,"32,967,028","142,670,841","4,152,766","100,812,392",13,73.3,434,0
"PUBLIC SERVICE, DEVOLUTION, CITIZEN ENGAGEMENT, DISASTER MANAGEMENT &HUMANITARIAN ASSISTANCE",,,,,,,,434,0
"Programme 1:
Administration,
planning and support
service",Sub-programme 1.1(Administration service),"51,535,552",-,"17,718,998",-,34.4,-,434,0
,Sub-programme 1.2(Personal Service),"575,013,298",-,"414,039,375",-,72.0,-,434,0
,Sub-programme 1.3(Financial Service),-,-,-,-,-,-,434,0
,"Sub-programme 1.4(Mainstream Workplace
HIV/AIDS, Alcohol & Drug Abuse Control)","990,000",-,-,-,-,-,434,0
,"Sub-programme 1.5(Rehabilitation/Construc-
tion of Sub County Offices)",-,"39,352,925",-,"2,941,084",-,7.5,434,0
"Programme 2;
human resource
management and
development",SP 2.1; performance contracting,"9,855,040",-,-,-,-,-,434,0
,SP 2.2 PERFORMANCE Appraisal system,"9,855,040",-,-,-,-,-,434,0
,"SP 2.3 Staff development through capacity
building and training","3,350,000",-,-,-,-,-,434,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,435,0
"Programme 3; civil
education & public
participation
Programme 4: Di-
saster management
and humanitarian
assistance","SP 3.1 co-ordination of public and special
community programme","530,000",-,-,-,-,-,435,0
,"SP 4.1disaster management and humanitarian
assistance","15,374,119",-,-,-,-,-,435,0
,Subtotals,"666,503,049","39,352,925","431,758,373","2,941,084",64.8,7.5,435,0
"DEPARTMENT OF EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,,,435,0
"Programme 1:
Administration,
planning and support
service",SP 1.1 administration and support service,"31,060,217","530,237,974","7,190,696","71,152,428",23.2,0.13,435,0
,SP 1.2 Personnel service,"533,139,735",-,"341,642,629",-,64.1,-,435,0
,SP 1.3 financial services,-,-,-,-,-,-,435,0
"Programme 2:
Promotion of early
childhood education
and development",SP 2.1 Promotion of Early Childhood,"92,375,165",-,"709,000",-,0.8,-,435,0
,SP 2.2 Bursaries,"387,510,069",-,"239,860,644",-,62,-,435,0
,SP 2.3Education development,-,"16,500,000","4,044,700",-,4.38,-,435,0
"Programme 3: Voca-
tional training",SP 3.1 Vocational training,-,"67,899,955","29,964,392",-,40.42,-,435,0
,SP 3.2 Skill Upgrading,"74,128,501",-,-,"54,287,415",-,80.0,435,0
"Programme 4
Information and
communication","SP 4.1 Public communication and media
services","8,000,016",-,"1,349,800",-,16.87,-,435,0
"Programme 5
ICT Infrastructure
Development and e-
government Services",SP 5.1 Network Infrastructure,"22,325,303","2,800,000","1,043,100",-,0.47,-,435,0
,5.2 Hardware and software platforms,-,"3,000,000",-,-,-,-,435,0
,5.3 E-government services,-,-,-,-,-,-,435,0
,Sub-Total,"148,539,006","620,437,969","634,887,768","125,439,843",55.3,20.2,435,0
COUNTY TREASURY,,,,,,,,435,0
"Programme 1;
Administration,
planning and support
services",SP 1.1 Administration services,"707,967,807","419,879,178","453,396,985","142,214,910",64.0,33.9,435,0
,SP 1.2 Personnel services,"542,845,778",-,"385,963,374",-,71.1,-,435,0
,SP 1.3 financial services,"300,000",-,,-,0.0,-,435,0
