col_0,col_1,col_2,Revised Estimates (Kshs.),col_4,Expenditure (Kshs.),col_6,Absorption %,col_8,page_number,table_index
,"SP1 Youth
Polytechnic
Infrastructure
Improvement","SP1 Youth
Polytechnic
Infrastructure
Improvement",-,-,-,-,--,--,619,0
507003368,,,,,,,,,619,0
,"Schools’ devel-
opment Support
Services","Schools’ devel-
opment Support
Services",-,-,-,-,-,-,619,0
,"Scholarships and
Bursaries","Scholarships
and Bursaries",-,-,-,-,-,-,619,0
708003368,,,-,-,-,-,-,-,619,0
,Library Supplies,"Library Sup-
plies",-,-,-,-,-,-,619,0
,Total,,"853,008,748.00","139,484,900.00","522,532,809.45","5,812,022.00",61,4,619,0
"3366-Wajir - Energy, Environment and Natural Resources",,,,,,,,,619,0
206003366,,,"4,537,600.00","23,308,800.00","3,864,756.80",-,85,-,619,0
,"Purchase of Solar
lamps","Purchase of
Solar lamps",-,-,-,-,,,619,0
,"Installation of
street light in
Wajir town","Installation of
street light in
Wajir town",-,-,-,-,-,-,619,0
,"Development
of Alternative
Sources of
Energy","Development
of Alternative
Sources of
Energy","4,537,600.00","23,308,800.00","3,864,756.80",-,85,-,619,0
,"Infrastructure
Improvement
Services","Infrastructure
Improvement
Services",-,-,-,-,,-,619,0
207003366,,,"17,596,582.00","205,000,000.00","3,840,354.00",-,22,-,619,0
,"Construction of
sand and check
dams","Construction of
sand and check
dams",-,-,-,-,-,-,619,0
,"Indigenous trees
nursery establish-
ment","Indigenous
trees nursery
establishment",-,-,-,-,-,-,619,0
,"Environment
Conservation
Services","Environment
Conservation
Services","15,913,382.00","205,000,000.00","2,264,854.00",-,14,-,619,0
,"Mineral explo-
ration","Mineral explo-
ration",-,-,-,-,-,-,619,0
,"Environmental
sensitization","Environmental
sensitization",-,-,-,-,-,-,619,0
,"Natural Resource
Management
Services","Natural
Resource
Management
Services","1,683,200.00",-,"1,575,500.00",-,94,-,619,0
,"Forestry &
conservation","Forestry &
conservation",-,-,-,-,-,-,619,0
,"Woodland and
bush fire pro-
tection","Woodland
and bush fire
protection",-,-,-,-,-,-,619,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",620,0
208003366,,,-,-,-,-,-,-,620,0
,"Use of goods and
services","Use of goods
and services",-,-,-,-,-,-,620,0
1002003366,,,"72,139,420.00",-,"28,036,337.15",-,39,-,620,0
,"Compensation to
Employees","Compensation
to Employees","72,139,420.00",-,"28,036,337.15",-,39,-,620,0
1004003366,,,,,,,,,620,0
,"Wildlife and
Tourism","Wildlife and
Tourism",-,-,-,-,-,-,620,0
,Total,Total,"94,273,602.00","228,308,800.00","35,741,447.95",-,38,-,620,0
3361-Wajir - The County Executive,,,,,,,,,620,0
701003361,,,"597,805,662.00",-,"372,802,436.60",-,62,-,620,0
,"Coordination
and Supervisory
Services","Coordination
and Superviso-
ry Services","597,805,662.00",-,"372,802,436.60",-,62,-,620,0
703003361,,,-,-,-,-,-,-,620,0
,"Use of goods and
services","Use of goods
and services",-,-,-,-,-,-,620,0
718003361,,,-,-,-,-,-,-,620,0
,"County Public
Service Board
Services","County Public
Service Board
Services",-,-,-,-,-,-,620,0
,Total,,"597,805,662.00",-,"372,802,436.60",-,62,-,620,0
3363-Wajir - Finance and Economic Planning,,,,,,,,,620,0
701003363,,,,,,,,,620,0
,KDSP,KDSP,-,-,-,-,-,-,620,0
707003363,,,"356,240,623.00",-,"303,225,718.60",-,85,-,620,0
,"County Account-
ing Services","County
Accounting
Services","253,549,623.00",-,"242,429,983.00",-,96,-,620,0
,Treasury Services,"Treasury
Services",-,-,-,-,,-,620,0
,"Revenue Collec-
tion Services","Revenue
Collection
Services","36,031,600.00",-,"34,889,182.40",-,97,-,620,0
,"County Budget
Management
Services","County Budget
Management
Services","13,076,600.00",-,"10,433,564.00",-,80,-,620,0
,"Internal Audit
Services","Internal Audit
Services","6,950,000.00",-,"5,067,600.00",-,73,-,620,0
,"Supply Chain
Management
Services","Supply Chain
Management
Services","46,632,800.00",-,"46,405,389.20",-,100,-,620,0
708003363,,,"25,886,978.00",-,"17,002,340.00",-,66,-,620,0
