Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Office of The Governor,,,,,,176,1
General Administration and Planning,701013710,"1,552,520,555","502,129,252","1,050,391,303",32.3,176,1
,702013710,"73,566,597","2,281,923","71,284,674",3.1,176,1
,705013710,"77,478,771","36,405,230","41,073,541",47.0,176,1
Procurement,704023710,"45,462,825","22,067,246","23,395,579",48.5,176,1
Sub Total,,"1,749,028,748","562,883,651","1,186,145,097",32.2,176,1
Administration and Coordination of County Affairs,,,,,,176,1
Coordination and Administrative Services,705013710,"124,176,857","52,169,415","72,007,442",42.0,176,1
,706013710,"143,397,744","105,119,868","38,277,876",73.3,176,1
General Administration and Planning,701013710,"124,115,553","48,663,626","75,451,927",39.2,176,1
Sub Total,,"391,690,154","205,952,909","185,737,245",52.6,176,1
Agriculture Water and Livestock Development,,,,,,176,1
Agriculture,101029999,"27,803,793","7,259,261","20,544,532",26.1,176,1
,102013710,"310,634,404","105,183,921","205,450,483",33.9,176,1
,103013710,"84,042,202","11,822,466","72,219,736",14.1,176,1
,103023710,"78,599,235","2,877,490","75,721,745",3.7,176,1
,104013710,"2,587,578","147,728","2,439,850",5.7,176,1
Fisheries,105013710,"2,146,058","237,800","1,908,258",11.1,177,0
General Administration and Planning,101013710,"293,464,324","142,043,048","151,421,276",48.4,177,0
Livestock Production,106013710,"40,437,375","6,579,242","33,858,133",16.3,177,0
,106023710,"20,399,299","9,372,270","11,027,029",45.9,177,0
Water,111013710,"457,215,909","55,430,336","401,785,573",12.1,177,0
,111023710,"113,929,375","57,811,308","56,118,067",50.7,177,0
,111033710,"61,946,567","29,887,066","32,059,501",48.2,177,0
Sub Total,,"1,493,206,119","428,651,936","1,064,554,183",28.7,177,0
"Basic Education, ICT, and Youth Development",,,,,,177,0
Basic Education,502013710,"357,916,962","137,105,050","220,811,912",38.3,177,0
General Administration and Planning,501013710,"92,741,160","42,539,481","50,201,679",45.9,177,0
Information Communication Technology,505013710,"23,333,306","6,059,000","17,274,306",26.0,177,0
Training and Skills Development,503013710,"208,531,610","29,248,091","179,283,519",14.0,177,0
,504013710,"2,432,853",-,"2,432,853",0.0,177,0
,506013710,"126,667,686","43,948,295","82,719,391",34.7,177,0
Sub Total,,"811,623,577","258,899,917","552,723,660",31.9,177,0
"Lands, Infrastructure, Housing and Urban Development",,,,,,177,0
General Administration and Planning,101013710,"109,268,206","40,469,296","68,798,910",37.0,177,0
Housing,107013710,"25,660,186","3,529,619","22,130,567",13.8,177,0
,109013710,"24,108,102","9,704,570","14,403,532",40.3,177,0
Land Adjudication and Settlement,108023710,"11,443,420","2,597,522","8,845,898",22.7,177,0
Physical Planning,108013710,"32,672,769","11,346,240","21,326,529",34.7,177,0
"Roads, Transport and Mechanical Services
Headquarters",110013710,"734,157,074","198,025,715","536,131,359",27.0,177,0
,203013710,"36,197,033","17,493,256","18,703,777",48.3,177,0
Survey and Mapping,108023710,"11,950,112","495,550","11,454,562",4.1,177,0
Sub Total,,"985,456,902","283,661,768","701,795,134",28.8,177,0
Health and Sanitation,,,,,,177,0
General Administration and Planning,401013710,"96,313,817","44,214,691","52,099,126",45.9,177,0
,401023710,"65,599,204","32,319,849","33,279,355",49.3,177,0
,401033710,"4,844,084","2,283,042","2,561,042",47.1,177,0
Health Promotion and Disease Control,404013710,"2,725,985","631,753","2,094,232",23.2,177,0
,404023710,"53,592,106","10,378,163","43,213,943",19.4,177,0
Medical Services,402013710,"2,606,711,494","1,136,459,651","1,470,251,843",43.6,177,0
,402023710,"13,610,550","2,048,119","11,562,431",15.0,177,0
,403023710,"126,707,592","63,352,605","63,354,987",50.0,177,0
,404033710,"25,542,200","9,580,829","15,961,371",37.5,177,0
Public Health,403013710,"7,105,912","2,062,880","5,043,032",29.0,177,0
,403023710,"1,531,796","704,445","827,351",46.0,177,0
,403033710,"1,982,324","900,600","1,081,724",45.4,177,0
Rural Health Services,402033710,"324,380,396","167,599,857","156,780,539",51.7,177,0
,404023710,"23,238,178","10,197,811","13,040,367",43.9,177,0
,404033710,"3,714,860","517,200","3,197,660",13.9,177,0
,404043710,"22,499,905","12,659,937","9,839,968",56.3,177,0
Sub Total,,"3,380,100,403","1,495,911,432","1,884,188,971",44.3,177,0
"Trade, Cooperatives and Investments",,,,,,177,0
Cooperatives,304013710,"289,628,725","93,195,664","196,433,061",32.2,177,0
,304023710,"23,382,092","9,616,037","13,766,055",41.1,177,0
General Administration and Planning,301013710,"52,186,173","19,450,553","32,735,620",37.3,177,0
Trade and Markets,301013710,"257,957,196","5,588,391","252,368,805",2.2,177,0
,303023710,"7,558,635","2,565,249","4,993,386",33.9,177,0
Sub Total,,"630,712,821","130,415,894","500,296,927",20.7,177,0
Environment and Natural Resources,,,,,,177,0
Energy,1004013710,"450,528",-,"450,528",0.0,177,0
,1005013710,"2,713,108","369,000","2,344,108",13.6,177,0
,1006013710,"102,554,377","33,218,887","69,335,490",32.4,177,0
Environment,1002013710,"14,935,137","5,479,762","9,455,375",36.7,177,0
,1003013710,"2,882,936","421,900","2,461,036",14.6,177,0
,1004013710,"5,500,419","1,074,720","4,425,699",19.5,177,0
Environment and Natural Resources,1001013710,"49,010,772","19,028,691","29,982,081",38.8,177,0
Mineral Resources,1003013710,"3,751,989","301,500","3,450,489",8.0,178,0
,1003023710,"10,647,333","3,571,450","7,075,883",33.5,178,0
,1003043710,"2,883,216","801,750","2,081,466",27.8,178,0
,1007013710,"16,378,419","5,819,146","10,559,273",35.5,178,0
,1008013710,"3,446,668","190,600","3,256,068",5.5,178,0
Sub Total,,"215,154,902","70,277,406","144,877,496",32.7,178,0
"Tourism, Sports and Culture",,,,,,178,0
"Gender, Culture and Social Services Headquar-
ters",307013710,"15,357,714.00","4,037,713.00","2,955,649.00",26.3,178,0
,307023710,"6,666,320.00","2,429,786.00","4,236,534.00",36.4,178,0
,308013710,"9,553,992.00","2,914,813.00","4,585,563.00",30.5,178,0
,308023710,"1,351,586.00","96,900.00","804,157.00",7.2,178,0
General Administration and Planning,301013710,"26,873,438.00","9,318,382.00","17,555,056.00",34.7,178,0
Sports,306013710,"15,193,762.00","5,380,454.00","7,353,751.00",35.4,178,0
,306023710,"61,895,781.00","26,268,635.00","2,088,627.00",42.4,178,0
Tourism,305013710,"4,902,603.00","1,775,045.00","3,127,558.00",36.2,178,0
,305033710,"16,896,057.00","3,515,044.00","4,183,487.00",20.8,178,0
,1003023710,"37,531,400.00","13,559,447.00","18,642,627.00",36.1,178,0
Sub Total,,"196,222,653","69,296,219","65,533,009",35.3,178,0
County Treasury,,,,,,178,0
Accounts,704013710,"54,340,358","26,486,554","27,853,804",48.7,178,0
,712053710,"11,593,445","3,915,042","7,678,403",33.8,178,0
Budgetary Supplies,712013710,"128,894,745","54,872,704","74,022,041",42.6,178,0
,712023710,"10,923,447","3,196,297","7,727,150",29.3,178,0
Economic Affairs,710013710,"79,552,564","30,498,288","49,054,276",38.3,178,0
,710023710,"13,398,649","4,333,093","9,065,556",32.3,178,0
General Administration and Planning,701013710,"277,646,184","88,065,275","189,580,909",31.7,178,0
Internal Audit,712033710,"8,442,176","3,111,000","5,331,176",36.9,178,0
Sub Total,,"584,791,568","214,478,253","370,313,315",36.7,178,0
County Public Service Board,,,,,,178,0
Board,713013710,"7,775,439","2,823,080","4,952,359",36.3,178,0
,713023710,"7,297,121","2,544,634","4,752,487",34.9,178,0
,714013710,"4,834,050","1,526,532","3,307,518",31.6,178,0
General Administration and Planning,701013710,"12,001,036","4,431,580","7,569,456",36.9,178,0
Sub Total,,"31,907,646","11,325,826","20,581,820",35.5,178,0
County Assembly,,,,,,178,0
General Administration and Planning,701013710,"297,003,008","94,791,360","202,211,648",31.9,178,0
Legislative Department,715013710,"583,999,151","217,470,793","366,528,358",37.2,178,0
Sub Total,,"881,002,159","312,262,153","568,740,006",35.4,178,0
Kitui Municipality,,,,,,178,0
"Environment, Culture, Recreation and Commu-
nity Development",207013710,"20,210,653","6,986,096","13,224,557",34.6,178,0
