Programme,Sub- Programme,Approved Budget (Kshs.),Actual Payments (Kshs.),"Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Programme,Sub programme,Approved Budget,Actual Payments,Variance,"Absorption
(%)",371,0
,"Default Value ( Non- De-
partmental)",-,"92,638,313","(92,638,313)",-,371,0
,,-,"92,638,313","(92,638,313)",-,371,0
"Administration -Gover-
nor's Office","Administration and Support
Services","73,953,462","33,782,775","40,170,687",45.7,371,0
,,"73,953,462","33,782,775","40,170,687",45.7,371,0
"Inter-Governmental
Committee","Administration and Support
Services","1,543,128","693,500","849,628",44.9,371,0
,,"1,543,128","693,500","849,628",44.9,371,0
,"Administration and Support
Services","7,550,000","3,275,341","4,274,659",43.4,371,0
,,"7,550,000","3,275,341","4,274,659",43.4,371,0
Administration,Public Finance Management,"370,484,906","108,147,371","262,337,535",29.2,371,0
,,"370,484,906","108,147,371","262,337,535",29.2,371,0
Revenue Section,Public Finance Management,"22,840,000","10,716,110","12,123,890",46.9,371,0
,,"22,840,000","10,716,110","12,123,890",46.9,371,0
Accounts Section,Public Finance Management,"1,884,862","881,190","1,003,672",46.8,371,0
,,"1,884,862","881,190","1,003,672",46.8,371,0
"Procurement and Sup-
plies Section",Public Finance Management,"2,250,000","1,009,300","1,240,700",44.9,371,0
,,"2,250,000","1,009,300","1,240,700",44.9,371,0
Internal Audit Section,Public Finance Management,"7,150,000","3,337,650","3,812,350",46.7,371,0
,,"7,150,000","3,337,650","3,812,350",46.7,371,0
Administration,"County Governance Support
Services","11,830,079","7,388,000","4,442,079",62.5,371,0
,"Administration and Support
Services","532,108,561","309,555,285","222,553,276",58.2,371,0
,,"543,938,640","316,943,285","226,995,355",58.3,371,0
Communication Section,"Administration And Support
Services","1,380,000","407,000","973,000",29.5,371,0
,,"1,380,000","407,000","973,000",29.5,371,0
Legal Section,"Administration and Support
Services","11,743,860","980,655","10,763,205",8.4,371,0
,,"11,743,860","980,655","10,763,205",8.4,371,0
Registry Section,"Administration and Support
Services","320,000","55,000","265,000",17.2,371,0
,,"320,000","55,000","265,000",17.2,371,0
Human Resource Section,"Administration and Support
Services","750,000","183,600","566,400",24.5,371,0
,,"750,000","183,600","566,400",24.5,371,0
Administration,"Administrative Support Ser-
vices","48,088,768","19,423,945","28,664,823",40.4,371,0
,"Ict Infrastructure Develop-
ment","32,068,723","8,400,000","23,668,723",26.2,371,0
,,"80,157,491","27,823,945","52,333,546",34.7,371,0
Administration,"Roads Infrastructure Devel-
opment","224,553,901","110,900,000","113,653,901",49.4,371,0
,,"224,553,901","110,900,000","113,653,901",49.4,371,0
Roads Department,"Roads Infrastructure Devel-
opment","1,022,672,757","182,080,146","840,592,611",17.8,371,0
,,"1,022,672,757","182,080,146","840,592,611",17.8,371,0
"Fire and Emergency Re-
spond Department","Roads Infrastructure Devel-
opment","50,000","25,000","25,000",50.0,372,0
,Disaster Management,"3,795,011","1,645,994","2,149,017",43.4,372,0
,,"3,845,011","1,670,994","2,174,017",43.5,372,0
"Public Works Depart-
ment","Roads Infrastructure Devel-
opment","1,050,000","56,000","994,000",5.3,372,0
,,"1,050,000","56,000","994,000",5.3,372,0
Transport Department,Disaster Management,"5,714,000",-,"5,714,000",-,372,0
,,"5,714,000",-,"5,714,000",-,372,0
,Street Lighting Services,"85,487,430",-,"85,487,430",-,372,0
,,"85,487,430",-,"85,487,430",-,372,0
Administration,Land Policy and Management,"134,693,395","27,326,370","107,367,025",20.3,372,0
,,"134,693,395","27,326,370","107,367,025",20.3,372,0
"Physical Planning Sec-
tion",Land Policy and Management,"16,410,725","156,600","16,254,125",1.0,372,0
,,"16,410,725","156,600","16,254,125",1.0,372,0
Survey Section,Land Policy and Management,"14,342,039","20,000","14,322,039",0.1,372,0
,,"14,342,039","20,000","14,322,039",0.1,372,0
Housing Section,Land Policy and Management,"601,140,095","11,755,654","589,384,441",2.0,372,0
,,"601,140,095","11,755,654","589,384,441",2.0,372,0
Administration,Water Supply Services,"118,201,759","51,547,048","66,654,712",43.6,372,0
,,"118,201,759","51,547,048","66,654,712",43.6,372,0
Environment Section,"Environmental Management
and Protection","160,790,000","10,590,000","150,200,000",6.6,372,0
,,"160,790,000","10,590,000","150,200,000",6.6,372,0
Water Section,Water Supply Services,"425,307,241","45,976,621","379,330,620",10.8,372,0
,,"425,307,241","45,976,621","379,330,620",10.8,372,0
Energy Section,"Tourism Development And
Marketing","13,591,390","1,657,920","11,933,470",12.2,372,0
,,"13,591,390","1,657,920","11,933,470",12.2,372,0
Administration,Health Infrastructure,"230,494,706","57,220,262","173,274,444",24.8,372,0
,"Administration and Support
Services","2,394,083,995","991,730,931","1,402,353,064",41.4,372,0
,Curative Health Services,"124,200,000",-,"124,200,000",-,372,0
,,"2,748,778,701","1,048,951,193","1,699,827,508",38.2,372,0
Clinical Services,Clinical Services,"248,183,873",-,"248,183,873",-,372,0
,"Administration and Support
Services","125,653,176","115,630","125,537,546",0.1,372,0
,Health Infrastructure,"13,700,000",-,"13,700,000",-,372,0
,,"387,537,049","115,630","387,421,419",0.0,372,0
"Prevention and Health
Promotion","Administration and Support
Services","749,785",-,"749,785",-,372,0
,,"749,785",-,"749,785",-,372,0
Administration,"Administration Support Ser-
vices","229,555,060","109,950,252","119,604,809",47.9,372,0
Agriculture,"Crop Development And
Management","467,476,539","147,849,557","319,626,982",31.6,372,0
,,"467,476,539","147,849,557","319,626,982",31.6,372,0
"Chebororwa Training
Center","Agricultural Training Ser-
vices - Chebororwa","23,645,443","2,453,344","21,192,099",10.4,372,0
,,"23,645,443","2,453,344","21,192,099",10.4,372,0
