Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs),"Absorption
(%)",page_number,table_index
"Agriculture, Livestock and Fisheries Development",,,,,,240,1
"Policy, Planning, General Ad-
ministration and Support Ser-
vices (Agriculture)",General administration,"156,658,939","72,852,210","83,806,728",46.5,240,1
,"Field Extension Services and
support programme","6,370,000","87,300","6,282,700",1.3,240,1
,Sub-total,"163,028,939","72,939,510","90,089,428.89",44.7,240,1
Pending bills,Pending bills,"4,103,000",-,"4,103,000",-,240,1
,Sub-total,"4,103,000",-,"4,103,000",-,240,1
"Policy, Planning, General Ad-
ministration and Support Ser-
vices (Livestock Development)",General administration,"4,806,000",-,"4,806,000",-,240,1
,Sub-total,"4,806,000",-,"4,806,000",-,240,1
"Livestock production and man-
agement","Enterprise Development And
Value Addition","3,687,640","460,920","3,226,720",12.5,240,1
,Sub-total,"3,687,640","460,920","3,226,720",12.5,240,1
Pending Bills,Pending Bills,"1,303,760",-,"1,303,760",-,240,1
,Sub-total,"1,303,760",-,"1,303,760",-,240,1
"Policy, Planning, General Ad-
ministration and Support Ser-
vices (Fisheries Development)",General administration,"5,502,140","130,000","5,372,140",2.3,240,1
,"Field Extension Services and
support programme","3,610,500","575,400","3,035,100",15.9,240,1
,Sub-total,"9,112,640","705,400","8,407,240",7.7,240,1
Pending Bills,Pending Bills,"1,296,000",-,"1,296,000",-,240,1
,Sub-total,"1,296,000",-,"1,296,000",-,240,1
"Policy, Planning, General Ad-
ministration and Support Ser-
vices (Veterinary Services De-
partment)",General administration,"6,884,000",-,"6,884,000",-,240,1
,"Field Extension Services and
support programme","700,000",-,"700,000",-,240,1
,Sub-total,"7,584,000",-,"7,584,000",-,240,1
Veterinary services,"Livestock disease control &
management","1,750,000",-,"1,750,000",-,240,1
,"Veterinary public health man-
agement","986,000",-,"986,000",-,240,1
,Livestock breeding services,"1,030,000","219,000","811,000",21.3,240,1
,Sub-total,"3,766,000","219,000","3,547,000",-,240,1
Pending Bills,Pending Bills,"887,850",-,"887,850",-,241,0
,Sub-total,"887,850",-,"887,850",-,241,0
Pending Bills,Pending bills,"2,697,269.60",-,"2,697,270",-,241,0
,Sub-total,"2,697,269.60",,"2,697,270",-,241,0
Donor Funds,Donor Funds,"293,075,239.60","57,387,908.46","235,687,331",19.6,241,0
,Sub-total,"293,075,239.60","57,387,908.46","235,687,331",19.6,241,0
"Livestock production and man-
agement","Enterprise Development and
Value Addition","350,000",-,"350,000",-,241,0
,"Dairy cows distribution
(Community Projects) Wiga
Ward","2,000,218",-,"2,000,218",-,241,0
,Breeds Improvement,"1,424,600",-,"1,424,600",-,241,0
,Sub-total,"3,774,818",-,"3,774,818",-,241,0
Pending Bills,Pending bills,"8,225,400","7,650,000","575,400",93,241,0
,Sub-total,"8,225,400","7,650,000","575,400",93,241,0
Fisheries Development,"Aquaculture Development
and Extension Services","1,851,750",-,"1,851,750",-,241,0
,"Fish Safely Assurance, Value
Addition and Marketing","500,000",-,"500,000",-,241,0
,Sub-total,"2,351,750",-,"2,351,750",-,241,0
Pending Bills,Pending Bills,"8,553,250",-,"8,553,250",-,241,0
,Sub-total,"8,553,250",-,"8,553,250",-,241,0
Veterinary services,"Veterinary public health man-
agement","9,600,000",-,"9,600,000",-,241,0
,Sub-total,"9,600,000",-,"9,600,000",,241,0
Pending Bills,Pending Bills,"2,600,000",-,"2,600,000",-,241,0
,Sub-total,"2,600,000",-,"2,600,000",-,241,0
,TOTAL,"530,453,556","139,362,739","391,090,817",26.3,241,0
County Assembly,,,,,,241,0
Oversight Management services,"Committees Management Ser-
vices","104,850,000","93,505,153.41","11,344,847",89.2,241,0
,Sub-total,"104,850,000","93,505,153.41","11,344,847",89.2,241,0
Legislative services,Representation,"115,712,000","25,000,000","90,712,000",21.6,241,0
,Sub-total,"115,712,000","25,000,000","90,712,000",21.6,241,0
"General administration and sup-
portive service",Administrative Services,"616,272,225","251,494,846.59","364,777,378",40.8,241,0
,Sub-total,"616,272,225","251,494,846.59","364,777,378",40.8,241,0
"General administration and sup-
portive service",Administrative Services,"50,000,000",-,"50,000,000",-,241,0
,Sub-total,"50,000,000",-,"50,000,000",-,241,0
,TOTAL,"886,834,225","370,000,000","516,834,225",42,241,0
County Executive,,,,,,241,0
"Governance and Executive Man-
agement","Coordination of Devolved
Ministries and Departments","12,715,405","9,000,112.80","3,715,292",70.7,241,0
,Sub-total,"12,715,405","9,000,112.80","3,715,292",70.7,241,0
Strategy and service delivery,Legal Services,"44,600,000","17,905,831","26,694,169",40.1,241,0
,Efficiency monitoring services,"2,856,000","1,476,498","1,379,502",51.7,241,0
,Sub-total,"47,456,000","19,382,329","28,073,671",40.8,241,0
Strategy and service delivery,"Conflict Management And
Resolution","1,141,000","280,300","860,700",24.5,241,0
,Sub-total,"1,141,000","280,300","860,700",24.5,241,0
"General Administration and
Support Services","General Administration Ser-
vices","77,598,550","23,276,332.50","54,322,218",30,241,0
,Sub-total,"77,598,550","23,276,332.50","54,322,218",30,241,0
Cohesion And Peace Building,"Peace Building, Education,
Advocacy And Research","3,700,000","513,100","3,186,900",13.87,242,0
,Sub-total,"3,700,000","513,100","3,186,900",13.8,242,0
"General Administration and
Support Services (Deputy Gover-
nor's Office)","General Administration Ser-
vices","22,999,800","2,871,992","20,127,808",12.5,242,0
,Sub-total,"22,999,800","2,871,992","20,127,808",12.5,242,0
"Governance and Executive Man-
agement (County Secretary)",Citizen Delivery services,"1,000,000",-,"1,000,000",-,242,0
,Sub-total,"1,000,000",-,"1,000,000",-,242,0
"General Administration and
Support Services(County Secre-
tary)","General Administration Ser-
vices","11,200,000","4,834,560","6,365,440",43.2,242,0
,Sub-total,"11,200,000","4,834,560","6,365,440",43.2,242,0
"Kenya Devolution Support Pro-
gramme","Key Result Area1: Public Fi-
nance Management","5,450,642",-,"5,450,642",-,242,0
,"Key Result Area2: Planning ,
Monitoring And Evaluation","10,499,276",-,"10,499,276",-,242,0
,"Key Result Area3: Perfor-
mance Contracting And Hu-
man Resources Management","16,180,647",-,"16,180,647",-,242,0
,"Key Result Area4: Civic Edu-
cation And Public Participa-
tion","7,482,039",-,"7,482,039",-,242,0
,"Key Result Area5: Environ-
ment And Social Safeguard","5,387,397",-,"5,387,397",-,242,0
,Sub-total,"45,000,000",0,"45,000,000",-,242,0
"Pending Bills - Office of the
County Executive",Pending Bills,"43,573,081","1,940,000","41,633,081",4.4,242,0
,Sub-total,"43,573,081","1,940,000","41,633,081",4.4,242,0
"Governance and Executive Man-
agement",Citizen Delivery services,"170,000,000",-,"170,000,000",-,242,0
,Sub-total,"170,000,000",-,"170,000,000",-,242,0
,TOTAL,"436,383,836","62,098,726","374,285,110",14,242,0
"Education, Youth, Sports, Culture, Gender and Social Services",,,,,,242,0
"General Administration and sup-
portive Services(Education)",Personal Emolument,"186,954,952","94,514,438","92,440,514",50.5,242,0
,"General Administration Ser-
vices","9,408,710","2,343,820","7,064,890",24.9,242,0
,"Staff trainings and Empower-
ment","1,200,000",-,"1,200,000",-,242,0
,Sub-total,"197,563,662","96,858,258","100,705,404",49,242,0
Education Support Services,Bursary And Scholarship,"60,398,360",-,"60,398,360",-,242,0
,Sub-total,"60,398,360",-,"60,398,360",-,242,0
Child Care Support Services,ECDE Staffing,"1,000,000",-,"1,000,000",-,242,0
,Sub-total,"1,000,000",-,"1,000,000",-,242,0
Quality Management Services,"Quality Assurance And Stan-
dards Services","1,000,000",-,"1,000,000",-,242,0
,"Quality Assurance And Stan-
dards Services","500,000","470,000","30,000",94,242,0
,"Sub County Education Office
Services","500,000",-,"500,000",-,242,0
,Sub-total,"2,000,000","470,000","1,530,000",23.5,242,0
Pending Bills,Pending Bills,"4,406,000",-,"4,406,000",-,242,0
,Sub-total,"4,406,000",-,"4,406,000",-,242,0
"General Administration and sup-
portive Services(Sports)","General Administration Ser-
vices","5,980,000","775,380","5,204,620",12.9,242,0
,Sub-total,"5,980,000","775,380","5,204,620",12.9,242,0
Sports and Culture Development,"Sports And Talent Develop-
ment","500,000","175,400","324,600",35,242,0
,Talent Development Services,"500,000",-,"500,000",-,242,0
,Sub-total,"1,000,000","175,400","824,600",17.5,242,0
Pending Bills Recurrent,Pending Bills,"4,278,307",-,"4,278,307",-,243,0
,Sub-total,"4,278,307",-,"4,278,307",-,243,0
Sports and Culture Development,"Promotion of indigenous
knowledge","1,000,000",-,"1,000,000",-,243,0
,Sub-total,"1,000,000",-,"1,000,000",-,243,0
Gender and Equality Services,"Women Empowerment Enter-
prises And Support Services","600,000",-,"600,000",-,243,0
,"PWDs Enterprises And Sup-
port Services","1,100,000",-,"1,100,000",-,243,0
,Sub-total,"1,700,000",-,"1,700,000",-,243,0
Child Care Support Services,"Infrastructure Development
and Sanitation Improvement:
Construction of ECDE class-
rooms (Community Projects)","58,141,472",-,"58,141,472",-,243,0
,Sub-total,"58,141,472",,"58,141,472",-,243,0
,Construction of VETC,"53,067,165","4,175,904","48,891,261",7.8,243,0
,Sub-total,"53,067,165","4,175,904","48,891,261",7.8,243,0
External Funding,"Conditional Grants: Rehabil-
itation of village polytechnics
- External Funding (grant)","36,439,894",-,"36,439,894",-,243,0
,Sub-total,"36,439,894",-,"36,439,894",-,243,0
Pending Bills Development,Pending Bills,"49,076,930",-,"49,076,930",-,243,0
,Sub-total,"49,076,930",,"49,076,930",-,243,0
Sports and Culture Development,"Sports And Talent Develop-
ment","2,293,832",-,"2,293,832",-,243,0
,Sub-total,"2,293,832",-,"2,293,832",-,243,0
"Pending Bills Development -
sports",Pending Bills,"13,635,459","4,767,711","8,867,748",34.9,243,0
,Sub-total,"13,635,459","4,767,711","8,867,748",34.9,243,0
Sports and Culture Development,"Culture And Heritage Conser-
vation","4,000,000",-,"4,000,000",-,243,0
,Sub-total,"4,000,000",-,"4,000,000",-,243,0
"Pending Bills Development -
Culture",Pending Bills,"2,977,778","1,200,000","1,777,778",40.3,243,0
,Sub-total,"2,977,778","1,200,000","1,777,778",40.3,243,0
,TOTAL,"498,958,859","108,422,653","390,536,206",21.73,243,0
Finance and Economic planning,,,,,,243,0
"General Administrative and sup-
portive service (Accounts)","General administration plan-
ning and support services","143,801,100","31,570,122","112,230,978",21.9,243,0
,Sub-total,"143,801,100","31,570,122","112,230,978",21.9,243,0
Public Financial Management,Accounting services,"304,956,933","133,352,476","171,604,457",43.7,243,0
,Sub-total,"304,956,933","133,352,476","171,604,457",43.7,243,0
Pending bills,Pending bills,"15,695,312","720,000","14,975,312",4.5,243,0
,Sub-total,"15,695,312","720,000","14,975,312",4.59,243,0
"General Administrative and sup-
portive service(Audit)","General administration plan-
ning and support services","24,232,497.52",-,"24,232,498",-,243,0
,Sub-total,"24,232,497.52",0,"24,232,498",-,243,0
Public Financial Management,Procurement services,"18,207,569.41","3,473,538","14,734,031",19,243,0
,Sub-total,"18,207,569.41","3,473,538","14,734,031",19,243,0
"General Administrative and sup-
portive service(Revenue)","General administration plan-
ning and support services","2,402,966.38",-,"2,402,966",-,243,0
,Sub-total,"30,962,426.44","7,672,148","23,290,278",24.7,243,0
Public Financial Management,Resource mobilization,"28,559,460.06","7,672,148","20,887,312",26.8,243,0
,Sub-total,"28,559,460.06","7,672,148","20,887,312",26.8,243,0
Pending bills,Pending bills,"16,440,000","5,990,000","10,450,000",36.4,243,0
,Sub-total,"16,440,000","5,990,000","10,450,000",36.4,243,0
"General Administrative and sup-
portive service","General administration plan-
ning and support services","16,739,616.82","7,639,526","9,100,091",45.6,244,0
,Sub-total,"16,739,616.82","7,639,526","9,100,091",45.6,244,0
"Economic policy and county
planning","Budget coordination and
management","32,304,908.07","9,654,890","22,650,018",29.8,244,0
,Policy and plans developments,"40,455,603.74",-,"40,455,604",-,244,0
,"County statistical information
services","4,789,015.82",-,"4,789,016",-,244,0
,Community development,"2,936,704.74",-,"2,936,705",-,244,0
,Sub-total,"80,486,232.37","9,654,890","70,831,342",12,244,0
Pending Bills,Pending Bills,"4,981,101","4,981,101",-,100,244,0
,Sub-total,"4,981,101","4,981,101",-,100,244,0
,TOTAL,"656,502,788.85","187,759,385.40","468,743,403",28.6,244,0
Health,,,,,,244,0
"Planning and administrative
support services(Medical ser-
vices)","Health Management Informa-
tive System(Medical services)","338,052",-,"338,052",-,244,0
,"Administrative And Support
Services(Medical services)","1,366,510,756.56","707,544,856.32","658,965,900",51.7,244,0
,Sub-total,"1,366,848,808.56","707,544,856.32","659,303,952",51.7,244,0
Public health,"Health Management Informa-
tive System(Public Health)","338,052","165,250","172,802",48.8,244,0
,"Administrative And Support
Services(Public Health)","16,283,080.09","4,446,374","11,836,706",27.3,244,0
,Sub-total,"16,621,132.09","4,611,624","12,009,508",27.7,244,0
"Medical services (Preventive And
Promotive Health Services)","Human Nutrition And Dietet-
ics(Medical services)","507,079",-,"507,079",-,244,0
,"Hiv And Aids Management(-
Medical services)","236,637",-,"236,637",-,244,0
,"Disease Surveillance/(Medical
services)","5,000,000",-,"5,000,000",-,244,0
,"Emergency Preparedness And
Response(medical services)","1,690,268",-,"1,690,268",-,244,0
,"Family& Reproductive Health
Medical services)","34,738,053",-,"34,738,053",-,244,0
,"Family Planning & Adolescent
Health activities (Co funding)","7,000,000",-,"7,000,000",-,244,0
,Sub-total,"49,172,037",-,"49,172,037",-,244,0
Public health,"Community Health Services(-
Public health)","24,338,053",-,"24,338,053",-,244,0
,"Sanitation And Environmental
Health Services(Public health)","338,053",-,"338,053",-,244,0
,"Human Nutrition And Dietet-
ics(Public health)","507,080","500,000","7,080",98.6,244,0
,"Communicable Disease Con-
trol(Public health)","253,540","60,830","192,710",23.9,244,0
,"Hiv And Aids Management(-
Public health)","709,912","700,000","9,912",98.6,244,0
,"Disease Surveillance/(Public
health)","89,415,132","1,150,000","88,265,132",1.3,244,0
,"Emergency Preparedness And
Response(Public health)","1,490,268",-,"1,490,268",-,244,0
,"Health Promotion(Public
health)","338,053",-,"338,053",-,244,0
,"Family& Reproductive
Health(Public health)","7,938,053",-,"7,938,053",-,244,0
,"Family & Adolescent Health
activities (Co funding)","10,600,000",-,"10,600,000",-,244,0
,Sub-total,"135,928,144","2,410,830","133,517,314",1.7,244,0
Medical services,"Pharmaceutical And Non
–Pharmaceutical Commodi-
ties(Medical services)","189,615,655","18,278,957.50","171,336,697",9.6,245,0
,"Diagnostic Services(Medical
services)","2,200,000",-,"2,200,000",-,245,0
,Sub-total,"191,815,655","18,278,957.50","173,536,697",9.5,245,0
Public health,"Pharmaceutical And Non
–Pharmaceutical Commodi-
ties(Public health)","85,291,232","2,935,700","82,355,532",3.4,245,0
,Sub-total,"85,291,232","2,935,700","82,355,532",3.4,245,0
External Funding,Donor Funds,"19,260,000",-,"19,260,000",-,245,0
,Conditional Grants,"21,655,884",-,"21,655,884",-,245,0
,Sub-total,"40,915,884",0,"40,915,884",-,245,0
