Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),col_6,page_number,table_index
"County Assembly of
Marsabit",Operations and Oversight,"730,182,991","160,728,055","569,454,936",22.0,,226,0
"Physical Planning And
Development",Urban Development Services,-,-,-,-,,226,0
,Lands and Physical Planning Services,"93,350,000","23,638,992","69,711,008",25.3,,226,0
,"General administration planning and
Support Services","143,000,000","30,020,027","112,979,973",21.0,,226,0
,Sub total,"236,350,000","53,659,019","182,690,981",22.7,,226,0
Education,"General Administration, Planning and
Support Services","324,000,000","87,051,702","236,948,298",26.9,,226,0
,Pre – Primary Education,"290,803,724","81,485,448","209,318,276",28.0,,226,0
,Youth Development,-,-,-,-,,226,0
,Vocational Education and Training,-,-,-,-,,226,0
,Sports,-,-,-,#DIV/0!,,226,0
,Sub total,"614,803,724","168,537,150","446,266,574",27.4,,226,0
Executive Services,"General Administration, Planning and
Support Services","360,000,000","344,110,930","15,889,070",95.6,,226,0
,Management of County Affairs,"635,000,000","201,539,473","433,460,527",31.7,,226,0
,Public Sector Advisory Services,-,-,-,-,,226,0
,Inter/Intra Governmental,-,-,-,,,226,0
,County Legal Services,-,-,-,-,,226,0
,Sub total,"995,000,000","545,650,403","449,349,597",54.8,,226,0
Administration And ICT,"General administration planning and
Support Services","330,000,000","116,454,029","213,545,971",35.3,,226,0
,ICT infrastructure,"16,150,000","4,640,000","11,510,000",28.7,,226,0
,"Coordination of functions of devolved
Units",-,-,-,-,,226,0
,"Public Participation and Civic Educa-
tion",-,-,-,-,,226,0
,Sub total,"346,150,000","121,094,029","225,055,971",35,,226,0
"Agriculture and Live-
stock Development","General Administration, Planning and
Support Services","90,116,158","36,230,119","53,886,039",40.2,,226,0
,"Livestock Resources Management and
Development","88,652,172","17,309,239","71,342,933",19.5,,226,0
,"Fisheries Development and Manage-
ment","21,231,666","2,364,800","18,866,866",11.1,,226,0
,Crop Development and Management,"554,984,815",-,"554,984,815",,,226,0
,Sub total,"754,984,811","55,904,158","699,080,653",7.4,,226,0
Health Services,Curative Health Services,-,,-,#DIV/0!,,226,0
,"General Administration, Planning and
Support Services","2,215,731,869","780,170,672","1,435,561,197",35.2,,226,0
,Maternal and child health,-,-,-,-,,226,0
,Sub total,"2,215,731,869","780,170,672","1,435,561,197",35.2,,226,0
"County Public Service
Board","General administration planning and
Support Services","95,000,000","30,414,105","64,585,895",32.0,,226,0
,"Human Resource Management and De-
velopment",-,-,-,-,,226,0
,Sub total,"95,000,000","30,414,105","64,585,895",32,,226,0
"Culture and Social Ser-
vices",Youth Development,-,,-,-,,226,0
,Culture Services,"55,350,000","9,895,200","45,454,800",-,,226,0
,Social Services,-,-,-,-,,226,0
,"General administration, planning and
support services","100,000,000","17,154,934","82,845,066",17.2,,226,0
,Sub total,"155,350,000","27,050,134","128,299,866",17.4,,226,0
,,,,,,203,226,0
