Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs) (","Variance
Kshs)",Absorption (%),page_number,table_index,"Actual Payments
(Kshs)","Variance
(Kshs)"
"Agriculture, Crop Production
and Irrigation",,,,,,138,1,,
,"General administration
and support services","486,931,917","137,947,229","348,984,68",8 28.3,138,1,,
,"Livestock resource man-
agement and development","79,400,000","4,713,550","74,686,45",0 5.9,138,1,,
"0101004060 Crop, Livestock
and Fisheries development and
Management",Fisheries Development,"17,000,000","10,150,000","6,850,00",0 59.7,138,1,,
,"Crop production and man-
agement","445,744,352","97,854,906","347,889,44",6 22.0,138,1,,
,,"1,029,076,269","250,665,685","778,410,58",4 24.4,138,1,,
,Sub Total,"1,029,076,269","250,665,685","778,410,58",4 24.4,138,1,,
"Lands, Physical Planning and
Housing",,,,,,139,0,,
,"Planning & Housing Ad-
ministration","195,136,167",,,15.3,139,0,"29,928,812","165,207,355"
,Housing Development,"58,000,000",,,32.92,139,0,"19,095,286","38,904,714"
"0102004060 Land Manage-
ment and Physical Planning; &
Housing Development","Land Management and
Physical Planning","65,000,000",,,-,139,0,-,"65,000,000"
,,"318,136,167",,,15.4,139,0,"49,024,098","269,112,069"
"0105004060 Municipal Ad-
ministration & Urban Devel-
opment","Municipal Administration
and Urban Development","1,919,145,915",,,28.7,139,0,"550,831,240","1,368,314,675"
,,"1,919,145,915",,,28.7,139,0,"550,831,240","1,368,314,675"
,Sub Total,"2,237,282,082",,,26.8,139,0,"599,855,338","1,637,426,744"
"Roads, Transport and Public
Works",,,,,,139,0,,
"0201004060 Maintenance of
Roads, Bridges, Land Trans-
port, Construction & Mainte-
nance","Construction of road and
civil works","1,503,374,561",,,10.1,139,0,"152,032,575","1,351,341,986"
,,"1,503,374,561",,,10.1,139,0,"152,032,575","1,351,341,986"
"0202004060 Administration,
planning & support","General Administration
and Support services","413,275,910",,,41.6,139,0,"171,933,630","241,342,280"
,,"413,275,910",,,41.6,139,0,"171,933,630","241,342,280"
,Sub Total,"1,916,650,471",,,16.9,139,0,"323,966,205","1,592,684,266"
"Trade, Tourism, Industry and
Co-operative",,,,,,139,0,,
,"General administration
and support services","100,740,095",,,29.6,139,0,"29,807,201","70,932,894"
,"Trade, Industrial Develop-
ment and Investments","294,800,000",,,8.9,139,0,"26,119,520","268,680,480"
,"Tourism Development and
Promotion","3,000,000",,,-,139,0,-,"3,000,000"
"0301004060 Industrial, Invest-
ments, Tourism, Trade and
Cooperative Development","Cooperative Development
and promotion","38,344,930",,,8.8,139,0,"3,386,361","34,958,569"
,Enterprise Development,"7,000,000",,,-,139,0,-,"7,000,000"
,,"443,885,025",,,13.4,139,0,"59,313,082","384,571,943"
,Sub Total,"443,885,025",,,13.4,139,0,"59,313,082","384,571,943"
Health Services,,,,,,139,0,,
"0401004060 Curative and pre-
ventive health care services",Health curative services,"1,641,450,485",,,14.0,139,0,"229,758,567","1,411,691,918"
,,"1,641,450,485",,,14.0,139,0,"229,758,567","1,411,691,918"
"0402004060 Administration,
Planning and Support Services","General Administration
and Support Services","4,185,081,945",,,45.5,139,0,"1,904,236,799","2,280,845,146"
,,"4,185,081,945",,,45.5,139,0,"1,904,236,799","2,280,845,146"
"0403004060 Preventive Health
Services","Community Health Ser-
vices","81,055,329",,,30.2,139,0,"24,503,297","56,552,032"
,,"81,055,329",,,30.2,139,0,"24,503,297","56,552,032"
"0405004060 County Pharma-
ceutical Services","Pharmaceutical and Non
Pharmaceutical supplies","75,000,000",,,36.2,139,0,"27,177,609","47,822,391"
,,"75,000,000",,,36.2,139,0,"27,177,609","47,822,391"
,Sub Total,"5,982,587,759",,,36.5,139,0,"2,185,676,272","3,796,911,487"
"Education, Youth, Sports, Cul-
ture and Social Services",,,,,,139,0,,
"0501004060 Pre-primary edu,
Promotion of Culture; ICT and
social Services","Pre primary education and
youth polytechnics services","368,869,558",,,32.0,139,0,"118,015,044","250,854,514"
,Vocational Training centres,"23,000,000",,,-,139,0,-,"23,000,000"
,,"391,869,558",,,30.1,139,0,"118,015,044","273,854,514"
"0502004060 General Admin-
istration and support Services","General Administration
and support Services","679,911,538",,,43.8,139,0,"297,589,309","382,322,229"
,,"679,911,538",,,43.8,139,0,"297,589,309","382,322,229"
"0504004060 Culture Gender
and Social Service Develop-
ment","Culture, Gender & Social
Services","24,000,000",,,3.3,139,0,"787,500","23,212,500"
,,"24,000,000",,,3.3,139,0,"787,500","23,212,500"
County Assembly,,,,,,140,0,,
"General Administration and
support services","General Administration
and support services","481,493,255",,,21.4,140,0,"102,844,664","378,648,591"
,,"481,493,255",,,21.4,140,0,"102,844,664","378,648,591"
Representation services,Representation services,"178,073,111",,,28.0,140,0,"49,818,632","128,254,479"
,,"178,073,111",,,28.0,140,0,"49,818,632","128,254,479"
"0701004060 Legislation and
Oversight of county Govern-
ment","Legislation and Oversight
services","650,312,178",,,34.1,140,0,"221,608,203","428,703,975"
,,"650,312,178",,,34.1,140,0,"221,608,203","428,703,975"
,Sub Total,"1,309,878,544",,,28.6,140,0,"374,271,499","935,607,045"
County Executive,,,,,,140,0,,
,"General Administration
and support services","326,651,105",,,38.6,140,0,"126,158,023","200,493,082"
"0702004060 Leadership and
Co-ord of County Administra-
tion and Departments",Representation Services,"61,710,000",,,39.9,140,0,"24,605,053","37,104,947"
,,"388,361,105",,,38.8,140,0,"150,763,076","237,598,029"
,Sub Total,"388,361,105",,,38.8,140,0,"150,763,076","237,598,029"
County Public Service Board,,,,,,140,0,,
,"General Administration
and support services",,,,,140,0,,
"0703004060 Leadership and
Admin of HR management
and development in County
Public Service","Human Resource devel-
opment and management
services","78,962,096",,,16.5,140,0,"12,995,519","65,966,577"
,,"78,962,096",,,16.5,140,0,"12,995,519","65,966,577"
,Sub Total,"78,962,096",,,16.5,140,0,"12,995,519","65,966,577"
"Finance and Economic Plan-
ning",,,,,,140,0,,
,"General Administration
and support services","1,596,242,124",,,21.9,140,0,"349,970,639","1,246,271,485"
,"financial management ser-
vices","190,796,121",,,49.5,140,0,"94,360,084","96,436,037"
"0704004060 Public Finance
Management and Economic
Policy and Strategy","Economic planning ser-
vices","10,000,000",,,10.5,140,0,"1,054,430","8,945,570"
,,"1,797,038,245",,,24.8,140,0,"445,385,153","1,351,653,092"
902004060 ICT Services,ICT Services,"66,249,021",,,-,140,0,-,"66,249,021"
,,"66,249,021",,,-,140,0,-,"66,249,021"
,Sub Total,"1,863,287,266",,,23.9,140,0,"445,385,153","1,417,902,113"
"Administration, and Public
Service and Communication",,,,,,140,0,,
,"General administration
and support services","691,522,259",,,40,140,0,"277,502,344","414,019,915"
"0705004060 Admin & co-ord
of county affairs, HR Dev,
Management, Capacity Build-
ing","Human resource develop-
ment and management","5,000,000",,,-,140,0,-,"5,000,000"
,,"696,522,259",,,40,140,0,"277,502,344","419,019,915"
"0703004060 Leadership and
Admin of HR mgnt and dev in
County Public Service","Leadership and Admin of
HR mgnt and dev in Coun-
ty Public Service","15,521,529",,,35,140,0,"5,434,799","10,086,730"
,,"15,521,529",,,35,140,0,"5,434,799","10,086,730"
,Sub Total,"712,043,788",,,40,140,0,"282,937,143","429,106,645"
Youth and Sports,,,,,,140,0,,
"0901004060 Promotion and
development of sports; Youth
services","General administration
and support services","249,615,300",,,14.5,140,0,"36,193,412","213,421,888"
,,"249,615,300",,,14.5,140,0,"36,193,412","213,421,888"
,Sub Total,"249,615,300",,,14.5,140,0,"36,193,412","213,421,888"
"Water, Energy, Environment
and Natural Resources",,,,,,140,0,,
,"Environmental manage-
ment","50,944,735",,,-,140,0,-,"50,944,735"
,"Water provision and man-
agement","176,000,000",,,22.7,140,0,"40,031,559","135,968,441"
