"Pro-
gramme",Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption Rate (%),page_number,table_index
County Executive,,,,,,392,0
,"SP 1 - (General Administration, planning and
Support Services)","502,019,030","174,245,017","327,774,013",34.7,392,0
,SP 2 - (County Executive affairs),"9,493,120","1,583,902","7,909,218",16.7,392,0
,SP 3 - (County Public service Board,"29,715,400","5,154,638","24,560,762",17.3,392,0
,SP 4 - (Field Administration service),-,-,-,-,392,0
,SP 5- (Liaison and Intergovernmental service),"10,733,816","3,606,100","7,127,716",33.6,392,0
,Sub total,"551,961,366","184,589,657","367,371,709",33.4,392,0
Finance and Economic Planning,,,,,,392,0
,"SP 1(General Administration, planning and Sup-
port Services","198,966,087","76,059,056","122,907,031",38.2,392,0
,SP 2- (Treasury Accounting Services),"2,373,440","526,400","1,847,040",22.2,392,0
,SP 3- (Supply Chain Management services),"3,142,816","782,848","2,359,968",24.9,392,0
,SP 4- (Resource Mobilization),"11,606,632","1,961,350","9,645,282",16.9,392,0
,SP 5- (Internal Audit services),"4,133,600","1,337,200","2,796,400",32.3,392,0
,SP 6- (Budget Formulation services),"15,806,721","3,094,600","12,712,121",19.6,392,0
,SP 7- (Economic Planning),"83,953,932","4,892,582","79,061,350",5.8,392,0
,SP 8-(Project Management,-,-,-,-,392,0
,SP 9- (Monitoring and Evaluation),"6,587,000","1,027,000","5,560,000",15.6,392,0
,Sub total,"326,570,228","89,681,036","236,889,192",27.5,392,0
"Public Works, Transport and Infrastructure",,,,,,392,0
,"SP 1(General Administration, planning and Sup-
port Services","726,594,080","30,767,120","41,892,288",42.3,392,0
,SP 2(Road Transport),"7,837,840","288,520","7,549,320",3.7,392,0
,SP 3(KRB),"186,588,369",-,"186,588,369",-,392,0
,SP 4(Public works),"15,188,500","448,600","14,739,900",3.0,392,0
,SP 5- (Ward Specific Projects),"155,139,992",-,"155,139,992",-,392,0
,Sub total,"1,091,348,781","31,504,240","405,909,869",2.9,392,0
"Health, Sanitation and Emergencies",,,,,,392,0
,"SP 1(General Administration, planning and Sup-
port Services","1,313,835,246","650,049,176","663,786,070",49.5,392,0
,SP 2- (Preventive Health Services),"300,791,260","69,529,032","231,262,228",23.1,392,0
,SP 3- (Kapenguria Referral Hospital),"72,494,287","35,072,820","37,421,467",48.4,392,0
,SP 4- (Kacheliba Sub county hospital),"14,615,000","6,348,837","8,266,163",43.4,392,0
,SP 5- (Sigor Sub county hospital),"15,620,000","6,353,162","9,266,838",40.7,392,0
,SP 6- (Chepareria Sub county hospital),"48,260,000","6,230,252","42,029,748",12.9,392,0
,SP 7(Facility Improvement Fund),"39,500,000","12,514,551","26,985,449",31.7,392,0
,SP 8(Ward Specific),"137,787,403",-,"137,787,403",-,392,0
,Sub total,"1,942,903,196","786,097,830","1,156,805,366",40.5,392,0
Education and Technical training,,,,,,392,0
