Programme,"Approved Estimates
FY 2020/21
(Kshs.)","Actual Expenditure FY
2020/21
(Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
Default - Non Programmatic,-,"627,000","(627,000)",-,287,1
Default - Non Programmatic,-,"627,000","(627,000)",-,287,1
Land Policy and Planning,-,-,-,-,287,1
Land Information Management,-,-,-,-,287,1
Housing Development and Human Settlement,-,-,-,-,287,1
Housing Development,-,-,-,,287,1
Crop Development and management,"416,346,682","124,533,229","291,813,453",29.9,287,1
Crop Productivity Improvement,"416,346,682","124,533,229","291,813,453",29.9,287,1
Livestock Resources management and development,"204,917,623","31,237,946","173,679,677",15.2,287,1
Livestock Pests & Disease Management & Control,"72,802,607",-,"72,802,607",-,287,1
Livestock Information Management,"132,115,016","31,237,946","100,877,070",23.6,287,1
Fisheries development and management,"30,505,695","4,000,000","26,505,695",13.1,287,1
Fish Products Production,"30,505,695","4,000,000","26,505,695",13.1,287,1
Urban and Metropolitan Development,-,-,-,-,287,1
Metropolitan Planning & Infrastructure Development,-,-,-,-,287,1
Land Policy and Planning,"41,413,459","12,605,659","28,807,800",30.4,287,1
Development Planning and Land Reforms,"41,413,459","12,605,659","28,807,800",30.4,288,0
Housing Development and Human Settlement,"100,366,687","2,481,500","97,885,187",2.4,288,0
Housing Development,"100,366,687","2,481,500","97,885,187",2.4,288,0
Urban Mobility and Transport,"157,969,854","20,535,860","137,433,994",13.0,288,0
Metropolitan Planning & Infrastructure Development,"157,969,854","20,535,860","137,433,994",13.0,288,0
Crop Development and Management,-,-,-,-,288,0
Food Security Initiatives,-,-,-,-,288,0
Fisheries Development and Management,-,-,-,-,288,0
Aquaculture Development Marketing & Research,-,-,-,-,288,0
Livestock Resources Management and Development,-,-,-,-,288,0
Livestock Production and Management,-,-,-,-,288,0
Roads Transport and Public Works,"1,092,636,745","268,227,609","824,409,136",24.5,288,0
"General Administration, Planning and Support Services","61,549,884","9,319,832","52,230,051",15.1,288,0
Construction of Roads and Bridges,"943,589,270","247,091,250","696,498,021",26.1,288,0
Maintenance of Roads,"87,497,592","11,816,527","75,681,064",13.5,288,0
Road Transport,-,-,-,-,288,0
Construction of Roads and Bridges,-,-,-,-,288,0
Maintenance of Roads,-,-,-,-,288,0
ICT Services,"52,744,534","2,071,803","50,672,731",3.9,288,0
ICT Infrastructure Development,"52,744,534","2,071,803","50,672,731",3.9,288,0
ICT Infrastructure Development,-,-,-,-,288,0
ICT Infrastructure Connectivity,-,-,-,-,288,0
General Administration and Support Services,"150,220,000","21,044,903","129,175,097",14.0,288,0
Administrative Services,"3,908,004",-,"3,908,004",-,288,0
Cooperative Development & Management,"23,845,870","500,000","23,345,870",2.1,288,0
Trade Development and Promotion,"122,466,126","20,544,903","101,921,223",16.7,288,0
Industrial Development and Investments,-,-,-,-,288,0
Promotion of Industrial Development and Investments,-,-,-,-,288,0
Tourism Development and Promotion,"490,420,000","126,732,975","363,687,024",25.8,288,0
Tourism Promotion and Marketing,"490,420,000","126,732,975","363,687,024",25.8,288,0
Tourism Development and Promotion,-,-,-,-,288,0
Tourism Promotion and Marketing,-,-,-,-,288,0
Preventive & Promotive Health Services,-,-,-,-,288,0
Health Promotion,-,-,-,-,288,0
Preventive & Promotive Health Services,"864,720,000","464,245,567","400,474,433",53.7,288,0
Health Promotion,"864,720,000","464,245,567","400,474,433",53.7,288,0
