Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)",Absorption (%),page_number,table_index,Actual Payments (Kshs),"Variance
(Kshs.)"
Public Service Board,"General Administration, Planning
and Support Services","52,582,963","17,377,174","35,205,789",33.0,148,0,,
,Coordination and Supervision,"2,922,200","278,600","2,643,600",9.5,148,0,,
,Human Resource Development,"5,100,000","1,581,365","3,518,635",31.0,148,0,,
,Performance Management,"4,553,038","1,140,532","3,412,506",25.0,148,0,,
,Sub total,"65,158,201","20,377,671","44,780,530",31.3,148,0,,
Kilifi Municipality,General Administration,"25,000,000","1,918,216","23,081,784",7.7,148,0,,
,Sub total,"25,000,000","1,918,216","23,081,784",7.7,148,0,,
Malindi Municipality,General Administration,"71,000,000","1,680,310","69,319,690",2.4,148,0,,
,Sub total,"71,000,000","1,680,310","69,319,690",2.4,148,0,,
"Physical Planning &
Urban Development",General Administration,"211,211,458","377,400","210,834,058",0.2,148,0,,
,Sub total,"211,211,458","377,400","210,834,058",0.2,148,0,,
ICT,General Administration,"81,855,754",,"81,855,754",0.0,148,0,,
,Sub total,"81,855,754",-,0,0.0,148,0,,
Water & Sanitation,"General Administration, Planning
and Support Services","193,077,617","68,655,819","124,421,798",35.6,148,0,,
,Water Resource management,"1,255,258,137","23,158,988","1,232,099,149",1.8,148,0,,
,Sub total,"1,448,335,754","91,814,806","1,356,520,948",6.3,148,0,,
Grand Total,,"14,677,777,384","2,000,707,139","12,677,070,245",13.6,148,0,,
Legislation and Oversight,,"1,070,254,050",,,24.,153,1,"257,147,153.00","813,106,897"
Sub Total,,"1,070,254,050",,,24,153,1,"257,147,153","813,106,897"
"Office of the Governor and
Deputy Governor","070601 County Executive
Services","305,960,284",,,44.9,153,1,"137,466,166.30","168,494,118"
"County Executive Administra-
tion","070701County Executive
Services","149,097,638",,,27.3,153,1,"40,679,206.50","108,418,432"
Management of County Affairs,"070801 Coordination of
County Functions","111,452,000",,,72.9,153,1,"81,248,150.25","30,203,850"
"County Executive Committee
Affairs","070901 Organization of
County Business","6,200,000",,,37.4,153,1,"2,318,200.00","3,881,800"
County Public Service Board,"071001 Human Resource
Management","13,253,640",,,18.4,153,1,"2,440,991.70","10,812,648"
Administrative Support Services,020202 ICT Governance,"5,480,000",,,22.9,153,1,"1,257,613.00","4,222,387"
,"020701 Government Build-
ings Services","2,567,000",,,7.9,153,1,"203,868.00","2,363,132"
,070411 Audit Committee,"1,919,000",,,39.7,153,1,"762,649.00","1,156,351"
,"070412 County Enforcement
Activities","4,185,000",,,35.1,153,1,"1,469,550.00","2,715,450"
,"070413 ICT Infrastructure
Development Management","13,458,800",,,54.3,153,1,"7,302,400.00","6,156,400"
,"070414 ICT Systems Devel-
opment Management","17,314,717",,,10.3,153,1,"1,789,044.00","15,525,673"
Sub Total,,"630,888,079",,,43.9,153,1,"276,937,839","353,950,240"
Public Finance Management,070401 Finance Services,"675,440,776",,,27.6,153,1,"186,648,727.30","490,792,049"
,070402 Revenue Services,"22,864,008",,,36.4,153,1,"8,325,077.65","14,538,930"
,"070404 Procurement and
Supply Services","6,446,500",,,42.9,153,1,"2,765,728.50","3,680,772"
,"070405 Internal Audit Ser-
vices","1,318,200",,,34.9,153,1,"459,616.00","858,584"
,"070408 Budget Formulation,
Coordination and Manage-
ment","9,224,520",,,49.1,153,1,"4,531,716.00","4,692,804"
,070409 Accounting Services,"5,477,500",,,59.5,153,1,"3,261,742.45","2,215,758"
"County Planning and Economic
Policy Management","070501 Economic Planning
Services","4,516,246",,,73.1,154,0,"3,299,774.10","1,216,472"
Sub Total,,"725,287,750.00",,,28.9,154,0,"209,292,382.00","515,995,368.00"
"Curative and Rehabilitative
Services","040301 Curative and Reha-
bilitative Services","2,269,457,747",,,40.2,154,0,"912,787,732.00","1,356,670,015"
Sub Total,,"2,269,457,747",,,40.2,154,0,"912,787,732","1,356,670,015"
Basic Education,"050101 General Adminis-
tration","215,396,229",,,62.8,154,0,"135,282,259.00","80,113,970"
,"050102 Free Pre- Primary
Education","2,770,000",,,38.0,154,0,"1,053,895.00","1,716,105"
"State Education Function
Support",050203 Tertiary Education,"54,038,344",,,-,154,0,-,"54,038,344"
"Technical and Vocational
Training","050301 Village Polytech-
nique","27,578,394",,,98.3,154,0,"27,109,389.00","469,005"
Sub Total,,"299,782,967",,,54.5,154,0,"163,445,543","136,337,424"
"Livestock Resource Management
and Development","010102 Livestock Extension
and Capacity Building Ser-
vices","305,000",,,37.3,154,0,"113,760.00","191,240"
,"010105 Livestock Produc-
tion Management","2,480,000",,,9.9,154,0,"245,624.00","2,234,376"
,"010106 Livestock Disease
Management & Control","1,200,000",,,21.1,154,0,"252,985.00","947,015"
"Crop Development and Man-
agement","010202 Agricultural Exten-
sion Services","1,500,000",,,44.7,154,0,"670,688.00","829,312"
,"010203 Agribusiness and
Market Development","320,000",,,27.8,154,0,"88,975.00","231,025"
,"010206 Land and Crop De-
velopment","1,331,000",,,27.9,154,0,"371,608.00","959,392"
,"010207 Food Security Ini-
tiatives","400,000",,,87.3,154,0,"349,120.00","50,880"
"Kamweti Agricultural Training
Centre",Extension and Training,,,,,154,0,-,-
Fisheries Development,"010402 Aquaculture Devel-
opment","200,000",,,-,154,0,-,"200,000"
"Policy Strategy and Management
of Agriculture","010801 Development of Ag-
ricultural Policy","543,000",,,71.2,154,0,"386,554.00","156,446"
,"010601 General Administra-
tion and Planning","774,021,812",,,20.1,154,0,"155,822,885.00","618,198,927"
Sub Total,,"782,300,812",,,20.2,154,0,"158,302,199","623,998,613"
Culture,Social Welfare Services,"10,687,000",,,3.5,154,0,"368,800.00","10,318,200"
,"091201 Gender Administra-
tion Services","30,821,210",,,44.5,154,0,"13,705,950.00","17,115,260"
,"091301 Gender and Social
Development","10,990,000",,,0.5,154,0,"57,000.00","10,933,000"
Youth,"090901 Youth Development
and Empowerment Services","670,000",,,10.6,154,0,"71,000.00","599,000"
Sub Total,,"53,168,210",,,26.7,154,0,"14,202,750","38,965,460"
Sports,"09701 General Administra-
tion","12,221,217",,,28.2,154,0,"3,451,214.00","8,770,003"
,"090801 Development of
Sports and Sports Facilities","34,100,000",,,6.0,154,0,"2,043,104.00","32,056,896"
,"091401 Management & De-
velopment of Sports and
Sports Facilities","825,000",,,11.0,154,0,"90,900.00","734,100"
Social Services,090702 Social Services,-,,,,154,0,-,-
,"091601Control & Campaign
Against Drug & Substance
Abuse","1,549,000",,,100.0,154,0,"1,549,000.00",-
,"091701 Preservation & Pro-
motion of Heritage and Cul-
ture","248,800",,,25.2,154,0,"62,600.00","186,200"
Children Services,"091101 Child Community
Support Services","5,764,000",,,1.1,154,0,"64,857.00","5,699,143"
Sub Total,,"54,708,017",,,13.3,154,0,"7,261,675","47,446,342"
"Trade Development and Invest-
ment","030401 General Administra-
tion and Planning","37,773,441",,,30.8,155,0,"11,622,603.00","26,150,838"
,"030103 Capacity Building
for Traders and SME's","1,527,000",,,3.3,155,0,"50,000.00","1,477,000"
