Programme,Sub- Programme,"Approved Budget Ac
(Kshs) (K","tual Payments
V
shs)",ariance (Kshs),Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs)
OFFICE OF THE GOVERNOR,,,,,,205,2,,,
Sub-programme 1,Office of the Governor,"341,181,357","108,257,489","232,923,868",31.7,205,2,,,
Sub-programme 2,Transport Services,,,,19.4,206,0,"27,135,676","5,257,759","21,877,917"
Sub-programme 3,"Human Resource and Administration Sec-
tion",,,,17,206,0,"86,840,760","14,724,725","72,116,035"
Sub-programme 4,ICT Section,,,,22.6,206,0,"13,387,204","3,023,107","10,364,097"
Sub-programme 5,Hospitality Services Section,,,,46.5,206,0,"14,580,000","6,777,743","7,802,257"
Sub-programme 6,Cabinet Office,,,,7.7,206,0,"6,493,175","500,000","5,993,175"
Sub-programme 7,Office of the Deputy Governor,,,,17.3,206,0,"36,000,000","6,218,450","29,781,550"
Sub-programme 8,"Directorate of Projects Delivery,Monitoring
and Evaluation",,,,-,206,0,"9,759,080",-,"9,759,080"
Sub-programme 9,Office of the County Secretary,,,,0.3,206,0,"13,466,246","40,000","13,426,246"
Sub-programme 10,Office of the County Advisors,,,,-,206,0,"8,954,060",-,"8,954,060"
TOTAL,,,,,26.0,206,0,"557,797,558","144,799,273","412,998,285"
"PUBLIC SERVICE,QUALITY MANAGEMENT AND ICT",,,,,,206,0,,,
Sub-programme 1,General Administration and support services,,,,53.1,206,0,"329,202,369","174,861,301","154,341,068"
Sub-programme 2,Quality Management,,,,-,206,0,"625,000",-,"625,000"
Sub-programme 3,"Training,Research and Development",,,,0.5,206,0,"50,009,537","265,200","49,744,337"
Sub-programme 4,Information Communication Technology,,,,-,206,0,"4,875,011",-,"4,875,011"
Sub-programme 5,ICT Infrastructure,,,,-,206,0,"23,268,549",-,"23,268,549"
Sub-programme 6,Closed Circuit Television,,,,-,206,0,"8,125,500",-,"8,125,500"
TOTAL,,,,,42.1,206,0,"416,105,966","175,126,501","240,979,465"
"TRADE,INDUSTRIALIZATION AND INNOVATION",,,,,,206,0,,,
Sub-programme 1,Headquarter Administration Services,,,,34.2,206,0,"55,466,852","18,949,536","36,517,316"
Sub-programme 2,Trade Development,,,,1.6,206,0,"93,978,274","1,504,450","92,473,824"
Sub-programme 3,Business and Enterprise Development,,,,-,206,0,"16,771,939",-,"16,771,939"
Sub-programme 4,Industrialization and Innovation,,,,-,206,0,"35,000,000",-,"35,000,000"
Sub-programme 5,Investment Facilitation and Support,,,,6.3,206,0,"11,410,890","715,000","10,695,890"
Sub-programme 6,Hygiene and Sanitation,,,,36.3,206,0,"5,808,080","2,109,300","3,698,780"
Sub-programme 7,Legal Services,,,,46.0,206,0,"11,756,150","5,406,089","6,350,061"
TOTAL,,,,,12.5,206,0,"230,192,185","28,684,375","201,507,810"
FINANCE AND ECONOMIC PLANNING,,,,,,206,0,,,
Sub-programme 1,Revenue Management,,,,41.6,206,0,"66,491,789","27,637,843","38,853,946"
Sub-programme 2,"Budget formulation, Coordination and Im-
plementation Section",,,,92.1,206,0,"3,642,059","3,353,170","288,889"
Sub-programme 3,Supply Chain Management Section,,,,-,206,0,-,-,-
Sub-programme 4,Accounts Section,,,,36.4,206,0,"2,748,771","1,000,000","1,748,771"
Sub-programme 5,Audit Section,,,,-,206,0,"2,700,000",-,"2,700,000"
Sub-programme 6,"Human Resource Management and Support
Services",,,,14.5,206,0,"376,084,863","54,466,823","321,618,040"
Sub-programme 7,Economic Planning and Statistical Services,,,,41.6,206,0,"11,597,030","4,828,988","6,768,042"
Sub-programme 8,External Resource Mobilization,,,,-,206,0,"900,003",-,"900,003"
TOTAL,,,,,19.7,206,0,"464,164,515","91,286,824","372,877,691"
COUNTY ADMINISTRATION AND DECENTRALIZED UNITS,,,,,,206,0,,,
Sub-programme 1,General Administration and support services,,,,31.2,206,0,"412,173,174","128,657,831","283,515,343"
Sub-programme 2,Civic Engagement,,,,-,206,0,"2,500,000",-,"2,500,000"
Sub-programme 3,Administration and Co-ordination Services,,,,-,206,0,-,-,-
Sub-programme 4,Solid Waste Management,,,,40.1,206,0,"11,000,000","4,412,542","6,587,458"
Sub-programme 5,Sanitation Management,,,,-,206,0,"5,000,000",-,"5,000,000"
Sub-programme 6,Forensic and Inspectorate Services,,,,-,206,0,"2,000,000",-,"2,000,000"
Sub-programme 7,Inspectorate Services and Management,,,,-,206,0,"5,000,000",-,"5,000,000"
TOTAL,,,,,30.4,206,0,"437,673,174","133,070,373","304,602,801"
"AGRICULTURE, FOOD SECURITY AND CO-OPERATIVE DEVELOPMENT",,,,,,206,0,,,
Sub-programme 1,General Administration and support services,,,,44.3,206,0,"401,078,182","177,726,979","223,351,203"
Sub-programme 2,Crop Development and Management,,,,35.8,206,0,"70,405,627","25,207,255","45,198,372"
Sub-programme 3,"Livestock Resources Management and De-
velopment",,,,3.4,206,0,"51,831,291","1,741,379","50,089,912"
Sub-programme 4,Fisheries Development,,,,-,206,0,"10,734,848",-,"10,734,848"
Sub-programme 5,Veterinary Services,,,,-,206,0,"27,901,008",-,"27,901,008"
Sub-programme 6,Agriculture Training Centre,,,,-,206,0,"2,000,000",-,"2,000,000"
Sub-programme 7,Co-operative Development and Marketing,,,,19.2,206,0,"4,900,000","938,400","3,961,600"
Sub-programme 8,Capacity Building to Co-operative Societies,,,,-,206,0,-,-,-
Sub-programme 7,"Promotion of Co-operative Marketing and
Value Chain",,,,-,206,0,"1,500,000",-,"1,500,000"
Sub-programme 8,Co-operative Financial Services,,,,-,206,0,-,-,-
Sub-programme 9,"Promotion and growth of Co-operative So-
cieties",,,,-,207,0,"900,000",-,"900,000"
Sub-programme 10,Co-operative Audit Support Services,,,,-,207,0,-,-,-
TOTAL,,,,,36.0,207,0,"571,250,956","205,614,014","365,636,942"
"WATER, IRRIGATION,ENVIRONMENT AND NATURAL RESOURCES",,,,,,207,0,,,
Sub-programme 1,Water Supply and Sewerage,,,,26,207,0,"355,300,909","92,243,882","263,057,027"
Sub-programme 2,"Irrigation Schemes, Development and Pro-
motion",,,,27.4,207,0,"206,466,851","56,649,904","149,816,947"
Sub-programme 3,"Development and Promotion of Irrigation
Schemes",,,,-,207,0,-,-,-
Sub-programme 4,General Administration and support services,,,,25.0,207,0,"39,782,480","9,964,562","29,817,918"
Sub-programme 5,Environment and Natural Resources,,,,30.3,207,0,"37,698,019","11,420,878","26,277,141"
TOTAL,,,,,26.6,207,0,"639,248,259","170,279,226","468,969,033"
HEALTH AND EMERGENCY SERVICES,,,,,,207,0,,,
Sub-programme 1,General Administration and support services,,,,47.7,207,0,"3,228,918,806","1,541,398,597","1,687,520,209"
Sub-programme 2,Machakos Level 5,,,,17.6,207,0,"656,661,136","115,600,923","541,060,213"
Sub-programme 3,Kangundo Level 4,,,,67.4,207,0,"36,967,617","24,907,745","12,059,872"
Sub-programme 4,Matuu Level 4,,,,65.3,207,0,"34,123,954","22,296,029","11,827,925"
Sub-programme 5,Kathiani Level 4,,,,-,207,0,"22,749,302",-,"22,749,302"
Sub-programme 6,Mwala Level 4,,,,22,207,0,"11,374,651","2,505,000","8,869,651"
Sub-programme 7,Public Health and Comminity Outreach,,,,1.1,207,0,"91,820,163","1,028,250","90,791,913"
Sub-programme 8,Emergency Services,,,,-,207,0,"17,984,435",-,"17,984,435"
TOTAL,,,,,41.6,207,0,"4,100,600,064","1,707,736,544","2,392,863,520"
"ROADS, TRANSPORT AND PUBLIC WORKS",,,,,,207,0,,,
Sub-programme 1,Head quarter Administrative services,,,,29.3,207,0,"257,242,556","75,398,605","181,843,951"
Sub-programme 2,,,,,,207,0,,,
Sub-programme 3,County Government Buildings,,,,76.6,207,0,"213,725,949","163,608,048","50,117,901"
Sub-programme 4,County Fleet Management,,,,59.3,207,0,"65,000,000","38,562,532","26,437,468"
TOTAL,,,,,34.5,207,0,"1,282,217,310","442,346,703","839,870,607"
"EDUCATION,YOUTH AND SOCIAL WELFARE",,,,,,207,0,,,
Sub-programme 1,Head quarter Administrative services,,,,15.7,207,0,"478,069,486","75,053,161","403,016,325"
Sub-programme 2,Basic Education,,,,-,207,0,"7,000,000",-,"7,000,000"
Sub-programme 3,Youth Development Services,,,,-,207,0,"100,192,410",-,"100,192,410"
Sub-programme 4,Gender and Social Services,,,,13.5,207,0,"10,000,000","1,353,600","8,646,400"
TOTAL,,,,,12.8,207,0,"595,261,896","76,406,761","518,855,135"
"ENERGY,LANDS,HOUSING AND URBAN DEVELOPMENT",,,,,,207,0,,,
Sub-programme 1,Lands,,,,23.5,207,0,"63,903,860","15,014,448","48,889,412"
Sub-programme 2,Energy and Natural Resources,,,,8,207,0,"75,238,842","6,030,442","69,208,400"
Sub-programme 3,Housing and Urban Development,,,,19,207,0,"29,777,391","5,657,166","24,120,225"
TOTAL,,,,,15.8,207,0,"168,920,093","26,702,056","142,218,037"
"TOURISM,CULTURE,YOUTH AND SPORTS",,,,,,207,0,,,
Sub-programme 1,General administrative and Support Services,,,,33.1,207,0,"89,967,332","29,744,121","60,223,211"
Sub-programme 2,Heritage & Culture,,,,-,207,0,"2,928,986",-,"2,928,986"
Sub-programme 3,Liquor Management,,,,-,207,0,"159,695",-,"159,695"
Sub-programme 4,Tourism Development and Marketing,,,,0.1,207,0,"24,295,129","30,000","24,265,129"
Sub-programme 5,Machawood,,,,-,207,0,"2,790,873",-,"2,790,873"
Sub-programme 6,County Image Directorate,,,,-,207,0,"1,800,000",-,"1,800,000"
Sub-programme 7,Youth and Sports,,,,31.3,207,0,"110,757,740","34,680,783","76,076,957"
TOTAL,,,,,27.7,207,0,"232,699,755","64,454,904","168,244,851"
COUNTY PUBLIC SERVICE BOARD,,,,,,207,0,,,
Sub-programme 1,Human Resource and Administration,,,,27.3,207,0,"47,658,601","13,023,009","34,635,593"
TOTAL,,,,,27.3,207,0,"47,658,601","13,023,009","34,635,593"
COUNTY ASSEMBLY,,,,,,207,0,,,
Sub-programme 1,Legislation and Oversight,,,,31.8,207,0,"1,276,145,156","405,930,254","870,214,902"
TOTAL,,,,,31.8,207,0,"1,276,145,156","405,930,254","870,214,902"
GRAND TOTAL,,,,,33.4,207,0,"11,019,935,488","3,685,460,816","7,334,474,672"
