Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"THE EXECUTIVE OF-
FICE",,,,,,384,1
"0701003360 P1 County Ex-
ecutive Services","0701003360 P1 County Executive Ser-
vices","410,625,059","222,429,028","188,196,031",54.2,384,1
,Sub total,"410,625,059","222,429,028","188,196,031",54.2,384,1
"THE COUNTY ASSEM-
BLY",,,,,,384,1
"General admin & support
services(0701003710)","0715003360 P15 County Legislative Ser-
vices","870,194,403","465,393,089","404,801,314",53.5,384,1
,,,,,,384,1
,,,,,,384,1
,Sub total,"870,194,403","465,393,089","404,801,314",53.5,384,1
"FINANCE AND ECO-
NOMIC PLANNING",,,,,!,384,1
"0701003360 P1Kenya Devo-
lution Support programme","0701003360 P1Kenya Devolution Support
programme","125,000,000",-,"125,000,000",-,384,1
"0708003360 P8 Economic
Planning Services","0708003360 P8 Economic Planning Ser-
vices","14,571,877",-,"14,571,877",-,385,0
"0717003360 P17 General
Administration and Support
Services","0717003360 P17 General Administration
and Support Services","455,320,641","210,428,911","244,891,730",46.2,385,0
,Sub total,"620,320,641","210,428,911","409,891,730",33.9,385,0
"ROADS TRANSPORT
AND PUBLIC WORKS",,,,,,385,0
"0201003360 P1 Road Trans-
port Services",0201003360 P1 Road Transport Services,"907,655,024","242,569,685","665,085,339",26.7,385,0
"0202003360 P2 Public
Works and Transport Ser-
vices","0202003360 P2 Public Works and Trans-
port Services","42,925,805","20,000,940","22,924,865",46.6,385,0
"0208003360 P8 General Ad-
ministration and Support
Services","0208003360 P8 General Administration
and Support Services","91,732,455","42,863,000","48,869,455",46.7,385,0
,Sub total,"1,042,313,284","305,433,625","736,879,659",29.3,385,0
"AGRICULTURE AND
LIVESTOCK DEVELOP-
MENT",,,,,,385,0
1001003360 P1,"1001003360 P1 ,General Administration","164,309,058","77,163,100","87,145,958",47.0,385,0
1001003361 P2,Livestock Resource management,"57,588,600","20,000,000","37,588,600",34.7,385,0
1001003360 P3,Veterinary Support Services,"54,348,209",-,"54,348,209",-,385,0
1001003360 P4,Crop Development and Management,"27,658,600",-,"27,658,600",-,385,0
1001003360 P5,Fisheries Development and Management,-,-,-,-,385,0
1001003360 P6,Irrigation Management Service,"124,000,000",-,"124,000,000",-,385,0
1001003360 P7,Kenya Climate Smart Agriculture,"320,674,320","254,654,160","66,020,160",79.4,385,0
1001003360 P8,"Agriculture Sector Development support
prog","17,532,329",-,"17,532,329",-,385,0
1001003360 P9,"Agriculture Sector Development support
prog",,,,,385,0
,Sub total,"766,111,116","351,817,260","414,293,856",45.9,385,0
"PUBLIC HEALTH , MEDI-
CAL SERVICE AND SAN-
ITATION",,,,,,385,0
"0401003360 P1 Curative,
Rehabilitative and Referral
Services","0401003360 P1 Curative, Rehabilitative
and Referral Services","468,971,124","74,000,000",,15.8,385,0
"0402003360 P2 Preventive
and promotive services","0402003360 P2 Preventive and promotive
services","157,575,000",,,-,385,0
"3360 Covid -19 special al-
lowance",3360 Covid -19 special allowance,"35,070,000","35,070,000",-,100.0,385,0
0406003360 P6 RMNCH,0406003360 P6 RMNCH,"295,732,057",,,-,385,0
"0407003360 P7 TB & HIV-
AIDS",Danida,"33,750,000","9,450,000","24,300,000",28.0,385,0
"0408003360 P8 Health Re-
search Services",0408003360 P8 Health Research Services,"258,110,000",,,-,385,0
"0403003360 P3 General Ad-
ministration and Support
Services","0403003360 P3 General Administration
and Support Services","1,683,031,985","900,498,572","782,533,413",53.5,385,0
,Sub total,"2,932,240,166","1,009,568,572","1,922,671,594",34.4,385,0
WATER,,,,,,385,0
