col_0,Programmes,Sub Programmes,col_3,"Approved Budget
(Kshs)",Actual payment Kshs),"Variance
( Kshs)","Absorp-
tion Rate
(%)",page_number,table_index
,Development,,,"279,756,170","9,370,831","270,385,339.2",3,49,0
"Agriculture Cooperatives And
Marketing",,,,,,0.0,,49,0
,"Operation and
maintenance","Use of Goods and Services
sub total",,"25,155,546","4,135,900.00","21,019,646.0",16,49,0
,Development,,,"344,758,274",-,"344,758,274.0",0,49,0
"Water San-
itation And
Enviroment",,"Policy planning and ad-
ministrative services",,,,0.0,,49,0
,,"Support to Bomet Water
Company (Grants)",,"80,000,000","24,900,000","55,100,000.0",44,49,0
,,,,,,0.0,,49,0
,"Operation and
maintenance","Use of Goods and Ser-
vices",,"24,250,000","4,759,385","19,490,615",19.6,49,0
,,Sub-Total,,"104,250,000","29,659,385","74,590,615.0",28.45,49,0
,Development,,,"372,182,407","3,001,092","369,181,315.0",1,49,0
"Educa-
tion And
Vocational
Trainings",,,,,,0.0,,49,0
,"Operations and
Maintenance","Use of Goods and
Services",,"151,470,250.00","5,397,050.00","146,073,200.0",4,49,0
,Development,,,"142,799,894.00","32,869,740.10","109,930,153.9",23,49,0
"Roads Public
Works And
Transport",,,,,,0.0,,49,0
,"Policy planning and
administrative ser-
vices","Use of goods and ser-
vices",,"64,382,125","10,376,006.00","54,006,119.0",16,49,0
,"Policy Development
(Roads)",,,"2,500,000.00",-,"2,500,000.0",0,49,0
,,Sub-Total,,"66,882,125.00","10,376,006.00","56,506,119.0",16,49,0
,Development,,,"662,180,469.00","157,393,225.25","504,787,243.8",24,49,0
"Trade Ener-
gy Tourism
Industry
And Invest-
ment","Operations and
Maintenance","Used of Goods and
services",,"20,650,000",-,"20,650,000.0",0,49,0
,Development,,,"62,000,000",-,"62,000,000.0",0,49,0
"County
Assembly",,,,,,0.0,,49,0
,"P1 County Assem-
bly Legislative Ser-
vices","SP 1.2: Committee
Services",,"31,630,578.10","17,389,900.00","14,240,678.1",55,49,0
,,"SP 2.2: Public Partici-
pation",,"3,410,000.00","858,900.00","2,551,100.0",25,49,0
,"P2 Oversight Pre-
sentation","SP 2.1: Decentraliza-
tion of Services",,"30,000,000.00","19,902,049.00","10,097,951.0",66,49,0
,,"SP 3.2: Administrative
Services",,"298,121,526.00","122,286,419.00","175,835,107.0",41,49,0
,"Personal emolu-
ments",Personal emoluments,,"308,200,000","144,270,686","163,929,314.0",47,49,0
,,"Operation & mainte-
nance",,"298,121,526","122,286,419","175,835,107.0",41,49,0
,,Development,,"115,000,000","64,684,270","50,315,729.1",56,49,0
,,Personal emoluments,,"2,532,880,000","1,401,696,172","1,131,183,828.0",55,49,0
,,"Operation & mainte-
nance",,"2,291,944,088","538,583,474","1,753,360,613.2",23,49,0
,,Development,,"2,498,031,188","377,426,715","2,120,604,472.1",15,49,0
Total,,TOTAL,,"7,322,855,276","2,317,706,362","5,005,148,913.3",32,49,0
