Program,Sub-Program,"Approved Budget
(Kshs)","Actual Expenditure
(Kshs.)",Variance (Kshs),Absorption (%),page_number,table_index
"County Housing Devel-
opment",County Housing Development,"16,330,662","1,384,538","14,946,124",8.48,337,0
,Housing Development,"3,788,662","687,500","3,101,162",18.15,337,0
,Urbanization,"6,542,000","697,038","5,844,962",10.65,337,0
Urban Development,Urban Development,"113,800,000","55,653,910","58,146,090",48.91,337,0
,Hola Municipality,"113,800,000","55,653,910","58,146,090",48.91,337,0
"Administration and
Support Services","Administration and Support Ser-
vices","28,049,569","399,993","27,649,576",1.43,337,0
,"Administration, planning & sup-
port Services","28,049,569","399,993","27,649,576",1.43,337,0
"Promotion of Trade,
Tourism and Coopera-
tive Development","Promotion of Trade, Tourism and
Cooperative Development","83,863,538","4,122,944","79,740,594",4.92,337,0
,Promotion of Trade,"66,672,396","2,707,094","63,965,302",4.06,337,0
,Promotion of Tourism,"12,657,704","793,250","11,864,454",6.27,337,0
,"Promotion of Cooperative Devel-
opment","4,533,438","622,600","3,910,838",13.73,338,0
"Administration and
Support Services","Administration and Support Ser-
vices","1,091,230,455","39,260,386","1,051,970,069",3.6,338,0
,"Administration, planning & sup-
port Services","1,091,230,455","39,260,386","1,051,970,069",3.6,338,0
"Curative and Rehabili-
tative",Curative and Rehabilitative,"287,600,000","16,708,950","270,891,050",5.81,338,0
,Medical Supplies,"152,300,000","7,802,000","144,498,000",5.12,338,0
,Medical Services,"78,500,000","6,257,050","72,242,950",7.97,338,0
,Ambulance Services,"56,800,000","2,649,900","54,150,100",4.67,338,0
"Preventive and Promo-
tive",Preventive and Promotive,"14,845,800","3,638,306","11,207,494",24.51,338,0
,Preventive and Promotive,"9,050,000","2,063,606","6,986,394",22.8,338,0
,"Licensing and Control of Under-
taking","3,295,800","1,339,500","1,956,300",40.64,338,0
,Mobile Clinics,"2,500,000","235,200","2,264,800",9.41,338,0
"General Administra-
tion, Planning and Sup-
port Services","General Administration, Plan-
ning and Support services","328,043,093","77,857,600","250,185,493",23.73,338,0
,"General operation, Planning and
support services","328,043,093","77,857,600","250,185,493",23.73,338,0
"Quality and Standard
Assurance in EYE Cen-
tre","Quality and Standard Assurance
in EYE Centre","153,850,000","1,193,400","152,656,600",0.78,338,0
,"ECDE Learning/Teaching Mate-
rials","53,745,000","1,193,400","52,551,600",2.22,338,0
"Vocational Training
Centres and Adult Ed-
ucation","Vocational Training Centres and
Adult Education","72,164,894","7,531,500","64,633,394",10.44,338,0
,"Youth Polytechnic Publicity Cam-
paigns","2,120,000","496,500","1,623,500",23.42,338,0
,"Provision of Modern Tools and
Equipment","380,000","35,000","345,000",9.21,338,0
,"Subsidized Youth Polytechnic Tui-
tion Fund (SYPT)","69,664,894","7,000,000","62,664,894",10.05,338,0
"Administration, Plan-
ning Support Services","Administration, planning sup-
port services","252,953,662","34,557,514","218,396,148",13.66,338,0
,"Coordination and Supervisory Ser-
vices","252,953,662","34,557,514","218,396,148",13.66,338,0
"Administration, Plan-
ning Support Services","Administration, planning sup-
port services","921,423,250","278,265,075","643,158,175",30.2,338,0
,"Administration, planning support
services","921,423,250","278,265,075","643,158,175",30.2,338,0
Financial Management,Financial Management,"819,894,878","416,577,894","403,316,984",50.81,338,0
,Financial management,"8,242,957","2,900,950","5,342,007",35.19,338,0
,Supply Chain Managements,"11,105,000","3,738,468","7,366,532",33.66,338,0
,Own Source Revenue Collection,"17,250,000","3,909,000","13,341,000",22.66,338,0
,Budget and Economic Planning,"8,349,306","3,427,058","4,922,248",41.05,338,0
,Accounting & Finance,"756,659,006","391,629,179","365,029,827",51.76,338,0
,Internal Audit,"6,531,566","3,978,440","2,553,126",60.91,338,0
,Monitoring and Evaluation,"11,757,043","6,994,800","4,762,243",59.49,338,0
"Board Administration,
Planning and Gover-
nance","Board Administration, Planning
and Governance","52,879,548","2,550,887","50,328,662",4.82,338,0
,Board Operations & Governance,"52,879,548","2,550,887","50,328,662",4.82,338,0
,General administration,"8,432,000","3,303,800","5,128,200",39.18,338,0
,"Ethics Governance and Compli-
ance","3,132,000","1,215,860","1,916,140",38.82,338,0
,"Human Resource Management &
Development","2,900,000","1,141,800","1,758,200",39.37,338,0
,"Skills and Competence Develop-
ment","2,400,000","946,140","1,453,860",39.42,338,0
"Performance Manage-
ment System","Performance Management Sys-
tem","4,929,000","214,500","4,714,500",4.35,338,0
,Performance Management System,"2,869,416","214,500","2,654,916",7.48,338,0
,County Administration,"2,129,000","1,224,889","904,111",57.53,338,0
