Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Executive,,,,,,281,0
"General Administration and
Planning",General Administration and Planning,"332,983,927","164,146,778","168,837,149",49.3,281,0
,Sub total,"332,983,927","164,146,778","168,837,149",49.3,281,0
Physical Infrastructure,Construction of Governor's Offices,"30,000,000",-,"30,000,000",0.0,281,0
,Sub total,"30,000,000",-,"30,000,000",0.0,281,0
"Finance and Economic
Planning",,,,,,281,0
"General Administration and
Planning",General Administration and Planning,"407,381,387","194,515,985","212,865,402",47.7,281,0
,Sub total,"407,381,387","194,515,985","212,865,402",47.7,281,0
"Revenue Enhancement and
Infrastructure","Revenue Collection and Management
Phase 1","10,000,000",-,"10,000,000",0.0,281,0
,Sub total,"10,000,000",-,"10,000,000",0.0,281,0
"Devolved Units and Special
Programmes",,,,,,281,0
"Administration and Support
of Human Resources",Administrative Support Services,"460,971,378","220,043,043","240,928,335",47.7,281,0
,ICT Support Services,"13,500,000",-,"13,500,000",0.0,281,0
,Sub total,"474,471,378","220,043,043","254,428,335",46.4,281,0
"County Administrative Ser-
vices","Urban Planning, Investment and Research","191,346,920",-,"191,346,920",0.0,281,0
,Sub total,"191,346,920",-,"191,346,920",0.0,281,0
Health and Sanitation,,,,,,281,0
"Health Service Delivery Ad-
ministration Services","Health Service Delivery Administration
Services","1,897,509,456","930,659,871","966,849,585",49.0,281,0
,Construction of building,"335,976,629","57,399,500","278,577,129",17.1,281,0
,Sub total,"2,233,486,085","988,059,371","1,245,426,714",44.2,281,0
"Preventive & Promotive
Health Services",Community Health Services,"391,537,664","164,176,256","227,361,408",41.9,281,0
,Sub total,"391,537,664","164,176,256","227,361,408",41.9,281,0
Curative Health Services,Curative Health Management Services,"126,796,289","38,215,410","88,580,879",30.1,281,0
,Sub total,"126,796,289","38,215,410","88,580,879",30.1,281,0
"Health Sector Pro-
gramme Support
(DANIDA FUNDS)","County Health Facilities Support (DANI-
DA)","18,808,500","9,189,550","9,618,950",48.9,281,0
,Sub total,"18,808,500","18,808,500","9,189,550",48.9,281,0
"Agriculture, Livestock and
Fisheries",,,,,,281,0
"Administration and
general support
services",Administration and support services,"287,319,034","135,825,028","151,494,006",47.3,281,0
,Sub total,"287,319,034","135,825,028","151,494,006",47.3,281,0
"Crop Development and
Management",Land and Crops Development,"232,246,023","157,805,955","74,440,068",67.9,281,0
,Value addition to Agricultural Products,-,-,-,-,281,0
,Sub total,"232,246,023","157,805,955","74,440,068",67.9,281,0
"Livestock Resources Man-
agement and Development",Livestock Production and Management,"289,214,130","16,218,354","272,995,776",5.6,281,0
,Sub total,"289,214,130","16,218,354","272,995,776",5.6,281,0
"Tourism, Culture and Co-
operative Development",,,,,,281,0
"General Administration
and Planning",General Administration and Planning,"32,574,072","12,660,067","19,914,005",38.9,281,0
,Sub total,"32,574,072","12,660,067","19,914,005",38.9,281,0
Culture,Development and Promotion of Culture,"32,898,000","3,176,780","29,721,220",9.7,281,0
,Sub total,"32,898,000","3,176,780","29,721,220",9.7,281,0
"Youth, Gender and Social
Services",,,,,,281,0
"General Administration
and Planning",General Administration and Planning,"86,425,001","24,473,198","61,951,803",28.3,281,0
,Sub total,"86,425,001","24,473,198","61,951,803",28.3,281,0
Sports Development,Sports Activities and Programs,"73,902,912","1,389,500","72,513,412",1.9,281,0
,Sub total,"73,902,912","1,389,500","72,513,412",1.9,281,0
"Education, Research and
Vocational Training",,,,,,281,0
"General Administration
and Planning",General Administration and Planning,"213,674,617","92,460,581","121,214,036",43.3,281,0
,Sub total,"213,674,617","92,460,581","121,214,036",43.3,281,0
Education,Early Child Development and Education.,"161,868,483","38,721,946","123,146,537",23.9,281,0
,Sub total,"161,868,483","38,721,946","123,146,537",23.9,281,0
"Youth Training and Devel-
opment",Revitalization of Youth Polytechnics,"34,419,894",-,"34,419,894",0.0,281,0
,Sub total,"34,419,894",-,"34,419,894",0.0,281,0
