Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.) (","Variance
Kshs.)",Absorption (%),page_number,table_index,"Actual Payments
(Kshs.)","Variance
(Kshs.)"
,Tourism Event Management,"5,708,860",,,6.1,169,0,"345,500","5,363,360"
,Tourism Standards Development,"3,280,000",,,3.0,169,0,"100,000","3,180,000"
,Sub Total,"20,273,860",,,2.2,169,0,"445,500","19,828,360"
"Administration Plan-
ning and Support",Administration Planning,"108,496,863",,,43.0,169,0,"46,683,676","61,813,187"
,Sub Total,"108,496,863",,,43.0,169,0,"46,683,676","61,813,187"
"Co-Operative Devel-
opment Management",Co – Operative Governance,"51,528,231",,,0.2,169,0,"79,800","51,448,431"
,Sub Total,"51,528,231",,,0.2,169,0,"79,800","51,448,431"
"Enterprise Develop-
ment",Business Development Services,"6,650,000",,,2.6,169,0,"172,000","6,478,000"
,Sub Total,"6,650,000",,,2.6,169,0,"172,000","6,478,000"
"Preventive and Pro-
motive Health Ser-
vices",Environmental Health and Sanitation,"1,492,586,026",,,37.2,169,0,"555,739,735","936,846,291"
,Community Health Strategy,"1,100,000",,,-,169,0,-,"1,100,000"
,Disease Surveillance,"1,200,000",,,0.8,169,0,"9,450","1,950,550"
,Health Promotion Services,"80,511,968",,,2.7,169,0,"2,170,255","78,341,713"
,Sub Total,"1,575,397,994",,,35.4,169,0,"557,919,440","1,017,478,555"
"Health Curative Ser-
vices","Elimination of Communicable and Non –
Communicable Diseases","3,500,000",,,23.7,169,0,"828,350","2,671,650"
,Reproductive Health,"137,797,510",,,20.0,169,0,"27,541,431","110,256,079"
,Sub Total,"141,297,510",,,20.1,169,0,"28,369,781","112,927,729"
"General Administra-
tion, Operational Re-
search and Planning
Services",Governance and Leadership,"73,044,000",,,38.4,169,0,"28,035,224","45,008,776"
,Human Resource For Health,"2,899,119,895,",,,-,169,0,"1,440,755,902","1,458,363,993"
,Sub Total,"2,972,163,895",,,49.4,169,0,"1,468,791,126","1,503,372,769"
"Health Sector Support
Program",Health Promotion Services,"202,341,389",,,17.1,169,0,"34,663,210","167,678,179"
,Sub Total,"202,341,389",,,17.1,169,0,"34,663,210","167,678,179"
"Jaramogi Oginga
Odinga Teaching and
Referral Hospital",J.O.O Teaching and Referral Hospital,"369,070,349",,,8.9,170,0,"33,000,000","336,070,349"
,Sub Total,"369,070,349",,,8.9,170,0,"33,000,000","336,070,349"
"Kisumu County Refer-
ral Hospital",Kisumu County Referral Hospital,"26,740,133",,,6.7,170,0,"1,800,000","24,940,133"
,Sub Total,"26,740,133",,,6.7,170,0,"1,800,000","24,940,133"
"Medical & Bio – Medi-
cal Services",County and Sub – County Hospital Services,"338,848,000",,,4.1,170,0,"13,900,000","324,948,000"
,Sub Total,"338,848,000",,,4.1,170,0,"13,900,000","324,948,000"
"Early Childhood De-
velopment",Promotion of Early Childhood Education,"51,274,053",,,14.6,170,0,"7,495,050","43,779,003"
,Sub Total,"51,274,053",,,14.6,170,0,"7,495,050","43,779,003"
"Youth Training and
Development",Youth Polytechnics Services,"18,000,000",,,1.2,170,0,"218,360","17,781,640"
,Sub Total,"18,000,000",,,1.2,170,0,"218,360","17,781,640"
"Gender and Social De-
velopment",Gender and Disability Mean Streaming,"3,755,000",,,-,170,0,-,"3,755,000"
,Betting Control,"925,000",,,-,170,0,-,"925,000"
,Sub Total,"4,680,000",,,-,170,0,-,"4,680,000"
"Early Childhood Edu-
cation Management",Early Childhood Education,"402,250,000",,,17.1,170,0,"68,629,026","333,620,974"
,Sub Total,"402,250,000",,,17.1,170,0,"68,629,026","333,620,974"
"Sports Management
and Development",Sports Management,"112,768,352",,,0.1,170,0,"67,200","112,701,152"
,Talent Development,"1,561,619",,,-,170,0,-,"1,561,619"
,Sub Total,"114,329,971",,,0.1,170,0,"67,200","114,262,771"
,Sports Academy,"2,288,600",,,23.2,170,0,"530,000","1,758,600"
"Sports Stadia Develop-
ment",,,,,,170,0,,
,Sub Total,"2,288,600",,,23.2,170,0,"530,000","1,758,600"
,Alcoholic Drinks,"1,350,000",,,-,170,0,-,"1,350,000"
Alcoholic Drinks,,,,,-,170,0,,
,Sub Total,"1,350,000",,,-,170,0,-,"1,350,000"
"Pre - Primary Policy
and Legislation",Pre - Primary Policy and Legislation,"21,568,878",,,38.1,170,0,"8,226,917","13,341,961"
,Sub Total,"21,568,878",,,38.1,170,0,"8,226,917","13,341,961"
"Youth Training and
Legislation",Youth Training and Legislation,"135,023,192",,,1.4,170,0,"1,845,000","133,178,192"
,Sub Total,"135,023,192",,,1.4,170,0,"1,845,000","133,178,192"
"General Administra-
tion and Planning Ser-
vices",,,,,-,170,0,,
