Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,"Variance
(Kshs)"
"Spatial, Planning, Survey and
Mapping","Spatial, Planning, Survey and
Mapping","44,600,000","3,781,763",,8.5,234,0,"40,818,237"
Public Works,Public Works,"156,462,844","5,636,620",,-,234,0,"150,826,224"
,Sub Total,"725,469,137","48,096,745",,6.6,234,0,"677,372,393"
Public Service Administration and Legal Affairs,,,,,,234,0,
"General Administration, Plan-
ning and Support Services","General Administration,
Planning and Support Ser-
vices","53,053,525","6,684,858",,12.6,234,0,"46,368,667"
"Coordination of County Gov-
ernment Function","Coordination of County
Government Function","11,685,270","4,154,924",,35.6,234,0,"7,530,346"
County Enforcement Services,"County Law Enforcement
Service","50,758,250","3,191,885",,6.3,234,0,"47,566,365"
,Conservancy Ranger Service,-,-,,-,234,0,-
Human Resource Management,"Human Resource Manage-
ment","810,160,338","401,921,328",,49.6,234,0,"408,239,010"
"Legal Representation and Ad-
visory Services","Legal Representation and
Advisory Services","46,279,250","2,429,215",,5.2,234,0,"43,850,035"
"Town Management & Admin-
istration","Town Management & Ad-
ministration","4,960,000","1,358,800",,27.4,234,0,"3,601,200"
,Sub Total,"976,896,633","419,741,009",,43,234,0,"557,155,624"
"Road, Transport and Energy",,,,,,234,0,
"General Administration, Plan-
ning and Support Services","General Administration,
Planning and Support Ser-
vices","73,644,479","27,725,636",,37.6,234,0,"45,918,843"
"Electrification and Street
Lighting","Electrification and Street
Lighting","38,311,122","3,766,610",,9.8,234,0,"34,544,512"
Road Transport,Road Transport,"1,181,082,360","119,437,875",,-,234,0,"1,061,644,485"
,Sub Total,"1,293,037,961","150,930,121",,11.7,234,0,"1,142,107,840"
"Trade, Investment, Industrialization, Tourism and Cooperative Development",,,,,,234,0,
"General Administration, Plan-
ning and Support Services","General Administration,
Planning and Support Ser-
vices","63,175,915","25,492,633",,40.4,234,0,"37,683,282"
"Trade Development & Promo-
tion","Trade Development & Pro-
motion","125,877,392","4,360,931",,3.5,234,0,"121,516,461"
Cooperative Development,Cooperative Development,"18,000,000","2,376,045",,13.2,234,0,"15,623,955"
"Tourism Development and
Promotion","Tourism Development and
Promotion","20,000,000","1,954,680",,9.8,234,0,"18,045,320"
"Industrial Development and
Investment","Industrial Development and
Investment",-,-,,-,234,0,-
,Sub Total,"227,053,307","34,184,289",,15.1,234,0,"192,869,018"
"Youth, Affairs and Sport",,,,,,234,0,
"General Administration, Plan-
ning and Support Services","General Administration,
Planning and Support Ser-
vices","30,676,932","13,627,952",,44.4,234,0,"17,048,980"
Youth Affairs,Youth Affairs,"123,316,625","44,058,090",,35.7,234,0,"79,258,535"
Sport Development,Sport Development,"96,959,110","4,146,108",,4.3,234,0,"92,813,002"
Arts & Culture Development,Arts & Culture Development,"20,871,131","4,688,012",,22.5,234,0,"16,183,119"
,Sub Total,"271,823,798","66,520,162",,24.5,234,0,"205,303,636"
