Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),Absorption (%),page_number,table_index
"Agriculture, Livestock, Fisheries",,,,,,55,1
"General Administration,
planning and support
services",Administrative and Support Services,"8,811,476","5,415,420","3,396,056",61.5,55,1
,"Human Resource Management and
Development.","289,172,958","177,599,578","111,573,380",61.4,55,1
,"Policy, Legal and Regulatory Frame-
work","2,000,000","1,764,270","235,730",88.2,55,1
,Planning and financial Management,"2,615,043","1,959,886","655,157",74.9,55,1
,Sector Coordination,"1,500,000",-,"1,500,000",0,55,1
,Leadership and Governance,"1,000,000",-,"1,000,000",0,55,1
"Land and Crop Develop-
ment and Management","Agricultural extension and training
services","2,340,000",-,"2,340,000",0,55,1
,Crop production and productivity,"62,631,411",-,"62,631,411",0,55,1
,"Soil rehabilitation, protection and con-
servation","600,000",-,"600,000",0,55,1
,Value addition and Agro processing,"700,000",-,"700,000",0,55,1
,Agri nutrition and food utilization,"500,000",-,"500,000",0,55,1
,Irrigation Extension and training,"600,000",-,"600,000",0,55,1
,"Irrigation infrastructure development
and agricultural water storage","10,000,000",-,"10,000,000",0,55,1
"Livestock development
and management","Livestock production extension, Train-
ing and Information Services","2,896,991",-,"2,896,991",0,55,1
,Value addition and processing,"80,000,000","29,202,382","50,797,618",36.5,55,1
,"Livestock production value chain de-
velopment (Dairy ,Poultry, Honey &
Rabbit value chains)","7,500,000","1,993,331","5,506,669",26.6,55,1
,Disease and Vector Control,"4,000,000",-,"4,000,000",0,55,1
,Food Safety And Quality Control,"7,000,000",-,"7,000,000",0,55,1
,Veterinary Extension Services,"1,000,000",-,"1,000,000",0,55,1
,Breeding and AI Subsidy programme,"5,000,000",-,"5,000,000",0,55,1
"Fisheries development
and management",Fisheries extension service and training,"2,500,000",-,"2,500,000",0,55,1
,"Fisheries product value-chain develop-
ment","4,904,380",-,"4,904,380",0,55,1
"Cooperatives Develop-
ment and Management","Cooperatives extension service and
training (Co-operative Governance
(Training))","1,950,069",-,"1,950,069",0,55,1
,Cooperatives Audit Services,"250,000",-,"250,000",0,55,1
,"Production, Agro processing, value
addition & Marketing (Input and In-
frastructural Support to Cooperatives)","28,000,000",-,"28,000,000",0,56,0
"Institutional Develop-
ment and Management","Mabanga ATC Administration man-
agement services","2,000,000",-,"2,000,000",0,56,0
,"Agricultural Enterprise Development
(ATC)","2,500,000",-,"2,500,000",0,56,0
,Infrastructural development (ATC),"30,600,000",-,"30,600,000",0,56,0
,Agricultural mechanization extension,"500,000",-,"500,000",0,56,0
,Tractor hire services,"8,000,000",-,"8,000,000",0,56,0
,General administrative services (CFF),"100,000",-,"100,000",0,56,0
,Technology transfer (CFF),"400,000",-,"400,000",0,56,0
,Operational development (CFF),"500,000",-,"500,000",0,56,0
NARIGP,NARIGP,"350,000,010",-,"350,000,010",0,56,0
ASDSP II,ASDSP II,"19,861,959",-,"19,861,959",0,56,0
Total,,"941,934,297","217,934,867","723,999,430",23.1,56,0
Roads & Public Works,,,,,,56,0
"Transport infrastructure
development and man-
agement","Transport infrastructure development
and management","1,320,000,470","309,180,738","1,010,819,733",23.4,56,0
"Public safety and trans-
port operations",Public safety and transport operations,"18,668,115",-,"18,668,115",0,56,0
"Building standards and
other civil works","Building standards and other civil
works","3,999,534",-,"3,999,534",0,56,0
"General administration,
planning and support
services","General administration, planning and
support services","113,754,758","58,476,384","55,278,373",51.4,56,0
Total,,"1,456,422,877","367,657,122","1,088,765,755",25.2,56,0
Health & Sanitation,,,,,,56,0
"General Administration
and Planning, and Sup-
port Services","Health Administration Planning and
support services","501,607,010","86,730,608","414,876,402",17.3,56,0
,Human resources,"2,027,711,289","1,173,863,070","853,848,219",57.9,56,0
,Health Infrastructure,"172,032,460",,,0.0,56,0
"Preventive Promotive
and Rehabilitative","Communicable and non-communica-
ble","42,676,050",,,0.0,56,0
,Health Promotion services,"5,000,000",,,0.0,56,0
,Disease surveillance,"1,576,051",,,0.0,56,0
,Community health services,"76,800,000",,,0.0,56,0
,Nutrition Management,"10,000,000",,,0.0,56,0
,HIV/AIDS awareness.,"2,000,000",,,0.0,56,0
"Curative and Rehabilita-
tive Health Services",Routine Medical Services,"551,556,410",,,0.0,56,0
,Blood Bank Services,"10,000,000",,,0.0,56,0
,Maternity Services,"61,252,101",,,0.0,56,0
Total,,"3,462,211,371","1,260,593,678","2,201,617,693",36.4,56,0
Education & Statistics,,,,,,56,0
"General Administration,
Planning and Support
Services",Salaries and allowances,"955,040,802","461,477,999","493,562,803",48.3,56,0
,Policy formulation,"3,000,000",-,"3,000,000",0,56,0
,Monitoring and evaluation,"2,000,000",-,"2,000,000",0,56,0
,Administration and support services,"53,502,973","18,045,117","35,457,856",33.7,56,0
,"Capacity building and stakeholders
forum","4,000,000",-,"4,000,000",0,56,0
,Planning and financial management,"3,000,000",-,"3,000,000",0,56,0
"Early Childhood Educa-
tion Development",Quality Assurance and Standards,"1,000,000",-,"1,000,000",0,56,0
,Promotion of good governance,"500,000",-,"500,000",0,56,0
,Curriculum implementation,"1,000,000",-,"1,000,000",0,56,0
,Capacity building of ECDE teachers,"1,269,142",-,"1,269,142",0,56,0
,Special needs assessment,"1,000,000",-,"1,000,000",0,56,0
,learning materials,"3,000,000",-,"3,000,000",0,56,0
,Infrastructure development,"229,389,000",-,"229,389,000",0,56,0
"Vocational Education
and Training",Assessment of curriculum,"1,000,000",-,"1,000,000",0,56,0
,Tuition support grant,"67,849,894","28,073,046","39,776,848",41.4,56,0
,Promotion of governance,"1,000,000",-,"1,000,000",0,57,0
,Quality assurance and standards,"1,000,000",-,"1,000,000",0,57,0
,Special needs assessment,"1,000,000",-,"1,000,000",0,57,0
,Capacity building for VTC managers,"1,000,000",-,"1,000,000",0,57,0
,Centre of excellence,"29,104,858",-,"29,104,858",0,57,0
"Education Support Pro-
gramme",Education support and bursary scheme,"124,336,685",-,"124,336,685",0,57,0
,Mentorship and launch of scholarship,"10,000,000",-,"10,000,000",0,57,0
Total,,"1,493,993,354","507,596,163","986,397,192",34.0,57,0
Water & Tourism,,,,,,57,0
Water,,,,,,57,0
,Administration services,"69,582,437","8,575,473","61,006,964",12.3,57,0
"General Administration
Planning and support
Services",Human Resources Management,"23,491,552","13,743,331","9,748,221",58.5,57,0
,"Policy and Legal Framework formula-
tion","5,000,000",-,"5,000,000",0,57,0
"Water and Sewerage Ser-
vices Management",Water Services Provision,"240,991,104",-,"240,991,104",0,57,0
,,"339,065,093","22,318,804","316,746,289",6.6,57,0
Tourism,,,,,,57,0
"General Administration
Planning and support
Services","Administration & Human Resources
Management","54,275,801","22,193,373","32,082,428",40.9,57,0
"Integrated Solid Waste
Management",Dumpsite Management,"16,882,637",-,"16,882,637",0,57,0
,Garbage collection and transportation,"144,000,000","86,362,958","57,637,042",60.0,57,0
Total,,"215,158,438","108,556,331","106,602,107",50.5,57,0
,Grand Total,"554,223,531","130,875,135","423,348,396",23.6,57,0
Trade & Industrialization,,,,,,57,0
"Trade and Enterprise De-
velopment",Trade and Enterprise Development,"4,180,000",-,"4,180,000",0,57,0
"Market Infrastructure
Development",Market Infrastructure Development,"25,000,000",,"25,000,000",0.0,57,0
"Energy Development and
Management","Energy Development and Manage-
ment","21,555,632",-,"21,555,632",0,57,0
"Industrial Development
and Investment","Industrial Development and Invest-
ment","15,000,000",-,"15,000,000",0,57,0
"General Administration,
Planning and Support
Services","General Administration, Planning and
Support Services","52,696,228","24,916,533","27,779,695",47.3,57,0
WBP,WBP,"6,945,000",-,"6,945,000",0,57,0
Total,,"125,376,860","24,916,533","100,460,327",19.9,57,0
Lands & Urban Planning,,,,,,57,0
"General Administration,
Planning and Support
services","Human resource development and
management","50,447,791","24,751,865","25,695,926",49.1,57,0
,"Institutional accountability, efficiency
and effectiveness in service delivery","1,595,694",-,"1,595,694",0,57,0
"Land Resource Survey/
Mapping and Manage-
ment",Land acquisition,"10,469,160",-,"10,469,160",0,57,0
,"Survey of government land quality
control of survey activities","18,643,612",-,"18,643,612",0,57,0
"County Physical Plan-
ning and Infrastructure","Physical Planning and Urban Devel-
opment","6,841,464",-,"6,841,464",0,57,0
Total,,"87,997,721","24,751,865","63,245,856",28.1,57,0
Housing,,,,,,57,0
"General Administration,
Planning and Support
services",Human Resource Management,"12,851,403","7,441,152","5,410,251",57.9,57,0
,Administrative Services,"4,670,000",-,"4,670,000",0,57,0
,Research and Development,"2,400,000",-,"2,400,000",0,57,0
,Capacity Development,"380,228",-,"380,228",0,57,0
"Housing development
and Human Settlement",Estate Management,"1,906,521",-,"1,906,521",0,57,0
,Housing Development,"1,813,042",-,"1,813,042",0,57,0
Total,,"24,021,194","7,441,152","16,580,042",31.0,58,0
Bungoma Municipality,,,,,,58,0
"Urban Economy, Gen-
eral Administration,
Planning and Support
services","Human Resource Development and
Management","25,000",-,"25,000",0,58,0
,"General Administration and Support
Services","7,741,584","7,640,960","100,624",98.7,58,0
,"Institutional Accountability, Efficiency
and Effectiveness","1,564,574",-,"1,564,574",0,58,0
,"Leadership and Coordination of Mu-
nicipal Board Operations","2,640,000",-,"2,640,000",0,58,0
,Capacity Development,"1,500,000",-,"1,500,000",0,58,0
,"Public Participation and Outreach Ser-
vices","1,360,000",-,"1,360,000",0,58,0
"Land Use, Urban Infra-
structure Development
and Management",Urban Transport and Infrastructure,"109,887,700","78,595,946","31,291,754",71.5,58,0
Total,,"124,718,858","86,236,906","38,481,952",69.1,58,0
Kimilili Municipality,,,,,,58,0
"General Administration,
Planning and Support
services","General Administration planning and
support services","5,500,000","6,253,000","-753,000",113.7,58,0
,Administration and HR Services,"7,331,159",-,"7,331,159",0,58,0
"Urban Infrastructure
Development and man-
agement","Infrastructure. Housing and public
works","191,089,400","136,674,552","54,414,848",71.5,58,0
Total,,"203,920,559","142,927,552","60,993,007",70.1,58,0
TOTAL LANDS,,"440,658,332","261,357,475","179,300,857",59.3,58,0
Finance & Economic planning,,,,,,58,0
"Economic development
planning and coordina-
tion services","Economic development planning and
coordination services","49,065,088","31,208,060","17,857,028",63.6,58,0
"Monitoring and evalua-
tion services",Monitoring and evaluation services,"46,204,160","17,541,535","28,662,625",38.0,58,0
"Public finance manage-
ment",Public finance management,"96,319,698",-,"96,319,698",0,58,0
"General administration,
planning, policy coordi-
nation and support ser-
vices","General administration, planning, pol-
icy coordination and support services","816,488,849","395,792,449","420,696,400",48.5,58,0
Total,,"1,008,077,795","444,542,044","563,535,752",44.1,58,0
Public Administration & County Secretary,,,,,,58,0
"Public service Manage-
ment and Administration",,-,-,-,0,58,0
"General administration,
planning and support
services","General administration, planning and
support services","334,976,577","162,663,821","172,312,756",48.6,58,0
"Public Participation,
Civic Education and out-
reach services","Public Participation, Civic Education
and outreach services","5,000,000",-,"5,000,000",0,58,0
Total,,"339,976,577","162,663,821","177,312,756",47.8,58,0
Office of the County Secretary and ICT,,,,,,58,0
"General administration,
planning and support
services","General administration, planning and
support services","123,726,057","21,564,190","102,161,867",17.4,58,0
"Kenya Devolution Sup-
port Programme","Kenya Devolution Support Pro-
gramme","257,537,789","52,497,187","205,040,602",20.4,58,0
"ICT and information
management services","ICT and information management
services","17,890,473",-,"17,890,473",0,58,0
Total,,"399,154,319","74,061,376","325,092,943",18.6,58,0
Grand Total,,"739,130,896","236,725,197","502,405,699",32.0,58,0
"Gender, Youth & Sports",,,,,,58,0
"Cultural Development
and management",Administrative services,"23,270,614","34,277,525","-11,006,911",147.3,58,0
,Payment of utilities,"1,040,000",-,"1,040,000",0,58,0
,Human Resource Management,"46,696,748","18,318,813","28,377,935",39.2,58,0
,Staff training,"2,000,000",-,"2,000,000",0,58,0
