Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Agriculture,,,,,,64,1
"CP 1: General Administration
And Support Services",Administrative support service,"224,770,355","98,779,688","125,990,667",43.9,64,1
"CP 2: Crop Production And
Management",CSP 3.1 Input support services,-,-,-,-,64,1
,CSP 3.2: Crop development,-,-,-,-,64,1
,CSP 3.3: Crop protection,-,-,-,-,64,1
"CP 3:Land Use And Manage-
ment",CSP 2.1: Agricultural mechanization,"3,300,000",-,"3,300,000",-,64,1
"CP 4: Agricultural Training And
Extension Services","CSP 4.1: Agriculture extension ser-
vices",-,-,-,-,64,1
,"CSP 4.2: Agricultural Training ser-
vices","6,704,970","2,673,673","4,031,297",39.9,64,1
"CP 5:Agribusiness And Agricul-
tural Value Chain Development",CSP 5.1: Value addition,"15,400,000","6,476,245","8,923,755",42.1,64,1
"CP 6: Agricultural Financial
Support Services","CSP 6.1: Agricultural credit support
services","7,700,000",-,"7,700,000",-,64,1
"Cp 7: Kenya Climate Smart Ag-
riculture Programme",CSP 7.1: Kenya Climate SMART,"320,226,100","34,672,081","285,554,019",10.8,64,1
"CP 8: Fisheries And Aquacul-
ture Resources Development",CSP 8.1: Aquaculture development,"15,000,000","8,997,580","6,002,420",60.0,64,1
,"CSP 8.2: Fisheries training infrastruc-
ture development","2,000,000",-,"2,000,000",-,64,1
,"CSP 8.3: Fish value addition and mar-
keting",-,-,-,-,64,1
,CSP 8.4: Lake based aquaculture parks,-,-,-,-,64,1
Cp 9: Veterinary Health Services,CSP 10.1: Veterinary Disease control,"4,201,841",-,"4,201,841",-,64,1
,CSP 10.2:AI services,-,-,-,-,64,1
,CSP 10.3 Meat inspection services,-,-,-,-,64,1
,CSP 10.4 Veterinary Extension,"2,000,000",-,"2,000,000",-,64,1
"CP 10: Livestock Production&
Development","CSP 9.1: Livestock production im-
provement",-,-,-,-,64,1
,CSP 9.2: Livestock Extension,-,-,-,-,64,1
"Cp 11: Other Development Proj-
ects",CSP 11.1: Other Development projects,"126,350,000","38,971,941","87,378,059",30.8,64,1
Total For Vote,,"727,653,266","190,571,208","537,082,058",26.2,64,1
Trade,,,,,,64,1
"CP 12: General Administration
And Support Services","CSP 12.1: Administrative support ser-
vice","52,301,463","2,077,050","50,224,413",4.0,65,0
"CP 13: Trade Developments and
Investment","CSP 13.1: Busia county trade develop-
ment fund","10,400,000",-,"10,400,000",-,65,0
,"CSP 13.2: Market modernization and
development","38,900,000",-,"38,900,000",-,65,0
Cp 14: Fair Trade Practices,CSP 14.1: Weights and measures.,"3,500,000",-,"3,500,000",-,65,0
"CP 15: Cooperative Develop-
ment","CSP 15.1 Busia county cooperative en-
terprise development fund",-,-,-,-,65,0
,"CSP 15.2: Revitalization of cotton gin-
neries","5,000,000",-,"5,000,000",-,65,0
,CSP 15.3: value addition,"7,700,000",-,"7,700,000",-,65,0
"Cp 16: Other Development Proj-
ects",CSP 16.1. Other Development projects,"23,900,000",-,"23,900,000",-,65,0
Total For Vote,,"141,701,463","2,077,050","139,624,413",1.5,65,0
Finance,,,,,,65,0
"CP 22:General Administration
and Support Services","CSP 22.1: Administrative support ser-
vice","741,093,761","479,687,772","261,405,988",64.7,65,0
"CP 23: Financial Management,
Control And Development Ser-
vices",CSP 23.1: Revenue generation services,"5,000,000",-,"5,000,000",-,65,0
"CP 24: Information and Com-
munication Services",CSP 24.1: ICT support services,"6,000,000",-,"6,000,000",-,65,0
"Cp 25: Other Development Proj-
ects",CSP 25.1: Other Development projects,"3,400,000",-,"3,400,000",-,65,0
Total For Vote,,"755,493,761","479,687,772","275,805,988",63.5,65,0
Education,,,,,,65,0
"CP 17: General Administration
and Support Services","CSP 17.1: Administrative support ser-
vice","390,986,154","37,527,647","353,458,507",9.6,65,0
"Cp 18: Early Childhood Devel-
opment Education (Basic Edu-
cation)","CSP 18.1: Improvement of infrastruc-
ture in E.C.D.E Centers",-,-,-,-,65,0
,CSP 18.2 E.C.D.E Capitation,-,-,-,-,65,0
,CSP 18.3: Child nutrition,-,-,-,-,65,0
"Cp 19: Tertiary/Vocational
Training Development",CSP 19.1: Infrastructure development,"24,500,000",-,"24,500,000",-,65,0
CP 20: Education Support,CSP 20.1: Education support scheme,"114,399,788","52,336,567","62,063,221",45.7,65,0
"Cp 21: Other Development Proj-
ects",CSP 21.1 Other Development Projects,"33,000,000",-,"33,000,000",-,65,0
Total For Vote,,"562,885,942","89,864,214","473,021,728",16.0,65,0
Culture,,,,,,65,0
"CP 26: General Administration
and Support Services","CSP 26.1: Administrative support ser-
vice","60,522,480","3,111,211","57,411,269",5.1,65,0
CP 27: Social Services,CSP 27.1: infrastructural development,-,-,-,-,65,0
,CSP 27.2:Community Support,-,-,-,-,65,0
"CP 28:Youth and Empowerment
Development","CSP 28.1 Equipping and Operational-
ization of youth empowerment","6,400,000",-,"6,400,000",-,65,0
"CP 29:Promotion and Develop-
ment of Sports",CSP 29.1: Infrastructural development,"5,000,000",-,"5,000,000",-,65,0
,CSP 29.2: sports promotion,-,-,-,-,65,0
"CP 30: Child Care and Protec-
tion",CSP 30.1: Rehabilitation and custody,-,-,-,-,65,0
"CP 31: Culture Promotion and
Development","CSP 31.1: Cultural infrastructural de-
velopment","21,400,000",-,"21,400,000",-,65,0
"CP 32: Promotion and Develop-
ment of Local Tourism In The
County",CSP 32.1: Tourism development,-,-,-,-,65,0
"CP 33: Alcoholic Drinks and
Drugs Control",CSP 33.1: Infrastructure development,-,-,-,-,65,0
"Cp 34: Other Development Proj-
ects",CSP 34.1:Other Development projects,"29,550,000",-,"29,550,000",-,65,0
Total For Vote,,"122,872,480","3,111,211","119,761,269",2.5,65,0
Public Works,,,,,,65,0
"CP 35: General Administration
and Support Services","CSP 35.1: Administrative support ser-
vice","104,221,960","2,998,547","101,223,413",2.9,66,0
"CP 36:Developmen and Mainte-
nance of Roads","CSP 36.1: Routine maintenance of
roads","429,462,027","192,111,697","237,350,330",44.7,66,0
,CSP 36.2: Development of Roads,-,-,-,-,66,0
"Cp 37:Building Infrastructure
Development",CSP 37.1: Infrastructure Development,-,-,-,-,66,0
Cp 38: Energy Development,CSP 38.1 Energy Services,"1,200,000",-,"1,200,000",-,66,0
,CSP 38.2: Solar Energy Exploration,"7,510,000",-,"7,510,000",-,66,0
,CSP 38.3: Renewable energy,-,-,-,-,66,0
"CP 39: Alternative Transport In-
frastructure Development",CSP 39.1: Road safety campaign,-,-,-,-,66,0
"Cp 40: Other Development Proj-
ects","CSP 40.1: Other Development Proj-
ects","399,250,000",-,"399,250,000",,66,0
Total For Vote,,"941,643,987","195,110,244","746,533,743",20.7,66,0
Public Service Management,,,,,,66,0
"CP 41: General Administration
and Support Services","CSP 41.1: Administrative support ser-
vices","275,387,209","143,506,014","131,881,195",52.1,66,0
Total For Vote,,"275,387,209","143,506,014","131,881,195",52.1,66,0
Public Service Board,,,,,,66,0
"CP 41: General Administration
and Support Services","CSP 41.1: Administrative support ser-
vices","65,215,844","34,344,320","30,871,524",52.7,66,0
Total For Vote,,"65,215,844","34,344,320","30,871,524",52.7,66,0
Lands,,,,,,66,0
"CP 42: General Administration
and Support Services","CSP 42.1: Administrative support ser-
vices","65,943,621","6,560,185","59,383,436",9.9,66,0
"CP 43: County Land Adminis-
tration and Planning",CSP 43.1: Land use planning,"6,540,000",-,"6,540,000",-,66,0
"CP 44: Housing Development
and Management",CSP 44.1: Housing Development,-,-,-,-,66,0
"CP 45: County Urban Manage-
ment and Development",CSP 45.1: Urban management,"40,720,006",-,"40,720,006",-,66,0
,CSP 45.2: Urban Development,"9,200,000",-,"9,200,000",-,66,0
"Cp 46: Other Development Proj-
ects",CSP 46.1:Other Development Projects,"16,300,000",-,"16,300,000",-,66,0
Total For Vote,,"138,703,627","6,560,185","132,143,442",4.7,66,0
Water,,,,,,66,0
"CP 47: General Administration
and Support Services","CSP 47.1: Administrative support ser-
vices","112,082,727","55,382,030","56,700,697",49.4,66,0
Cp 48: Water Supply Services,"CSP 48.1: Urban water supply and
sewerage","73,100,000","3,109,448","69,990,552",4.3,66,0
,CSP 48.2: Rural water supply,-,-,-,-,66,0
"CP 49: Environment Manage-
ment and Protection",CSP 49.1 Environmental management,-,-,-,-,66,0
"CP 50:Small Holder Irrigation
And Drainage","CSP 50.1: Irrigation infrastructure de-
velopment","2,310,000",-,"2,310,000",-,66,0
"CP 51: Forest Development and
Management","CSP 51.1:Rehabilitation and Resto-
ration degraded landscape","6,770,000",-,"6,770,000",-,66,0
"CP 52: Water Tower Protection
and Climate Change Mitigation","CSP 52.1: Water Tower Protection and
Climate Change Mitigation","30,127,734","8,108,200","22,019,534",26.9,66,0
"Cp53: Other Development Proj-
ects",CSP 53.1 Other Development Projects,"145,450,000",-,"145,450,000",-,66,0
Total For Vote,,"369,840,461","66,599,678","303,240,783",18.0,66,0
Health,,,,,,66,0
"CP 54: General Administration
and Support Services","CSP 54.1: Administrative support ser-
vice","1,804,975,637","950,826,962","854,148,675",52.7,66,0
Cp 55: Curative Health Services,CSP 55.1: Infrastructure development,"52,600,000",-,"52,600,000",,66,0
,CSP 55.2: Hospital equipment,"32,775,000",-,"32,775,000",-,66,0
