Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
County Assembly,Office of The Speaker,"18,090,000","1,432,818","16,657,182",7.9,161,1
,"Representation, Legislative and Over-
sight Services","185,071,420","48,408,782","136,662,638",26.2,161,1
,County Assembly Service Board,"969,920,620","261,323,208","708,597,412",26.9,161,1
,Sub Total,"1,173,082,040","311,164,808","861,917,232",26.5,161,1
County Executive,"Administration, Planning and Support
Services","388,699,172","92,634,604","296,064,568",23.8,161,1
,Office of The County Secretary,"29,520,000","630,000","28,890,000",2.1,161,1
,Legal Services,"14,500,000","508,405","13,991,595",3.5,161,1
,Communication Services,"9,250,000","831,600","8,418,400",9.0,161,1
,Special Programmes,"6,950,000","840,800","6,109,200",12.1,161,1
,Public Private Partnership,"3,400,000","516,500","2,883,500",15.2,161,1
,Advisory Services,"3,250,000","439,000","2,811,000",13.5,161,1
,County Public Service Board,"30,120,200","4,803,700","25,316,500",15.9,161,1
,Sub Total,"485,689,372","101,204,609","384,484,763",20.8,161,1
"Administration, Cor-
porate Services and
Stakeholder manage-
ment","Administration, Planning and Support
Services","579,211,277","192,480,801","386,730,476",33.2,161,1
,Devolved Units Services,"45,144,044","1,193,619","43,950,425",2.6,161,1
,Human Resource Development,"8,000,000","705,700","7,294,300",8.8,161,1
,Enforcement Services,"12,800,000","550,000","12,250,000",4.3,161,1
,Stakeholder Management,"14,925,000","834,400","14,090,600",5.6,161,1
,Public Participation and Civic Education,"15,075,000","1,376,000","13,699,000",9.1,161,1
,Disaster Management,"14,804,282",-,"14,804,282",-,161,1
,Fleet Management,"22,000,000","4,600,505","17,399,495",20.9,161,1
,Sub Total,"711,959,603","201,741,025","510,218,578",28.3,161,1
"Finance & Economic
planning","Administration, Coordination and Sup-
port Services","924,750,533","333,270,858","591,479,675",36.0,162,0
,Public Financial Management Services,"77,075,000","13,001,473","64,073,527",16.9,162,0
,County Planning Services,"192,656,938","9,624,300","183,032,638",5.0,162,0
,Sub Total,"1,194,482,471","355,896,631","838,585,840",29.8,162,0
"Agriculture, Livestock,
Veterinary & Fisheries",Administrative and Support Services,"315,066,818","142,731,221","172,335,597",45.3,162,0
,Crop Development and Value Addition,"423,255,789","137,450,964","285,804,825",32.5,162,0
,Livestock Development,"46,300,000","4,842,400","41,457,600",10.5,162,0
,Veterinary Services,"175,500,000","42,699,134","132,800,866",24.3,162,0
,"Co-Operative Development and Man-
agement","3,350,000",-,"3,350,000",-,162,0
,Fisheries Development,"48,050,000",-,"48,050,000",-,162,0
,Kisii Agricultural Training Centre,"9,900,000",-,"9,900,000",-,162,0
,Sub Total,"1,021,422,607","327,723,719","693,698,888",32.1,162,0
"Energy, Environment
and Natural Resources",Administration and Planning Services,"115,394,842","43,663,919","71,730,923",37.8,162,0
,Water and Sanitation Services,"270,312,875","3,350,000","266,962,875",1.2,162,0
,Environment Management,"17,000,000",-,"17,000,000",-,162,0
,Energy Services,"3,810,500",-,"3,810,500",-,162,0
,Sub Total,"406,518,217","47,013,919","359,504,298",11.6,162,0
"Education, Youth Af-
fairs & Social Develop-
ment","General Administration and Planning
Services","619,277,713","155,270,772","464,006,941",25.1,162,0
,"Early Childhood Development Educa-
tion","60,793,940","3,034,500","57,759,440",5.0,162,0
,Vocational Training,"81,549,094",-,"81,549,094",-,162,0
,Sub Total,"761,620,747","158,305,272","603,315,475",20.8,162,0
"County Health Ser-
vices",Medical Services,"4,567,670,274","1,507,951,023","3,059,719,251",33.0,162,0
,Public Health,"91,450,000",-,"91,450,000",-,162,0
,Sub Total,"4,659,120,274","1,507,951,023","3,151,169,251",32.4,162,0
"Lands, Physical Plan-
ning and Urban Devel-
opment","Administration, Planning and Support
Services","70,507,240","24,703,620","45,803,620",35.0,162,0
,Land Use Services,"54,800,000","3,004,400","51,795,600",5.5,162,0
,Urban Development,"56,583,915",-,"56,583,915",-,162,0
,Sub Total,"181,891,155","27,708,020","154,183,135",15.2,162,0
"Roads, Public Works,
Transport and Housing","General Administration and Planning
Services","125,540,000","43,577,263","81,962,737",34.7,162,0
,Roads Development,"1,052,778,254","105,121,314","947,656,940",10.0,162,0
,Public Works,"102,305,555","5,950,000","96,355,555",5.8,162,0
,Housing Services,"5,500,000","200,000","5,300,000",3.6,162,0
,Sub Total,"1,286,123,809","154,848,577","1,131,275,232",12.0,162,0
"Trade, Tourism, Coop-
eratives and Enterprise
Development",Administration and Planning Services,"186,085,479","25,266,071","160,819,408",13.6,162,0
,Tourism Development,"8,750,000","395,000","8,355,000",4.5,162,0
,Weights and Measures,"1,700,000","589,500","1,110,500",34.7,162,0
,Liquor Licensing,"1,200,000","150,000","1,050,000",12.5,162,0
,Betting and Gaming,"4,000,000","536,800","3,463,200",13.4,162,0
,Sub Total,"201,735,479","26,937,371","174,798,108",13.4,162,0
"Culture and Social
Services",Administration and Planning Services,"59,206,460","18,106,064","41,100,396",30.6,162,0
,Sports Development,"127,595,581","7,132,460","120,463,121",5.6,162,0
,Cultural Services,"20,559,921","1,150,000","19,409,921",5.6,162,0
,Social Development,"3,300,000",-,"3,300,000",-,162,0
,Sub Total,"210,661,962","26,388,524","184,273,438",12.5,162,0
