Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
Department County Assembly,,,,,,199,0
County Assembly,"P.1 Administration,
planning and support
services.","206,989,120","66,548,345","140,440,776",32.2,199,0
,"P.2 Legislation and
Oversight","313,010,880","48,855,563","264,155,317",15.6,199,0
,Subtotal,"520,000,000","115,403,908","404,596,093",22.2,199,0
Department of County Executive,,,,,,199,0
County Executive,P 1: Executive Services,"230,508,739","132,146,682","98,362,057",57.3,199,0
,"P.2 Office of the Gov-
ernor & Deputy Gov-
ernor","15,331,000","6,455,330","8,875,670",42.1,199,0
,"P 3: Coordination &
Policy formulation","172,344,384",-,"172,344,384",-,199,0
,P 6: Fire Fighting,"25,000,000",-,"25,000,000",-,199,0
,"P 7: Disaster Manage-
ment","500,000",-,"500,000",-,199,0
,Subtotal,"443,684,123","138,602,012","305,082,111",31.2,199,0
Department of Finance,,,,,,199,0
Finance,"P 1: Administration,
planning support ser-
vices","91,400,556","45,551,048","45,849,508",49.8,199,0
,"P 2: Public Finance
Management","12,190,000",,"12,190,000",-,199,0
,"P 3:Budget and Eco-
nomic Planning","14,529,080","2,080,800","12,448,280",14.3,199,0
,Subtotal,"118,119,636","47,631,848","70,487,788",40.3,199,0
Department of Agriculture & Irrigation,,,,,,199,0
Agriculture & Irrigation,"P 1: Administration
and planning support
services","44,850,000","26,117,909","18,732,091",58.2,199,0
,P 2: Extension services,"47,000,000",-,"47,000,000",-,199,0
,P 3: Crop Productivity,"3,000,000","174,948","2,825,052",5.8,199,0
,"P 4: (KCSAP and ASD-
SP11)","274,455,084",,"274,455,084",-,199,0
,Subtotal,"369,305,084","26,292,857","343,012,227",7.1,199,0
"Department of Land, Physical Planning",,,,,,199,0
"Land, Physical Planning","P 1: Administration,
planning & support
Services","20,841,947","8,462,038","12,379,909",40.6,199,0
,P 2: Land Management,"101,928,158",-,"101,928,158",-,199,0
,Subtotal,"122,770,105","8,462,038","114,308,067",6.9,199,0
Department of Education,,,,,,199,0
Education,"P 1.General Adminis-
tration, Planning and
Support services","69,598,095","24,408,790","45,189,305 -",35.1,199,0
,"P2. Early Childhood
Development","66,975,000",-,"66,975,000",-,199,0
,"P 4. Education and
Training Programme","137,333,199","72,986,267","64,346,932",53.1,199,0
,"P6. Village Polytech-
nics","50,299,894",-,"50,299,894",-,199,0
,Subtotal,"324,206,188","97,395,057","226,811,131",30,199,0
Department of Medical Services,,,,,,199,0
Medical Services,"P 1: General Adminis-
tration, Planning and
Support Services","809,510,000","387,398,827","422,111,173",47.9,199,0
,P 2: Curative Services,"144,392,668","17,120,501","127,272,167",11.9,199,0
,"P 3: Preventive & Pro-
motive Services","332,492,841","59,949,782","272,543,059",18,199,0
,Subtotal,"1,286,395,509","464,469,110","821,926,399",36.1,199,0
"Department of Trade, Investment, Culture & Tourism",,,,,,199,0
"Trade, Investment, Culture & Tourism","P 1:Administration,
planning & support
Services","8,765,893","4,980,197","3,785,696",56.8,200,0
,"P 2: Tourism Promo-
tion","7,184,072","108,350","7,075,722",1.5,200,0
,"P 3: Trade & Industrial-
ization","21,838,341","437,660","21,400,681",2,200,0
,Subtotal,"37,788,306","5,526,207","32,262,099",14.6,200,0
"Department of Livestock, Veterinary & Co-operative Development",,,,,,200,0
"Livestock, Veterinary & Co-operative Devel-
opment","P.1 Administration,
planning and support
services.","32,108,648","17,268,285","14,840,363",53.8,200,0
,"P 3: Livestock Produc-
tion","9,980,092","238,626","9,741,466",2.4,200,0
,P 4: Veterinary Services,"3,072,479","341,300","2,731,179",11.1,200,0
,"P 5: Cooperative Devel-
opment","7,938,555","3,045,300","4,893,255",38.4,200,0
,Subtotal,"53,099,774","20,893,511","32,206,263",39.3,200,0
Department of Public Service Board,,,,,,200,0
Public Service Board,"P.1 Administration,
planning and support
services.","38,925,596","14,735,284","24,190,312",37.9,200,0
,"P 2: Human Resource
Management & Devel-
opment","6,229,500","1,626,200","4,603,300",26.1,200,0
,Subtotal,"45,155,096","16,361,484","28,793,612",36.2,200,0
Department of Water Management & Conservation,,,,,,200,0
Water Management & Conservation,"P 1: Administration
and planning support
services","17,373,210","5,320,416","12,052,794",30.6,200,0
,"P 2: Water Manage-
ment and Provision","211,461,360","10,049,600","201,411,760",4.8,200,0
,Subtotal,"228,834,570","15,370,016","213,464,554",6.7,200,0
"Department of Gender, Youth Affairs, Sports & Social Services",,,,,,200,0
"Gender, Youth Affairs, Sports & Social
Services","P 1.General Adminis-
tration, Planning and
Support services","12,950,400","6,051,049","6,899,351",46.7,200,0
,"P 2. Sports & Youth De-
velopment","8,183,800",,"8,183,800",-,200,0
,P 3. Social Services,"72,123,200",,"72,123,200",-,200,0
,Subtotal,"93,257,400","6,051,049","87,206,351",6.5,200,0
Department of Sanitation & Environment,,,,,,200,0
Sanitation & Environment,"P 1: General Adminis-
tration, Planning and
Support Services","56,955,296","29,909,682","27,045,614",52.5,200,0
,"P 2: Public Health and
Sanitation","9,020,260","377,200","8,643,060",4.2,200,0
,"P 4: Environment and
Natural Resources","2,339,740",,"2,339,740",-,200,0
,Subtotal,"68,315,296","30,286,882","38,028,414",44.3,200,0
Department of Fisheries Development,,,,,,200,0
Fisheries Development,"P 1.General Adminis-
tration, Planning and
Support services","32,882,174","10,621,733","22,260,441",32.3,200,0
,"P 2. Fisheries Devel-
opment","12,000,000",,"12,000,000",-,200,0
,Subtotal,"44,882,174","10,621,733","34,260,441",23.7,200,0
Department of Infrastructure and Energy,,,,,,200,0
Infrastructure and Energy,"P 1: Administration,
planning & support
Services","33,321,205","12,406,894","20,914,311",37.2,200,0
,"P 4: Infrastructure
Development","180,864,411",,"180,864,411",-,200,0
,Subtotal,"214,185,616","12,406,894","201,778,722",5.8,200,0
Department of Lamu Municipality,,,,,,200,0
