Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,97,0
"Policy Planning, General
Administration and Support
Services",Policy and Planning Services,"4,000,000",-,"4,000,000",-,97,0
,"General Administration and
Support Services","184,973,123","119,770,000","65,203,123",64.7,97,0
,Sub total,"188,973,123","119,770,000","69,203,123",63.4,97,0
"Crop, Land and Agribusiness
Development Services",Crop Development Services,"8,543,000",-,"8,543,000",-,97,0
,"Agribusiness Development
Services","6,974,850",-,"6,974,850",-,97,0
,Land Development Services,"10,556,000",-,"10,556,000",-,97,0
,"National Agriculture Rural In-
clusive Growth","204,967,950","85,567,550","119,400,400",41.7,97,0
,"Agriculture Sector Develop-
ment Support Programme","19,238,669",-,"19,238,669",-,97,0
,Sub total,"250,280,469","85,567,550","164,712,919",34.2,97,0
"Food Security Enhancement
Services",Farm Input Access Services,"10,419,950",-,"10,419,950",-,97,0
,"Sub Sector Infrastructure De-
velopment Services","25,001,000",,"25,001,000",-,97,0
,Sub total,"35,420,950",-,"35,420,950",-,97,0
"Fisheries Resources Develop-
ment Services",Capture Fisheries,"16,397,700",-,"16,397,700",-,97,0
,Farmed Fish Production,"12,317,500",-,"12,317,500",-,97,0
,Sub total,"28,715,200",-,"28,715,200",-,97,0
"Livestock Development Pro-
gramme","Livestock Improvement and
Development","6,265,000",-,"6,265,000",-,97,0
,"Livestock Products Value Ad-
dition and Marketing","16,925,708",-,"16,925,708",-,97,0
,"Livestock Health and Disease
Management","11,809,292",-,"11,809,292",-,97,0
,Sub total,"35,000,000",-,"35,000,000",-,97,0
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,97,0
"Policy, Planning and General
Administration services","General Administration and
Support Services","32,430,246","12,985,409","19,444,837",40.0,97,0
,Policy and Planning Services,"5,434,000",-,"5,434,000",-,97,0
,Sub total,"37,864,246","12,985,409","24,878,837",34.3,97,0
"Tourism and Culture Develop-
ment Promotion Services","Tourism Development and
Promotion Services","7,000,000",-,"7,000,000",-,97,0
,"Cultural Development and
Promotion Services","6,500,000",-,"6,500,000",-,97,0
,Sub total,"13,500,000",-,"13,500,000",-,97,0
"Social Development and Em-
powerment Services","Gender and Women Empow-
erment","2,000,000",-,"2,000,000",-,97,0
,"Social Development and Sup-
port Services",-,-,-,-,97,0
,Youth Empowerment,"2,017,423",-,"2,017,423",-,97,0
,Disability Mainstreaming,"3,000,000",-,"3,000,000",-,97,0
,Sub total,"7,017,423",-,"7,017,423",-,97,0
"Management and Development
of Sports and Sports Facilities","Sports Infrastructure Develop-
ment Services","100,000,000","39,070,296","60,929,704",39.1,97,0
,"Sports Management and Tal-
ent Development","5,200,000",-,"5,200,000",-,97,0
,Sub total,"105,200,000","39,070,296","66,129,704",37.1,97,0
"Department of Roads, Transport and Public Works",,,,,,97,0
"General Administration, Plan-
ning and Support Services","Human Resource and Support
Services","51,815,944","36,200,000","15,615,944",69.9,98,0
,"Roads and Transport Services
Operations","13,301,105",-,"13,301,105",-,98,0
,Sub total,"65,117,049","36,200,000","28,917,049",55.6,98,0
"Public works and maintenance
services",Quality control,"868,450",-,"868,450",-,98,0
,"Plant and Machinery mainte-
nance","8,363,300",-,"8,363,300",-,98,0
,Enforcement Services,"570,000",-,"570,000",-,98,0
,Sub total,"9,801,750",-,"9,801,750",-,98,0
"Road Development and Mainte-
nance Services","Road Development and Reha-
bilitation services","480,000,000","215,475,018","264,524,982",44.9,98,0
,Road maintenance,"236,589,735","40,597,254","195,992,481",17.2,98,0
,"Plant and Machinery Purchase
and maintenance","65,000,000",,"65,000,000",-,98,0
,Sub total,"781,589,735","256,072,272","525,517,463",32.8,98,0
Department of Energy and Mining,,,,,,98,0
Energy Services,Electrical Power Services,"28,000,000","11,336,000","16,664,000",40.5,98,0
,Solar Power Services,"22,000,000",-,"22,000,000",-,98,0
,"Low Cost energy Technologies
promotion Services","16,000,000",-,"16,000,000",-,98,0
,Sub total,"66,000,000","11,336,000","54,664,000",17.2,98,0
"Mineral Resource Development
and Marketing Services","Construction mineral devel-
opment and marketing ser-
vices","4,000,000",-,"4,000,000",-,98,0
,Sub total,"4,000,000",,"4,000,000",-,98,0
"General Administration, Plan-
ning and Support Services","Administrative Support Ser-
vices","35,222,955","1,032,105","34,190,850",2.9,98,0
,"Development of Policies,
Plans, Regulations and Legis-
lations","559,600",,"559,600",-,98,0
,Sub total,"35,782,555","1,032,105","34,750,450",2.9,98,0
Department of Education and ICT,,,,,,98,0
"General Administration and
Quality Assurance Service","General administration Ser-
vices","26,590,773",-,"26,590,773",-,98,0
,Quality Assurance Services,"487,338,835","279,500,000","207,838,835",57.4,98,0
,Sub total,"513,929,608","279,500,000","234,429,608",54.4,98,0
"ECDE and Vocational Training
Services",ECDE Services,"62,000,000","9,788,602","52,211,398",15.8,98,0
,Vocational Training Services,"69,270,000",-,"69,270,000",-,98,0
,Sub total,"131,270,000","9,788,602","121,481,398",7.5,98,0
ICT Services,Information Services,"1,030,700",-,"1,030,700",-,98,0
,"ICT Infrastructure Develop-
ment","8,000,000",-,"8,000,000",-,98,0
,Sub total,"9,030,700",-,"9,030,700",-,98,0
Department of Health Services,,,,,,98,0
"Policy planning and adminis-
trative support service","Policy, Planning and Monitor-
ing Services","8,991,000",-,"8,991,000",-,98,0
,"Administrative Support Ser-
vices","1,809,112,446","1,034,271,806","774,840,640",57.2,98,0
,Sub total,"1,818,103,446","1,034,271,806","783,831,640",56.9,98,0
"Preventive and promotive
health services",Community health services,"54,500,000",-,"54,500,000",-,98,0
,Disease control services,"5,400,000",-,"5,400,000",-,98,0
,"Facility infrastructure im-
provement services","164,500,000",,"164,500,000",-,98,0
,Sub total,"224,400,000",-,"224,400,000",-,98,0
"Curative and rehabilitative
health services","Routine medical health ser-
vices","172,676,139","53,997,860","118,678,279",31.3,99,0
,"Medical emergency response
services","20,687,192",-,"20,687,192",-,99,0
,"Facility infrastructure im-
provement services","200,320,190","166,381,730","33,938,460",83.1,99,0
,Sub total,"393,683,521","220,379,590","173,303,931",56.0,99,0
"Research and development
service","Research and surveillance ser-
vices","2,000,000",-,"2,000,000",-,99,0
,"Capacity development ser-
vices","3,000,000",-,"3,000,000",-,99,0
,Sub total,"5,000,000",-,"5,000,000",-,99,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,99,0
"General Administration
Services","General administrative sup-
port services","33,768,444","16,900,060","16,868,384",50.0,99,0
,Policy development,"2,100,000",-,"2,100,000",-,99,0
,Monitoring and Evaluation,"350,000",-,"350,000",-,99,0
,General office operations,"14,944,955",-,"14,944,955",-,99,0
,Sub total,"51,163,399","16,900,060","34,263,339",33.0,99,0
Lands and Physical planning,County Spatial planning,"16,502,000","2,046,416","14,455,584",12.4,99,0
,"Survey, Demarcation and up-
grading of markets","6,165,000",-,"6,165,000",-,99,0
,Symbio-City Change Project,"5,249,600",-,"5,249,600",-,99,0
,Land Banking,"2,500,000",-,"2,500,000",-,99,0
,"Inventorization and Security
of public lands","1,000,000",-,"1,000,000",-,99,0
,Preparation of Valuation Roll,"4,000,000",-,"4,000,000",-,99,0
,Sub total,"35,416,600","2,046,416","33,370,184",5.8,99,0
"Housing and Urban Develop-
ment","Housing improvement ser-
vices","7,006,000",-,"7,006,000",-,99,0
,"Smart settlement services
(Equipping of Ndhiwa ABTC)","7,177,230",-,"7,177,230",-,99,0
,"Delineation and Establishment
of urban institutions","10,063,000",-,"10,063,000",-,99,0
,"Affordable Housing Pro-
gramme","5,023,440",-,"5,023,440",-,99,0
,Slum Upgrading Programme,"2,015,960",-,"2,015,960",-,99,0
,"Urban Lakefront Planning and
Development","3,000,000",-,"3,000,000",-,99,0
