VOTE CODE TITLE,Programme,"Approved Esti-
mates (Kshs)","Total Payments
(Kshs)",Variances (Kshs),"Absorption Rate
( %)",page_number,table_index
,"0701000 P1 General Administration Plan-
ning and Support Services","126,503,677","24,711,366","101,792,311",19.53,265,1
,,"126,503,677","24,711,366","101,792,311",,265,1
"5312000000 OFFICE
OF GOVERNOR &
DEPUTY GOVER-
NOR","0718005310 General Administrative Ser-
vices","475,299,233","91,688,045","383,611,188",19.29,266,0
,,"1,897,745,141","775,760,227","1,121,984,914",40.88,266,0
,,"359,371,304","60,857,449","298,513,855",16.93,266,0
,,"100,154,396","27,270,718","72,883,678",27.23,266,0
,"0724005310 P 24 Security and Safety Man-
agement","797,946,791","355,502,699","442,444,092",44.55,266,0
,,"75,249,505","15,452,622","59,796,883",20.54,266,0
,"P; 0726005310:Disaster Management Coor-
dination","190,960,863","57,719,504","133,241,359",30.23,266,0
,"0725005310 P 25 management of legal af-
fairs","717,248,233","37,503,903","679,744,330",5.23,266,0
,,"4,613,975,465","1,421,755,166","3,192,220,299",,266,0
"5313000000 ICT,
E-GOVT & PUBLIC
COMMUNICA-
TIONS","0207000 P1: General Administration Plan-
ning and Support Services","110,745,897","33,154,698","77,591,198",29.94,266,0
,"0208000 P2: Information And Communica-
tion Services","71,504,300",-,"71,504,300",-,266,0
,,"16,901,300","18,394,782","(1,493,482)",108.84,266,0
,,"245,177,100",-,"245,177,100",-,266,0
,"0210005310 ICT Infrastructure Develop-
ment","43,447,600",-,"43,447,600",-,266,0
,,"5,447,600",-,"5,447,600",-,266,0
,,"493,223,797","51,549,480","441,674,316",,266,0
"5314000000 FI-
NANCE & ECO-
NOMIC PLANNING",0701005310 Public Financial Management,"144,958,200",-,"144,958,200",-,266,0
,,"278,785,200","185,040,032","93,745,168",66.37,266,0
,,"134,654,500","10,725,475","123,929,025",7.97,266,0
,,"444,103,683","29,682,284","414,421,400",6.68,266,0
,,"9,060,000",-,"9,060,000",-,266,0
