Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)",Absorption (%),page_number,table_index
County Attorney,"Administration Planning And Sup-
port Services","90,000,000","869,082","89,130,918",1.0,146,1
,Sub total,"90,000,000","869,082","89,130,918",1.0,146,1
Agriculture,"Administration, Planning and
Support services","547,264,356","94,376,864","452,887,492",17.2,146,1
,Food Sufficiency Initiatives,"54,063,600","985,722","53,077,878",1.8,146,1
,"Agribusiness and Information
Management","61,653,432","7,829,684","53,823,748",12.7,146,1
,"Irrigation and Drainage Infra-
structure","75,194,574","1,357,808","73,836,766",1.8,146,1
,Sub total,"738,175,962","104,550,078","633,625,884",14.2,146,1
"Devolution, Public
service and Disaster
management","General Administration Planning
and Support services","5,450,000","3,328,250","2,121,750",61.1,146,1
"Devolution, Public
service and Disaster
management",Devolution,"598,839,152","41,014,255","557,824,897",6.8,146,1
,Emergency,"3,400,000",,"3,400,000",0.0,146,1
,"Strategic Human Resource Man-
agement","5,750,000",-,0,0.0,146,1
,Sub total,"613,439,152","44,342,505","569,096,647",7.2,146,1
,"General Administration Planning
and Support services","5,450,000","3,328,250","2,121,750",61.1,146,1
Education,"General administration, planning
and support services","638,564,598",-,"638,564,598",0.0,146,1
,"Early Childhood development ed-
ucation","521,095,209",-,"521,095,209",0.0,146,1
,Education support services,"350,000,000",-,0,0.0,146,1
,Vocation Education and training,"173,714,638",-,0,0.0,146,1
,Sub total,"1,683,374,445",-,0,0.0,146,1
"Environment, Forest-
ry, Natural Resources
& Wildlife","Environment management and
protection","173,033,265","58,650,885","114,382,380",33.9,146,1
,Sub total,"173,033,265","58,650,885","114,382,380",33.9,146,1
Economic Planning,County Fiscal Planning,"66,910,250","5,504,550","61,405,700",8.2,146,1
,"Statistical Information services /
Monitoring","20,514,532","1,405,970","19,108,562",6.9,146,1
,Sub total,"87,424,782","6,910,520","80,514,262",7.9,146,1
Finance,"Administration, Planning and
Support Services","577,494,892","89,293,189","488,201,703",15.5,147,0
,"Kenya devolution support pro-
gramme","22,500,000","4,630,230","17,869,770",20.6,147,0
,"Budget Formulation, Coordina-
tion and Management","14,031,000","7,035,522","6,995,478",50.1,147,0
,Audit Services,"3,065,000","736,005","2,328,995",24.0,147,0
,Accounting Services,"5,812,500","1,630,245","4,182,255",28.0,147,0
,"Supply Chain Management Ser-
vices","4,650,000","1,323,536","3,326,464",28.5,147,0
,Development,"66,033,455",,"66,033,455",0.0,147,0
,"Resource Mobilization/Debt Man-
agement","11,835,260","1,689,900","10,145,360",14.3,147,0
,Sub total,"705,422,107","106,338,627","599,083,480",15.1,147,0
Gender,"General Administration, Planning
and Support Services","70,092,915","19,816,602","50,276,313",28.3,147,0
,Conservation of Culture,"9,700,000","211,200","9,488,800",2.2,147,0
,Sports Development,"85,703,440","218,200","85,485,240",0.3,147,0
,Gender Mainstreaming,"19,000,000","811,300","18,188,700",4.3,147,0
,Betting control and licensing,"4,036,809","434,000","3,602,809",10.8,147,0
,Social Development,"125,788,722",,"125,788,722",0.0,147,0
,Sub total,"314,321,886","21,491,302","292,830,584",6.8,147,0
Health,Curative and rehabilitative,"529,781,345",,"529,781,345",0.0,147,0
,"General Administration, Planning
& Support Services","2,728,128,585","1,056,403,930","1,671,724,655",38.7,147,0
,Development,"1,187,744,033","64,828,551","1,122,915,482",5.5,147,0
,Sub total,"4,445,653,963","1,121,232,481","3,324,421,482",25.2,147,0
Lands & Energy,"General Administration Planning
and Support services","310,338,666","25,398,202","284,940,464",8.2,147,0
,Land policy and planning,"97,674,381",-,0,0.0,147,0
,Alternative Energy Technologies,"78,404,074","392,890","78,011,184",0.5,147,0
,Sub total,"486,417,121","25,791,092","460,626,029",5.3,147,0
Livestock,"Administration, Planning and
Support services","26,793,000","1,201,152","25,591,848",4.5,147,0
,"Livestock Production and Man-
agement","73,515,001",,"73,515,001",0.0,147,0
,"Livestock Value Addition and
Marketing","56,864,834","1,010,900","55,853,934",1.8,147,0
,"Food Safety and Animal Products
Development","20,792,038","1,502,600","19,289,438",7.2,147,0
,"Livestock Disease Management
and Control","30,876,628","375,160","30,501,468",1.2,147,0
,Sub total,"208,841,501","4,089,812","204,751,689",2.0,147,0
Fisheries,"Fisheries Policy and Capacity De-
velopment","94,254,847","7,594,857","86,659,990",8.1,147,0
,"Assurance of Fish Safety, Value
Addition and Marketing","57,787,508",,"57,787,508",0.0,147,0
,Sub total,"152,042,355","7,594,857","144,447,498",5.0,147,0
"Office of the Gov-
ernor",Intergovernmental relations,"5,500,000","2,678,941","2,821,059",48.7,147,0
,"Administration, planning and sup-
port services","274,895,858","104,690,984","170,204,874",38.1,147,0
,Sub total,"280,395,858","107,369,925","173,025,933",38.3,147,0
County Assembly,General administration,"936,088,616","58,170,320","877,918,296",6.2,147,0
,Sub total,"936,088,616","58,170,320","877,918,296",6.2,147,0
Public Works,"General administration, planning
and support services","149,514,147","103,841,865","45,672,282",69.5,147,0
,Road Transport,"1,263,777,408",-,0,0.0,147,0
,Sub total,"1,413,291,555","103,841,865","1,309,449,690",7.3,147,0
,"General Administration, Planning
and Support services","99,433,235","21,004,882","78,428,353",21.1,147,0
,"Trade Development and Promo-
tion","314,020,414","90,971,228","223,049,186",29.0,147,0
,"Co-operative Development and
Promotion","14,350,000","104,999","14,245,001",0.7,147,0
,"Tourism Development and Pro-
motion","19,490,000","1,214,276","18,275,724",6.2,147,0
