Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Administration Services (1002023060),"792,875,292","341,427,111","451,448,181",43.1,186,0
TOTAL,"1,274,920,979","363,528,574","911,392,405",28.5,186,0
Roads and Public Works,,,,-,186,0
Administration Services (0305023060),"420,848,360","164,672,034","256,176,326",39.1,186,0
"Rehabilitations of Roads, Drainage and bridges
(0202013060)","721,232,335","45,014,960","676,217,375",6.2,186,0
Personnel Services (0305013060),"153,411,638","29,902,022","123,509,616",19.5,186,0
Installation of Street Lighting Facilities (0203013060),"43,016,877",-,"43,016,877",-,186,0
TOTAL,"1,338,509,210","239,589,016","1,098,920,194",17.9,186,0
Tourism and ICT,,,,-,186,0
Personnel services {0305013060},"21,602,016","11,069,063","10,532,953",51.2,186,0
Administration services {0305023060},"27,666,930","13,543,628","14,123,302",49.0,186,0
"Local area network installation and ict support
{0308013060}","46,406,063","1,718,555","44,687,508",3.7,186,0
Tourism Promotion {0304013060},"53,385,338","2,695,369","50,689,969",5.0,186,0
TOTAL,"149,060,347","29,026,615","120,033,732",19.5,186,0
County Public Service Board,,,,-,186,0
Human Resource Planning (706013060),"16,820,856","6,889,709","9,931,147",41.0,186,0
"Transformation Of Service Delivery In Public Service
(706023060)","1,700,000","369,428","1,330,572",21.7,186,0
HR Management And Skill Development (706033060),-,-,-,-,186,0
Compensation To Employees (706043060),"29,281,935","11,025,017","18,256,918",37.7,186,0
Human Resource Planning (706053060),"1,300,000",-,"1,300,000",-,186,0
Staff Rationalization (706063060),"1,300,000","138,650","1,161,350",10.7,186,0
TOTAL,"50,402,791","18,422,804","31,979,987",36.6,186,0
Public Service & Administration,,,,-,186,0
Audit Services0704013060,"167,949,004","95,079,414","72,869,590",56.6,186,0
General Adminstration0704043060,"159,425,820","62,785,071","96,640,749",39.4,186,0
County compliance and enforcement0708033060,"20,622,200","8,935,896","11,686,304",43.3,186,0
Sub County Admin Msambweni0712013060,"11,222,000","4,602,268","6,619,732",41.0,186,0
sub County Admin lungalunga0712023060,"13,152,000","4,885,227","8,266,773",37.1,186,0
sub County Admin Matuga0712033060,"11,378,000","4,059,293","7,318,707",35.7,186,0
sub County Admin Kinango0712043060,"14,668,028","3,546,645","11,121,383",24.2,186,0
county garbage and cleaning services0713013060,"15,361,568","6,670,725","8,690,843",43.4,186,0
"Human Resource and Planning,0714013060","17,958,000","2,990,637","14,967,363",16.7,186,0
TOTAL,"431,736,620","193,555,176","238,181,444",44.8,186,0
Kwale Municipality,,,,-,186,0
0102063060 (Personnel),"2,000,000",-,"2,000,000",-,186,0
0111013060 (Kwale municipality),"57,056,358","1,618,910","55,437,448",2.8,186,0
TOTAL,"59,056,358","1,618,910","57,437,448",2.7,186,0
Diani Municipality,,,,-,186,0
0102063060 (Personnel),"2,400,000","354,400","2,045,600",14.8,186,0
0112013060 (Diani municipality),"43,580,000",-,"43,580,000",-,186,0
TOTAL,"45,980,000","354,400","45,625,600",0.8,186,0
,,,,-,186,0
Grand Total,"11,919,093,268","3,996,229,979","7,922,863,289",33.5,186,0
