Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
COUNTY EXECUTIVE,,,,,,315,0
"0701004210 P1 Manage-
ment of County Affairs","0701014210 SP1 General Admin-
istration and Support Services
(Governor, Deputy Governor)","230,253,958","69,857,041","160,396,917",30.3,315,0
,"0704014210 SP2 Administration of
Human Resources in County Pub-
lic Service","58,446,626","20,724,065","37,722,561",35.5,315,0
,"0701034210 SP3 Sub County Ad-
ministration","176,902,094","66,815,958","110,086,136",37.8,315,0
,"0701044210 SP4 Coordination,
Supervision and Human Resource
services (C S)","38,294,586","17,634,172","20,660,414",46.0,315,0
,Sub total,"503,897,264","175,031,236","328,866,028",34.7,315,0
"FINANCE, ECONOMIC PLANNING & ICT",,,,,,315,0
"0705004210 P1 General Ad-
ministration Planning and
Support Services","0705014210 SP1 Administration
Services","496,540,749","83,028,443","413,512,306",16.7,315,0
,0705024210 SP2 ICT Services,"46,150,316","5,811,757","40,338,559",12.6,315,0
,Sub total,"542,691,065","88,840,200","453,850,865",16.4,315,0
"0706004210 P2 Public Fi-
nance Management","0706054210 SP5 Accounting Ser-
vices","31,154,458","13,897,124","17,257,334",44.6,315,0
,"0706024210 SP2 Resource Mobi-
lization","85,062,231","31,926,690","53,135,541",37.5,315,0
,0706034210 SP3 Internal Audit,"17,386,714","7,218,714","10,168,000",41.5,315,0
,"0706044210 SP4 Supply Chain
Management","19,654,266","9,193,859","10,460,407",46.8,315,0
,"0706014210 SP1 Budget Formu-
lation Coordination and Manage-
ment","11,031,050","4,350,983","6,680,067",39.4,315,0
,0706064210 SP6 Fiscal Planning,"82,951,670","14,777,467","68,174,203",17.8,315,0
,Sub total,"247,240,389","81,364,837","165,875,552",32.9,315,0
"0713004210 P3 General Ad-
ministration Planning and
Support Services","0713014210 SP1 General Admin-
istration Planning and Support
Services","6,523,997","2,281,250","4,242,747",35.0,315,0
,Sub total,"6,523,997","2,281,250","4,242,747",35.0,315,0
"0712004210 P4 Special Pro-
grams",0712014210 SP 1 Special Programs,"17,763,776","6,246,337","11,517,439",35.2,315,0
,Sub total,"17,763,776","6,246,337","11,517,439",35.2,315,0
"AGRICULTURE, LIVESTOCK DEVELOPMENT, VETERINARY SERVICES & FISHERIES",,,,,,315,0
"0101004210 P1 General Ad-
ministration Planning and
Support Services","0101014210 SP1 Administration,
Planning and Support Services","398,359,122","72,873,327","325,485,795",18.3,315,0
,Sub total,"398,359,122","72,873,327","325,485,795",18.3,315,0
"0103004210 P2 Livestock
Resource Management and
Development","0103014210 SP1 Livestock Policy
Development and Capacity Build-
ing","10,505,622","4,691,678","5,813,944",44.7,315,0
,"0103024210 SP2 Livestock Pro-
duction and Management","43,773,504","7,223,400","36,550,104",16.5,315,0
,"0103034210 SP3 Livestock Diseas-
es Management and Control","64,549,902","4,900,679","59,649,223",7.6,315,0
,"0103044210 SP4 Livestock Mar-
keting and Rangeland Manage-
ment","135,439,535","23,883,412","111,556,123",17.6,315,0
,Sub total,"254,268,563","40,699,169","213,569,394",16.0,315,0
"0104004210 P4 Fisheries
Development and Manage-
ment","0104014210 SP1 Management and
Development of Fisheries","8,468,596","3,073,798","5,394,798",36.3,315,0
,Sub total,"8,468,596","3,073,798","5,394,798",36.3,315,0
"0105004210 P3 Crop Devel-
opment and Management","0105014210 SP1 Lands and Crops
Development","114,718,401","18,207,991","96,510,410",15.9,315,0
,"0105024210 SP2 Food Security
Initiatives","15,216,436","7,212,786","8,003,650",47.4,315,0
,Sub total,"129,934,837","25,420,777","104,514,060",19.6,315,0
"WATER, ENVIRONMENT, NATURAL RESOURCES & ENERGY",,,,,,315,0
"1001004210 P1 General Ad-
ministration Planning and
Support Services","1001014210 SP1 General Admin-
istration Planning and Support
Services","17,744,171","7,329,421","10,414,750",41.3,315,0
,Sub total,"17,744,171","7,329,421","10,414,750",41.3,315,0
"1002004210 P2 Environ-
mental Management and
Protection","1002014210 SP1 County Environ-
ment Management","17,818,420","982,610","16,835,810",5.5,316,0
,"1002024210 SP2 Forests Conser-
vation and Management","4,455,494","326,281","4,129,213",7.3,316,0
,Sub total,"22,273,914","1,308,891","20,965,023",5.9,316,0
"1003004210 P3 Natural Re-
sources Services","1003024210 SP2 Soil Conservation
Management","3,596,174","1,585,080","2,011,094",44.1,316,0
,1003034210 SP3 Mining Services,"1,756,600","645,501","1,111,099",36.7,316,0
,"1003044210 SP4 Water Catchment
and Protection Services","191,760,421","1,959,600","189,800,821",1.0,316,0
,Sub total,"197,113,195","4,190,181","192,923,014",2.1,316,0
"1004004210 P4 Water and
sanitation infrastructure","1004014210 SP1 Storm Water
Management","5,145,059","2,218,407","2,926,652",43.1,316,0
,"1004024210 SP2 Water and Sanita-
tion Services","419,635,121","33,087,446","386,547,675",7.9,316,0
,Sub total,"424,780,180","35,305,853","389,474,327",8.3,316,0
EDUCATION AND VOCATIONAL TRAINING,,,,,,316,0
"0501004210 P1 General Ad-
ministration Planning and
Support Services","0501014210 SP1 General Admin-
istration Planning and Support
Services","205,899,735","12,145,461","193,754,274",5.9,316,0
,Sub total,"205,899,735","12,145,461","193,754,274",5.9,316,0
"0502004210 P3 Youth Train-
ing and Development","SP 0504014210 Revitalization of
Youth Polytechnics","31,521,336","3,248,594","28,272,742",10.3,316,0
,Sub total,"31,521,336","3,248,594","28,272,742",10.3,316,0
"0502004210 P2 Early child-
hood development and Ed-
ucation","0502014210 SP1 Early Childhood
Development and Education","332,585,588","121,999,694","210,585,894",36.7,316,0
,Sub total,"332,585,588","121,999,694","210,585,894",36.7,316,0
"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,,,,316,0
"0401004210 P1 Preventive
and Promotive Health Ser-
vices","0401044210 SP2 Environmental &
Health promotiong","71,490,325","35,353,428","36,136,897",49.5,316,0
,0402014210 SP1 Nutrition,"13,898,410","6,666,056","7,232,354",48.0,316,0
,"0401054210 SP3 Communicable
Disease Control","86,203,050","42,983,774","43,219,276",49.9,316,0
,"0401064210 SP4 Non-communi-
cable Disease Prevention & Con-
trol","37,877,350","17,797,329","20,080,021",47.0,316,0
,"0401074210 SP5 Reproductive,
Maternal, Neonatal, child and Ad-
olescent Health","50,307,630","24,649,386","25,658,244",49.0,316,0
,Sub total,"259,776,765","127,449,973","132,326,792",49.1,316,0
"0402004210 P2 Curative
Health","0402044210 SP1 County Hospital
and Referral Services","487,569,378","175,333,486","312,235,892",36.0,316,0
,"0402054210 SP2 Free Primary
Health Services","109,362,174","3,405,268","105,956,906",3.1,316,0
,Sub total,"596,931,552","178,738,754","418,192,798",29.9,316,0
"0403004210 P3 General Ad-
ministration Planning and
Support Services","0403014210 SP1 Health Infra-
structure Development","314,896,036","84,304,385","230,591,651",26.8,316,0
,"0403034210 SP2 Human Resource
Management and Development","73,655,826","36,123,663","37,532,163",49.0,316,0
,"0403044210 SP3 Monitoring and
Evaluation, Research and Devel-
opment","4,934,656","1,576,058","3,358,598",31.9,316,0
,"0403054210 SP4 Health Policy,
Planning & Financing","23,805,221","5,331,545","18,473,676",22.4,316,0
,"0403064210 SP5 Health Standards
and Quality Assurance Services","217,961,521","42,502,109","175,459,412",19.5,316,0
,Sub total,"635,253,260","169,837,760","465,415,500",26.7,316,0
"LANDS, HOUSING, PHYSICAL PLANNING & URBAN DEVELOPMENT",,,,,,316,0
"0101004210 P1 General Ad-
ministration Planning and
Support Services","0101014210 SP1 Administration,
Planning and Support Services","60,812,492","13,398,273","47,414,219",22.0,316,0
,Sub total,"60,812,492","13,398,273","47,414,219",22.0,316,0
"0102004210 P2 Land policy
Planning and Housing","0102014210 SP1 Land Use Plan-
ning","36,007,344","2,630,600","33,376,744",7.3,316,0
,"0102034210 SP2 Land Survey and
Mapping","8,571,690","3,632,100","4,939,590",42.4,316,0
,"0102044210 SP3 Housing Manage-
ment Services","853,340","204,881","648,459",24.0,316,0
,Sub total,"45,432,374","6,467,581","38,964,793",14.2,316,0
"0106004210 P3 Urban Cen-
tres Administration","0106014210 SP1 Urban Centre
Management","85,417,925","14,385,642","71,032,283",16.8,317,0
,Sub total,"85,417,925","14,385,642","71,032,283",16.8,317,0
"ROADS, TRANSPORT & PUBLIC WORKS",,,,,,317,0
"0201004210 P1 General Ad-
ministration Planning and
Support Services","0201014210 SP1 General Admin-
istration Planning and Support
Services","194,994,373","7,181,013","187,813,360",3.7,317,0
,"0201034210 SP2 Firefighting Ser-
vices","31,957,137","106,164","31,850,973",0.3,317,0
,"0201044210 SP3 Design, Imple-
mentation and Supervision of
Public Buildings","13,751,858","3,717,170","10,034,689",27.0,317,0
,Sub total,"240,703,368","11,004,347","229,699,022",4.6,317,0
"0202004210 P2 Roads and
public Infrastructure Devel-
opment","0202014210 SP1 Construction,
Rehabilitation and Maintenance of
Roads and Bridges","352,269,024","686,251","351,582,773",0.2,317,0
,"0202024210 SP2 Design, supervi-
sion and rehabilitation of County
Buildings","6,931,654","1,497,964","5,433,690",21.6,317,0
,"0202034210 SP3 Street Lights
Management","11,608,766","3,644,546","7,964,220",31.4,317,0
,"0202044210 SP4 Public Road
Transport and Parking","7,261,449","823,842","6,437,607",11.3,317,0
,Sub total,"378,070,893","6,652,603","371,418,291",1.8,317,0
"TOURISM, TRADE, ENTERPRISE DEVELOPMENT & COOPERATIVES",,,,,,317,0
"0301004210 P1 General Ad-
ministration Planning and
Support Services","0301014210 SP1 General Admin-
istration Planning and Support
Services","29,381,522","6,300,516","23,081,006",21.4,317,0
,Sub total,"29,381,522","6,300,516","23,081,006",21.4,317,0
"0302004210 P2 Cooper-
atives Development and
Management","0302014210 SP1 Governance and
Accountability","24,571,610","4,887,315","19,684,295",19.9,317,0
,Sub total,"24,571,610","4,887,315","19,684,295",19.9,317,0
"0304004210 P4 Tourism De-
velopment and Promotion","0304014210 SP1 Tourism Promo-
tion and Marketing","312,144,112","41,106,971","271,037,141",13.2,317,0
,Sub total,"312,144,112","41,106,971","271,037,141",13.2,317,0
"0305004210 P5 Trade Devel-
opment and Promotion","0305014210 SP1 Domestic Trade
Development","42,662,396","3,894,018","38,768,378",9.1,317,0
,Sub total,"42,662,396","3,894,018","38,768,378",9.1,317,0
"0306004210 P6 General Ad-
ministration Planning and
Support Services","0306014210 SP1 General Admin-
istration Planning and Support
Services","21,781,110","8,001,391","13,779,719",36.7,317,0
,Sub total,"21,781,110","8,001,391","13,779,719",36.7,317,0
"CULTURE, SOCIAL SERVICES, GENDER, SPORTS & YOUTH AFFAIRS",,,,,,317,0
