Programme,Sub- Programme,"FY 2020/21
Approved Budget
(Kshs)","Actual Payments
in FY 2020/21
First Half (Kshs)",Variance (Kshs.),"Absorption rate
(%)",page_number,table_index
Veterinary Services,Veterinary Services,"28,117,196","4,546,615","23,570,581",16.2,324,0
,Sub total,"28,117,196","4,546,615","23,570,581",16.2,324,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,324,0
"Water Resources Development
and Management","Water Resources Development and Man-
agement","11,222,441","4,610,162","6,612,279",41.1,324,0
,Sub total,"11,222,441","4,610,162","6,612,279",41.1,324,0
"General Administration, Plan-
ning and Support Services","General Administration, Planning and
Support Services","405,949,147","41,132,476","364,816,671",10.1,324,0
,Sub total,"405,949,147","41,132,476","364,816,671",10.1,324,0
"Environment and Natural
Resources Conservation and
Management","Environment and Natural Resources Con-
servation and Management","3,110,930","861,900","2,249,030",27.7,324,0
,Sub total,"3,110,930","861,900","2,249,030",27.7,324,0
"EDUCATION, YOUTH AFFAIRS, GENDER AND SOCIAL SERVICES",,,,,,324,0
"General Administration, Plan-
ning and Support Services","General Administration, Planning and
Support Services","745,858,530","160,299,996","585,558,534",21.5,324,0
,Sub total,"745,858,530","160,299,996","585,558,534",21.5,324,0
County Pre Primary Education,County Pre Primary Education,"5,271,760","805,488","4,466,272",15.3,324,0
,Sub total,"5,271,760","805,488","4,466,272",15.3,324,0
"Vocational Education and
Training Development","Vocational Education and Training Devel-
opment","2,608,458","994,175","1,614,283",38.1,324,0
,Sub total,"2,608,458","994,175","1,614,283",38.1,324,0
"County Social Security and
Services",County Social Security and Services,"25,480,871","1,183,258","24,297,613",4.6,324,0
,Sub total,"25,480,871","1,183,258","24,297,613",4.6,324,0
COUNTY HEALTH SERVICES,,,,,,324,0
"General Administration, Plan-
ning and Support Services","General Administration, Planning and
Support Services","2,275,592,713","734,398,834","1,541,193,879",32.3,324,0
,Sub total,"2,275,592,713","734,398,834","1,541,193,879",32.3,324,0
"Curative and Rehabilitative
Health Care Services","Curative and Rehabilitative Health Care
Services","127,047,600","68,560,219","58,487,381",54.0,324,0
,Sub total,"127,047,600","68,560,219","58,487,381",54.0,324,0
"Preventive and Promotive
Health Services",Preventive and Promotive Health Services,"117,850,000","21,856,736","95,993,264",18.5,324,0
,Sub total,"117,850,000","21,856,736","95,993,264",18.5,324,0
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND HOUSING",,,,,,324,0
"General Administration, Plan-
ning and Support Services","General Administration, Planning and
Support Services","230,527,256","18,140,431","212,386,825",7.9,324,0
,Sub total,"230,527,256","18,140,431","212,386,825",7.9,324,0
Land Use Planning,Land Use Planning,"1,960,000","703,060","1,256,940",35.9,324,0
,Sub total,"1,960,000","703,060","1,256,940",35.9,324,0
"County Land Administration
and Surveying","County Land Administration and Survey-
ing","2,385,000","459,100","1,925,900",19.2,324,0
,Sub total,"2,385,000","459,100","1,925,900",19.2,324,0
"Housing and Urban Develop-
ment",Housing and Urban Development,"2,650,000","588,200","2,061,800",22.2,324,0
,Sub total,"2,650,000","588,200","2,061,800",22.2,324,0
Siaya Municipal Board,Siaya Municipal Board,"16,718,000","2,919,800","13,798,200",17.5,324,0
,Sub total,"16,718,000","2,919,800","13,798,200",17.5,324,0
"ROADS, PUBLIC WORKS, ENERGY AND TRANSPORT",,,,,,324,0
