Programmes,Sub-Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),Absorption (%),page_number,table_index
,Vocational Training,-,-,-,-,41,0
Youth Polytechnics,,-,-,-,-,41,0
,Vocational Training,-,-,-,-,41,0
County Health Services,,"2,739,322,038","1,097,885,054","1,641,436,984",40.1,41,0
,Curative and Rehabilitative Services,"537,750,858","19,543,626","518,207,232",3.6,41,0
,General administration,"2,201,571,180","1,078,341,428","1,123,229,752",49.0,41,0
,Health/preventive services,-,-,-,-,41,0
,"Preventive and Promotive Health Ser-
vices",-,-,-,-,41,0
"Promotion of Primary Health
care",,-,-,-,-,41,0
,General administration,-,-,-,-,41,0
Lands,,"177,733,417","9,947,699","167,785,718",5.6,41,0
,Land Administration,-,-,-,-,41,0
,Urban Development-Kabarnet,"144,012,958",-,"144,012,958",-,41,0
,General administration,"33,720,459","9,947,699","23,772,760",29.5,41,0
,Land Use Planning,-,-,-,-,41,0
Land Survey and Mapping,,"19,919,916","1,079,575","18,840,341",5.4,41,0
,General administration,"19,919,916","1,079,575","18,840,341",5.4,41,0
,"Civic Education Development Ser-
vices",-,-,-,-,41,0
,Urban Development-Eldama ravine,-,-,-,-,41,0
Housing,,"38,114,586","11,228,316","26,886,270",29.5,41,0
,"Other Urban Infrastructure develop-
ment and management",-,-,-,-,41,0
,General administration,"38,114,586","11,228,316","26,886,270",29.5,41,0
,"Inter and intra -governmental Rela-
tions services",-,-,-,-,41,0
Agricultural Services,,"953,995,403","135,627,225","818,368,178",14.2,41,0
,"Fisheries Development and Manage-
ment",-,-,-,-,42,0
,General administration,"238,767,192","61,818,561","176,948,631",25.9,42,0
,Crop Production and Management,"715,228,211","73,808,664","641,419,547",10.3,42,0
,"Livestock Development and Manage-
ment",-,-,-,-,42,0
,Agricultural training services,-,-,-,-,42,0
,Agricultural Development,-,-,-,-,42,0
Culture Services,,"37,502,586","6,442,875","31,059,711",17.2,42,0
,Sports Development,-,-,-,-,42,0
,,"37,502,586","6,442,875","31,059,711",17.2,42,0
"Sports Development & Man-
agement Services",,"109,752,138",-,"109,752,138",-,42,0
,Sports Development,-,-,-,-,42,0
,General administration,-,-,-,-,42,0
,,"109,752,138",-,"109,752,138",-,42,0
Water Management Services,Water Management Services,"978,436,098","35,880,306","942,555,792",3.7,42,0
,,"860,510,383",-,"860,510,383",-,42,0
,,"117,925,715","35,880,306","82,045,409",30.4,42,0
"Environment Administration
and planning",,"38,761,709","13,881,264","24,880,445",35.8,42,0
,,"38,761,709","13,881,264","24,880,445",35.8,42,0
"Environmental and Natural
Resource Protection Manage-
ment","Environmental and Natural resource
protection Management","38,534,871",-,"38,534,871",-,42,0
,,"38,534,871",-,"38,534,871",-,42,0
Headquarters,,-,-,-,-,42,0
,"Inter and intra -governmental Rela-
tions services",-,-,-,-,42,0
Headquarters,,"44,429,627","11,105,758","33,323,869",25.0,42,0
,,"44,429,627","11,105,758","33,323,869",25.0,42,0
,Grand Total,"8,930,443,117","2,067,055,600","6,863,387,516",23.1,42,0
