Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"Education, Youth & Sports",,,,,,191,2
"General Adminis-
tration & Planning
services",Personnel services,"1,800,000","385,600","1,414,400",21.4,191,2
,Administration Services,"5,777,793","1,023,900","4,753,893",17.7,191,2
"Sports, Arts and Social
Services",Talent Development Services,"500,000",,"500,000",-,191,2
,Sport Development and Promotion,"7,500,000","283,100","7,216,900",3.8,191,2
,Child care services,"2,500,000","906,810","1,593,190",36.3,191,2
,Social and Cultural Development,"7,200,000",,"7,200,000",-,191,2
Education and Training,Vocational Education and Training,"97,680,795","12,326,406","85,354,389",12.6,192,0
,"Collaboration And Partnership on Skills
and Technology Transfer","3,500,000",,"3,500,000",-,192,0
,Early Childhood Education Development,"49,500,000",,"49,500,000",-,192,0
,Basic Education School Infrastructure,"12,102,193",,"12,102,193",-,192,0
,Education Empowerment,"50,000,000",,"50,000,000",-,192,0
,,"238,060,781","14,925,816","223,134,965",6.3,192,0
County Assembly,,,,,,192,0
"General Adminis-
tration & Planning
Services",Administration services,"298,068,250","176,260,256","121,807,994",59.1,192,0
"Legislative & Over-
sight",Legislation & Oversight Services,"197,625,500","88,116,469","109,509,031",44.6,192,0
"Infrastructure im-
provement services","County Assembly Infrastructure improve-
ment","101,092,291",,"101,092,291",-,192,0
Sub-total,,"596,786,041","264,376,725","332,409,316",44.3,192,0
,,,,,,192,0
"General Adminis-
tration & Planning
services",Administration Services,"9,316,496","1,559,527","7,756,969",16.7,193,0
,Personnel Services,"1,500,000","536,701","963,299",35.8,193,0
,Policy Development,"500,000","100,000","400,000",20,193,0
"Co-operative Develop-
ment and promotion",Co-operative Development and promotion,"19,500,000","1,221,940","18,278,060",6.3,193,0
,Research & Development,"4,506,679","491,780","4,014,899",10.9,193,0
,Market Infrastructure Development,"1,000,000","332,100","667,900",33.2,193,0
,Lab weights & Measures,"2,500,000",-,"2,500,000",-,193,0
"Home Craft Industrial-
ization & Enterprise","Industrial Development & Investment
Promotion","5,800,000","950,800","4,849,200",16.4,193,0
,Enterprise Development,"75,000,000","30,453,300","44,546,700",40.6,193,0
,Industrial mapping & promotion initiative,"8,000,000",,"8,000,000",-,193,0
Trade and Investment,Trade promotion Services,"2,500,000","685,730","1,814,270",27.4,193,0
,Market Infrastructure Development,"5,840,271",,"5,840,271",-,193,0
"Tourism Development
& Promotion",Tourism Promotion & Marketing,"5,300,000","87,400","5,212,600",1.6,193,0
,Tourism Infrastructural Development,"5,792,275","1,067,900","4,724,375",18.4,193,0
,,,,,,193,0
Sub-total,,"147,055,721","37,487,178","109,568,543",25.5,193,0
,,,,,,193,0
